Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:1,_order:1
7fa2d574-5f17-4595-9e8a-8e75dcfdef2b,,,Minimal,Minimal,Minimal,Finding,N/A,,,1,1
f9744e3e-b394-4f56-85b2-08be1447a8b9,,,Alcohol (Eka),Alcohol (Eka),Alcohol,Finding,N/A,,,1,1
9a5be520-ff89-42f0-bb45-1eebe6accfe0,,,<6 months,<6 months,<6 months,Finding,N/A,,,1,1
186ce776-7ae1-4db7-b988-6821b38d52ed,,,Music Therapy (Eka),Music Therapy (Eka),Music Therapy,Finding,N/A,,,1,1
22b21608-0ac9-414a-be62-3f7d8d80edf1,,,Dance/Movement,Dance/Movement,Dance/Movement,Finding,N/A,,,1,1
fbe48307-73af-4a2f-a20e-afeafa428763,,,Life Skills Training,Life Skills Training,Life Skills Training,Finding,N/A,,,1,1
149f8353-b6b3-4944-bef2-904102561c15,,,Aggressive Behavior,,,Finding,N/A,,,1,1
938dde2b-9183-42bd-ad61-5b48649b46f5,,,Atrial Fibrillation confirmed on ECG,Atrial Fibrillation confirmed on EC,Atrial Fibrillation confirmed on ECG,Finding,N/A,,,1,1
ef11f3a3-bc84-45c3-8f80-be529aa6c6e2,,,Legal issues,Legal issues,Legal issues,Finding,N/A,,,1,1
eec6eba9-7405-4a7a-9d2e-5c13193b23d9,,,6–12 months,6–12 months,6–12 months,Finding,N/A,,,1,1
81e0e921-a36a-4d11-9734-8511231556bc,,,Life Skills,Life Skills,Life Skills,Finding,N/A,,,1,1
a60de0d2-ddd3-431a-87d9-b117da4a2494,,,Cephalohematoma,Cephalohematoma,Cephalohematoma,Finding,N/A,,,1,1
b7e66596-ba11-4fe2-bdc5-a3775c6cf4fa,,,Family,Family,Family,Finding,N/A,,,1,1
73d8593d-edcd-454f-b2e8-c25f4c1b46a2,,,O+ (Eka),O+ (Eka),O+,Finding,N/A,,,1,1
15d529e0-2f29-48b5-bc41-5ade28396910,,,Artificial Rupture of Membrane (ARM),Artificial Rupture of Membrane (ARM,Artificial Rupture of Membrane (ARM),Finding,N/A,,,1,1
95260d83-b779-4fb9-859e-e8ccb0d8d6be,,,ED,ED,ED,Finding,N/A,,,1,1
6205d48e-5ed4-42c5-b8ff-8bace1d1e59f,,,Uterine Rupture,Uterine Rupture,Uterine Rupture,Finding,N/A,,,1,1
56de197f-3fc1-4815-8ea8-bebfde220929,,,Marijuana (Eka),Marijuana (Eka),Marijuana,Finding,N/A,,,1,1
0c3a8eb5-cbe3-4996-8fd1-eebdb75954df,,,Requires Close Monitoring,Requires Close Monitoring,Requires Close Monitoring,Finding,N/A,,,1,1
c85790b1-398f-4797-b5f4-25018a96fffc,,,A+ (Eka),A+ (Eka),A+,Finding,N/A,,,1,1
62d85dd0-f9ce-47d5-8a6f-4f1ba99543d9,,,AB+,AB+,AB+,Finding,N/A,,,1,1
