Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:7,_order:1
0041f9d1-20e5-43f8-a9ee-43a0aa297d5c,,,IV,,IV,Finding,N/A,,,1,1
007155ea-ad0e-40ee-bb7c-9b0cb912755e,,,Oxygen Saturation (%),,Oxygen Saturation (%),Question,Numeric,,,1,1
00aab2a8-39a0-4d5b-9bc0-110904a24457,,,2 hours after Dinner,,2 hours after Dinner,Finding,N/A,,,1,1
012fad59-0be6-4472-815a-f0dd3c70f7ac,,,Diagnosis,,Diagnosis,Question,Coded,,,1,1
01e7c3ec-440f-4abf-9a3c-2cf851038b17,,,Conflict resolution,,Conflict resolution,Finding,N/A,,,1,1
01f37406-40a8-4a9e-9901-03649fa361eb,,,Group Therapy,,Group Therapy,Finding,N/A,,,1,1
02187b0e-a4e4-49aa-8043-fdca00c3bc65,,,Heart Rate,,Heart Rate,Question,Numeric,,,1,1
021d7ff2-db7e-416f-8b88-a20fc2340cbf,,,Crisis Counseling,,Crisis Counseling,Finding,N/A,,,1,1
0289ede1-072d-46dd-bf73-fcd960a31efe,,,Identified Goals,,Identified Goals,Finding,N/A,,,1,1
02b03370-c4da-4591-9910-b55a9e37d808,,,High (risk level),,High,Finding,N/A,,,1,1
02c29949-9d84-4468-930c-d47d5e534cc6,,,Mild Impairment,,Mild Impairment,Finding,N/A,,,1,1
02ea8df7-5bb5-41a8-b89b-fa32711606c9,,,Increase Participation Support,,Increase Participation Support,Finding,N/A,,,1,1
041ef669-a0ea-40b9-a375-a44bf67bff12,,,Motivation for recovery,,Motivation for recovery,Finding,N/A,,,1,1
047b7b4b-bd8f-45df-a6c3-d2bb26d86104,,,Financial functioning,,Financial functioning,Finding,N/A,,,1,1
0480fa63-b6c2-4230-953c-55eb9c093cd8,,,Number of Feedings Administered,,Number of Feedings Administered,Question,Numeric,,,1,1
0497ba5a-8463-4b23-b5aa-120903ad4e11,,,Partially Reliable,,Partially Reliable,Finding,N/A,,,1,1
04a9e8d5-9ec0-4371-8a78-ea3f015a102c,,,Thought (Form and Content),,Thought (Form and Content),Question,Text,,,1,1
04fb586f-8342-450c-8b0d-90c4bf1ff9ae,,,Family History,,Family History,Question,Text,,,1,1
051720eb-0034-430d-b619-e93f1df90901,,,Once,,Once,Finding,N/A,,,1,1
0533ee37-a0b1-4cb1-9707-d054d2ee76b6,,,Indication for Instrumental Delivery,Indication for Instrumental Deliver,Indication for Instrumental Delivery,Question,Text,,,1,1
053b4d95-c66b-4772-a094-8b43bc9d4123,,,Irritable (observed mood),,Irritable,Finding,N/A,,,1,1
0549d740-18b5-4678-829f-6a9a1a06a6f8,,,Occupational functioning,,Occupational functioning,Finding,N/A,,,1,1
