Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:1,_order:1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,,,Chapter 1: Certain infectious or parasitic diseases,Chapter 1,,Convset,N/A,,,1,1
c29eee6b-b169-544e-ba92-8c0f238c2f45,,,Chapter 2: Neoplasms,Chapter 2,,Convset,N/A,,,1,2
0969a2ea-209e-56a9-96a2-0aa7c791b851,,,Chapter 3: Diseases of the blood or blood-forming organs,Chapter 3,,Convset,N/A,,,1,3
c07efe7e-3fef-5df1-992b-beab561368a0,,,Chapter 4: Diseases of the immune system,Chapter 4,,Convset,N/A,,,1,4
431cb5cc-d1b1-5082-9e96-168df132e224,,,"Chapter 5: Endocrine, nutritional or metabolic diseases",Chapter 5,,Convset,N/A,,,1,5
36869a0b-daf5-5450-ab5f-92d0f85b3884,,,"Chapter 6: Mental, behavioural or neurodevelopmental disorders",Chapter 6,,Convset,N/A,,,1,6
c8f3e336-b88d-5126-a108-77fc935c015b,,,Chapter 7: Sleep-wake disorders,Chapter 7,,Convset,N/A,,,1,7
e5192213-f6ce-5fc1-a8f6-7a79d5072a03,,,Chapter 8: Diseases of the nervous system,Chapter 8,,Convset,N/A,,,1,8
60e540c7-afb5-50ec-a6c2-92c42dca57b3,,,Chapter 9: Diseases of the visual system,Chapter 9,,Convset,N/A,,,1,9
fad4dc77-ca53-57a8-80c0-babb4dd8bdb2,,,Chapter 10: Diseases of the ear or mastoid process,Chapter 10,,Convset,N/A,,,1,10
935e875a-186a-58f5-ae32-1180f7b7fb75,,,Chapter 11: Diseases of the circulatory system,Chapter 11,,Convset,N/A,,,1,11
985d41ed-cee3-5818-ba9f-92e922a37986,,,Chapter 12: Diseases of the respiratory system,Chapter 12,,Convset,N/A,,,1,12
123161c6-7316-5395-97a2-3e6d2b402ad1,,,Chapter 13: Diseases of the digestive system,Chapter 13,,Convset,N/A,,,1,13
21461bcc-df15-5def-9a6d-bc75b9a3d821,,,Chapter 14: Diseases of the skin,Chapter 14,,Convset,N/A,,,1,14
bc7322bf-3ca3-5dac-8b75-7f33a35fc6f4,,,Chapter 15: Diseases of the musculoskeletal system or connective tissue,Chapter 15,,Convset,N/A,,,1,15
d200ffeb-7e71-5187-affb-19d0611164f6,,,Chapter 16: Diseases of the genitourinary system,Chapter 16,,Convset,N/A,,,1,16
c5fb6d98-c752-5aa4-8efb-69339bf4ab63,,,Chapter 17: Conditions related to sexual health,Chapter 17,,Convset,N/A,,,1,17
a5cd7c21-f350-5b26-b203-7146c12c3ae6,,,"Chapter 18: Pregnancy, childbirth or the puerperium",Chapter 18,,Convset,N/A,,,1,18
d0f3935c-dff6-54e1-b052-ea8f68242eac,,,Chapter 19: Certain conditions originating in the perinatal period,Chapter 19,,Convset,N/A,,,1,19
e8fe1aa7-71d3-5541-ae37-b928c06707a6,,,Chapter 20: Developmental anomalies,Chapter 20,,Convset,N/A,,,1,20
b958d1a9-75fe-5265-8a71-2bde9c0fee5a,,,"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Chapter 21,,Convset,N/A,,,1,21
d27d47a0-0c82-5f5a-a0be-7c694d0cb6c4,,,"Chapter 22: Injury, poisoning or certain other consequences of external causes",Chapter 22,,Convset,N/A,,,1,22
380fd6d3-226b-53e3-8cb7-6e0a141a56cc,,,Chapter 23: External causes of morbidity or mortality,Chapter 23,,Convset,N/A,,,1,23
4d530a09-f3bf-5b20-93f0-daf565e6f0c4,,,Chapter 24: Factors influencing health status or contact with health services,Chapter 24,,Convset,N/A,,,1,24
affe37d8-7ee1-529c-8cd1-51dfe10e4319,,,Chapter 25: Codes for special purposes,Chapter 25,,Convset,N/A,,,1,25
93b5c01e-f6c5-5520-8f00-2a50b0cc99ae,,,Chapter X: Extension Codes,Chapter X,,Convset,N/A,,,1,26
02398fc5-37b6-56d6-a2e4-d52823cd28e7,,ESV-ICD 11:1A00,Cholera (Super-Category),Cholera (Super-Category),,Convset,N/A,,,1,27
3f9163cf-916d-4f16-9fc6-3fb26dc9ee97,,ESV-ICD 11:1A00; ICD-11-WHO:1A00,Cholera,Cholera,,Diagnosis,N/A,,,1,28
14ebc26c-2fe3-5589-a3b4-9ff8d50b6684,,ESV-ICD 11:1A02,Intestinal infections due to Shigella (Super-Category),Intestinal infections due to Shigella (Super-Category),,Convset,N/A,,,1,29
7951885f-ef48-5a28-8df0-25b224b1f570,,ESV-ICD 11:1A02,Intestinal infections due to Shigella,Intestinal infections due to Shigella,,Diagnosis,N/A,,,1,30
4f1d2f6f-08eb-5cd7-a62f-9ae2805f696c,,ESV-ICD 11:1A03,Intestinal infections due to Escherichia coli (Super-Category),Intestinal infections due to Escherichia coli (Super-Category),,Convset,N/A,,,1,31
