Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:2,_order:1
145884AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Cerebral abscess,,,Diagnosis,N/A,,,1.1,1
137504AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Infection by Ascaris Lumbricoides,,,Diagnosis,N/A,,,1.1,2
137329AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Infection due to Entamoeba Histolytica,,,Diagnosis,N/A,,,1.1,3
133792AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Mucus in stool,,,Diagnosis,N/A,,,1.1,4
128453AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Procedure refused,,,Diagnosis,N/A,,,1.1,5
127133AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Schistosoma Mansonii Infection,,,Diagnosis,N/A,,,1.1,6
126513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Sickle cell trait,,,Diagnosis,N/A,,,1.1,7
123505AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Uric Acid Crystalluria,,,Diagnosis,N/A,,,1.1,8
123501AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,"Urinary cast, hyaline",,,Diagnosis,N/A,,,1.1,9
120759AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Cestode Infection,,,Diagnosis,N/A,,,1.1,10
153013AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Mycobacterium avium-intracellulare complex,,,Diagnosis,N/A,,,1.1,11
117703AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Sickle-cell anemia,,,Diagnosis,N/A,,,1.1,12
117123AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Mycobacterium scrofulaceum,,,Diagnosis,N/A,,,1.1,13
114108AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Pleural effusion,,,Diagnosis,N/A,,,1.1,14
148882AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Ancylostomiasis due to Ancylostoma Duodenale,,,Diagnosis,N/A,,,1.1,15
143074AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Cutaneous leishmaniasis,,,Diagnosis,N/A,,,1.1,16
138403AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Mpox,,,Diagnosis,N/A,,,1.1,17
1294AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,"Meningitis, cryptococcal",,,Diagnosis,N/A,,,1.1,18
123084AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Visceral leishmaniasis,,,Diagnosis,N/A,,,1.1,19
116958AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Influenza,,,Diagnosis,N/A,,,1.1,20
115835AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Meningitis,,,Diagnosis,N/A,,,1.1,21
115451AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Mycetoma,,,Diagnosis,N/A,,,1.1,22
199AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Helminthiasis,,,Diagnosis,N/A,,,1.1,23
116350AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Leishmaniasis,,,Diagnosis,N/A,,,1.1,24
116341AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Leptospirosis,,,Diagnosis,N/A,,,1.1,25
145802AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Cervical lymphadenopathy,,,Diagnosis,N/A,,,1.1,26
116031AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Malignant neoplasm,,,Diagnosis,N/A,,,1.1,27
116030AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Neoplasm/cancer,,,Diagnosis,N/A,,,1.1,28
644AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Kaposi sarcoma oral,,,Diagnosis,N/A,,,1.1,29
139041AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Helicobacter Pylori Gastrointestinal Tract Infection,,,Diagnosis,N/A,,,1.1,30
138609AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Hip Pain,,,Diagnosis,N/A,,,1.1,31
130601AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Peptic Ulcer of Stomach,,,Diagnosis,N/A,,,1.1,32
130595AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Peptic Ulcer with Perforation,,,Diagnosis,N/A,,,1.1,33
123919AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,true,,Ulcer,,,Diagnosis,N/A,,,1.1,34
