Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:10,_order:1
265ec950-3744-435e-9d5a-3b0e1c89ac3b,,,0 (None),,0 (None),Finding,N/A,,,1,1
7d5edf8a-25a7-437b-ae75-b41bf921b488,,,0 = < 3 sniffs,,0 = < 3 sniffs,Finding,N/A,,,1,1
d1900105-e6a1-49ef-8f97-b5ccb2fe8619,,,0 = absent,,0 = absent,Finding,N/A,,,1,1
9ad46716-5a4e-4dd7-a15c-12ab6827d320,,,0 = no yawns,,0 = no yawns,Finding,N/A,,,1,1
83c81e40-7c95-4372-ae8a-1de542d91534,,,0 no nausea and no vomiting,,0 no nausea and no vomiting,Finding,N/A,,,1,1
f9d5e01b-4c03-4a07-9660-80292c82101c,,,0 no sweat visible,,0 no sweat visible,Finding,N/A,,,1,1
bf0b40a2-fad6-42dd-8f31-7e15d115c749,,,0 no tremor,,0 no tremor,Finding,N/A,,,1,1
51183727-6cfb-4696-9105-35da4f8f52bf,,,0 none,,0 none,Finding,N/A,,,1,1
caaaa28a-4134-4250-8411-73b9f26f9aa7,,,0 normal activity,,0 normal activity,Finding,N/A,,,1,1
ecf349d5-eb12-4498-af7f-83c34a524a1e,,,0 not present,,0 not present,Finding,N/A,,,1,1
e165d582-e691-4311-8bc2-0a0cfd812544,,,0 oriented and can do serial additions,0 oriented and can do serial additi,0 oriented and can do serial additions,Finding,N/A,,,1,1
93582f48-936b-49a8-b1ba-4916625404bd,,,"1 (Minimal, maybe normal)",,"1 (Minimal, maybe normal)",Finding,N/A,,,1,1
df21bfe8-b331-4bd3-8745-3b6589966fc5,,,1 = 1 yawn,,1 = 1 yawn,Finding,N/A,,,1,1
8c8586eb-19a6-47a9-bbe2-a83d0baff942,,,1 = 3 mm,,1 = 3 mm,Finding,N/A,,,1,1
4ed0b3b1-9fdf-42a2-9bd4-3bd267eebed8,,,1 = 3 sniffs,,1 = 3 sniffs,Finding,N/A,,,1,1
c0a0c1ac-da19-47f8-9e57-a0f7bc5cf5f7,,,1 = Holding stomach,,1 = Holding stomach,Finding,N/A,,,1,1
afbd6f4b-54c7-4a20-85b0-4991b5a0ec81,,,1 = frequent shifts of position,,1 = frequent shifts of position,Finding,N/A,,,1,1
22a16963-1523-4dbb-92f4-e98209e4c673,,,1 = mild - severe,,1 = mild - severe,Finding,N/A,,,1,1
cfa09fb3-fb52-4225-a922-fa475a9272a9,,,1 = present,,1 = present,Finding,N/A,,,1,1
7852823d-61b3-4dff-b226-9f5e3972ab6a,,,1 = shivering / huddling for warmth,,1 = shivering / huddling for warmth,Finding,N/A,,,1,1
68747763-a749-43b4-a31c-53f22ea1475b,,,"1 barely perceptible sweating, palms moist","1 barely perceptible sweating, palm","1 barely perceptible sweating, palms moist",Finding,N/A,,,1,1
3e3efdcc-33e9-41e6-8516-47cd70b187bf,,,1 cannot do serial additions or is uncertain about date,1 cannot do serial additions or is ,1 cannot do serial additions or is uncertain about date,Finding,N/A,,,1,1
e533564d-0713-42e4-aeb9-6eb28c278385,,,1 mild nausea with no vomiting,,1 mild nausea with no vomiting,Finding,N/A,,,1,1
8fdddf9d-b15c-42da-91f5-edb82f8906c4,,,"1 not visible, but can be felt fingertip to fingertip","1 not visible, but can be felt fing","1 not visible, but can be felt fingertip to fingertip",Finding,N/A,,,1,1
5d47df07-1fdd-4871-b8c3-6cd11d8daaaa,,,1 somewhat more than normal activity,1 somewhat more than normal activit,1 somewhat more than normal activity,Finding,N/A,,,1,1
3f1060a3-0e10-4bc8-a18f-6de03ca9a03b,,,1 very mild,,1 very mild,Finding,N/A,,,1,1
4a362fda-0c80-4c52-b507-5d9227792f75,,,1 very mild harshness or ability to frighten,1 very mild harshness or ability to,1 very mild harshness or ability to frighten,Finding,N/A,,,1,1
e5a06640-9714-46a9-bebd-dc080b4f1c33,,,"1 very mild itching, pins and needles, burning or numbness","1 very mild itching, pins and needl","1 very mild itching, pins and needles, burning or numbness",Finding,N/A,,,1,1
93950d50-6c4d-44c4-9f5d-aa1a18da04a2,,,1 very mild sensitivity,,1 very mild sensitivity,Finding,N/A,,,1,1
b5c4f7ce-1cbc-41f8-bef5-cc86845f5096,,,2 (Mild),,2 (Mild),Finding,N/A,,,1,1
660a6640-cc83-4a36-98a8-4d12799ceb85,,,2 disoriented for date by no more than 2 calendar days,2 disoriented for date by no more t,2 disoriented for date by no more than 2 calendar days,Finding,N/A,,,1,1
fbba74ee-d2bc-4881-9dde-5f881c6d59d4,,,2 mild,,2 mild,Finding,N/A,,,1,1
8f72733b-4bc5-4121-b2e7-a51b0a257d59,,,2 mild harshness or ability to frighten,2 mild harshness or ability to frig,2 mild harshness or ability to frighten,Finding,N/A,,,1,1
77549b49-e301-447d-9152-5fac50225f88,,,"2 mild itching, pins and needles, burning or numbness","2 mild itching, pins and needles, b","2 mild itching, pins and needles, burning or numbness",Finding,N/A,,,1,1
3189789e-e034-4836-8155-ab4b9225cbf9,,,2 mild sensitivity,,2 mild sensitivity,Finding,N/A,,,1,1
93d98807-89b8-4a7b-9938-86283841c592,,,3 (Moderate),,3 (Moderate),Finding,N/A,,,1,1
9456e518-49e1-4e60-ba47-2d95b61855ca,,,3 disoriented for date by more than 2 calendar days,3 disoriented for date by more than,3 disoriented for date by more than 2 calendar days,Finding,N/A,,,1,1
14b0c4a6-7fd9-4c58-a53f-c8d55dd3036a,,,3 moderate,,3 moderate,Finding,N/A,,,1,1
28f4588b-8f0a-403b-9854-02707e3a6eaf,,,3 moderate harshness or ability to frighten,3 moderate harshness or ability to ,3 moderate harshness or ability to frighten,Finding,N/A,,,1,1
4e767a33-0bb4-40d1-9285-f02e2e1366d9,,,"3 moderate itching, pins and needles, burning or numbness","3 moderate itching, pins and needle","3 moderate itching, pins and needles, burning or numbness",Finding,N/A,,,1,1
c692fe0f-ae99-4786-a102-eac6570e5a80,,,3 moderate sensitivity,,3 moderate sensitivity,Finding,N/A,,,1,1
78503633-3d69-42fa-9776-faf7a2e1da9b,,,4 (Severe),,4 (Severe),Finding,N/A,,,1,1
a1eb9855-cad1-47f6-9642-7fbcf238093a,,,4 beads of sweat obvious on forehead,4 beads of sweat obvious on forehea,4 beads of sweat obvious on forehead,Finding,N/A,,,1,1
10912ec7-d2f5-43cd-a64b-bb000a4bf7cf,,,4 disoriented for place and/or person,4 disoriented for place and/or pers,4 disoriented for place and/or person,Finding,N/A,,,1,1
4ecc593f-9bf1-46af-b35b-855710706917,,,4 intermittent nausea with dry heaves,4 intermittent nausea with dry heav,4 intermittent nausea with dry heaves,Finding,N/A,,,1,1
2c33a29a-3566-49ad-a539-2ffb49f189d0,,,4 moderate with patient's arms extended,4 moderate with patient's arms exte,4 moderate with patient's arms extended,Finding,N/A,,,1,1
a47baf16-12a8-41f8-8653-e30da2766616,,,4 moderately fidgety and restless,,4 moderately fidgety and restless,Finding,N/A,,,1,1
6b04ee42-2d6a-4a68-ab63-170a1b0cc1f0,,,4 moderately severe,,4 moderately severe,Finding,N/A,,,1,1
135ef07a-cbd6-4ef8-ae04-9a7bc69ef966,,,4 moderately severe hallucinations,,4 moderately severe hallucinations,Finding,N/A,,,1,1
de3b9a1b-732b-4c9b-bc82-5d0bd2a3a0d9,,,5 severe,,5 severe,Finding,N/A,,,1,1
1452dca9-2788-4e89-9b7e-d4e2e74102a3,,,5 severe hallucinations,,5 severe hallucinations,Finding,N/A,,,1,1
4bd3e641-41be-4234-b2c2-c4d1ecebdfd4,,,6 extremely severe hallucinations,,6 extremely severe hallucinations,Finding,N/A,,,1,1
f327c515-d5c8-49e7-bdee-904515ae9eee,,,6 very severe,,6 very severe,Finding,N/A,,,1,1
5245f7d7-ed17-47cd-bc07-bff460da2535,,,7 (equivalent to acute panic states as seen in severe delirium or acute schizophrenic reactions),7 (equivalent to acute panic states,7 (equivalent to acute panic states as seen in severe delirium or acute schizophrenic reactions),Finding,N/A,,,1,1
4428799f-e0fe-41b0-9d63-af6f4262fbbf,,,"7 constant nausea, frequent dry heaves and vomiting","7 constant nausea, frequent dry hea","7 constant nausea, frequent dry heaves and vomiting",Finding,N/A,,,1,1
ade5289c-27ca-4b34-9d30-5923cfb2995a,,,7 continuous hallucinations,,7 continuous hallucinations,Finding,N/A,,,1,1
7ff733bc-2fe0-43bd-be1d-4e66b9410cf2,,,7 drenching sweats,,7 drenching sweats,Finding,N/A,,,1,1
80a6ff02-7b62-4104-a207-f60cf83f944a,,,7 extremely severe,,7 extremely severe,Finding,N/A,,,1,1
78830e12-41e8-43f0-92b3-8446fa8f9aa1,,,"7 paces back and forth during most of the interview, or constantly thrashes about",7 paces back and forth during most ,"7 paces back and forth during most of the interview, or constantly thrashes about",Finding,N/A,,,1,1
5e11a999-6572-4c11-9305-9fc8f82aa9d6,,,"7 severe, even with arms not extended","7 severe, even with arms not extend","7 severe, even with arms not extended",Finding,N/A,,,1,1
f6d69ecd-c769-49d2-a1ef-4beaf87f6873,,,Absconding (incident type),,Absconding,Finding,N/A,,,1,1
ebab863f-b174-4d49-8a48-8d0de7700442,,,Absence of other unmanaged physical illness,,Absence of other unmanaged physical illness,Finding,N/A,,,1,1
da766980-8e3b-44bc-a96e-bb119a56766d,,,Abstinent,,Abstinent,Finding,N/A,,,1,1
1a3d0b42-02d0-418f-8d9a-a2bbd5e97c87,,,Abuse / Neglect Allegation,,Abuse / Neglect Allegation,Finding,N/A,,,1,1
59ca968f-8dfc-4a22-b61c-a321028fb3f2,,,Achieve safe detoxification and medical stabilization,Achieve safe detoxification and med,Achieve safe detoxification and medical stabilization,Finding,N/A,,,1,1
18b831e2-2612-47c4-be20-5a4398ec8354,,,Action (actively changing behavior),,Action (actively changing behavior),Finding,N/A,,,1,1
f172a581-9d3f-4d01-ae4b-99ff1b943127,,,Active (clinical status),,Active,Finding,N/A,,,1,1
b4bbbee4-be0d-4745-b4ee-0557ee4ac85e,,,Active Seeking/Use,,Active Seeking/Use,Finding,N/A,,,1,1
123e3b90-e976-4830-8498-4a0fa6adb3b2,,,Active Violent Thoughts / Threats,,Active Violent Thoughts / Threats,Finding,N/A,,,1,1
b03764e6-2bf8-4789-b48b-4e4b7485313b,,,Adequate (motor coordination),,Adequate,Finding,N/A,,,1,1
f23f2168-503f-4ae7-8eb0-061a3a5e4294,,,Admit (Admission Required),,Admit (Admission Required),Finding,N/A,,,1,1
e1831303-404a-4277-9e15-2ad3937958d1,,,Aggression / Violence,,Aggression / Violence,Finding,N/A,,,1,1
2cd68aa4-2709-4070-8053-15cee0311159,,,Aggressive,,Aggressive,Finding,N/A,,,1,1
3cc851e5-6fbe-4515-97df-0064c0241e11,,,Agitated (observed behavior),,Agitated,Finding,N/A,,,1,1
dbaff1fe-52ce-485e-bedd-a9044eeaaaff,,,Alone,,Alone,Finding,N/A,,,1,1
b295f9dd-0f87-4968-95bd-40abe5659a59,,,Ambivalent Intent,,Ambivalent Intent,Finding,N/A,,,1,1
c3fcb551-08f3-41bb-8b45-813addf03eb5,,,Anxious (observed mood),,Anxious,Finding,N/A,,,1,1
dbeacd0b-a575-4fd4-9db5-fd514474ac7c,,,Appropriate (observed affect),,Appropriate,Finding,N/A,,,1,1
c712a067-e07e-47ce-8d7e-156b377c174b,,,Aspiration,,Aspiration,Finding,N/A,,,1,1
02ef98f2-06a0-4282-bb7b-f83765495696,,,At room air,,At room air,Finding,N/A,,,1,1
8ebff391-a3ad-40e9-bdce-7cfe8c4c3d9a,,,Auditory,,Auditory,Finding,N/A,,,1,1
a107f732-a494-47c8-add4-96dc3eec44ed,,,Binge,,Binge,Finding,N/A,,,1,1
de963260-5cbf-4ee3-a2d1-7650f8172e78,,,Binge / Heavy Use Pattern,,Binge / Heavy Use Pattern,Finding,N/A,,,1,1
779d0afd-373f-47ef-b99a-b2356648b476,,,Binge use,,Binge use,Finding,N/A,,,1,1
c4571176-a1c5-49e7-801b-9a9f914b98e4,,,Biweekly,,Biweekly,Finding,N/A,,,1,1
5fc9d3d1-dea5-420b-af8d-c3ffe2de288b,,,Bizarre,,Bizarre,Finding,N/A,,,1,1
a23f84f3-3c82-48fd-b72d-34387482494a,,,Blunted (observed affect),,Blunted,Finding,N/A,,,1,1
3535bd08-6b70-417a-a35e-8e48050e515a,,,CBR,,CBR,Finding,N/A,,,1,1
185984d1-5d94-4fa9-ab15-96632e039daf,,,Calm (observed behavior),,Calm,Finding,N/A,,,1,1
e7f587b5-1578-4b33-afe1-ab82c8100819,,,Cannabis,,Cannabis,Finding,N/A,,,1,1
7db5a6b4-6efd-4bb7-9a41-e5e6def1037a,,,Caregiver (household member),,Caregiver,Finding,N/A,,,1,1
9eb3114b-2af7-4206-8d54-43bf16f3c3d6,,,Catatonic and/or catatonic with refusal to eat,,Catatonic and/or catatonic with refusal to eat,Finding,N/A,,,1,1
e45f9895-44f7-480d-bdf6-909366cfa781,,,Circumstantial,,Circumstantial,Finding,N/A,,,1,1
5dcdf4e9-085b-4d3b-ad3d-8e329ccc28cc,,,Clean (personal appearance),,Clean,Finding,N/A,,,1,1
201dd6e8-e6ce-44b2-ab73-aa880c6114d4,,,Clear Intent,,Clear Intent,Finding,N/A,,,1,1
b3e27c8a-2d26-4dbc-ac35-029b9873772d,,,Clear intent to act,,Clear intent to act,Finding,N/A,,,1,1
75849ab2-2c0d-4636-82bd-0811c58a7933,,,Clear intent to harm others,,Clear intent to harm others,Finding,N/A,,,1,1
8d30da28-3066-4429-862f-1aced115b71f,,,Closed,,Closed,Finding,N/A,,,1,1
eb900158-27a3-4995-9a82-459779a8b020,,,Community (referral source),,Community,Finding,N/A,,,1,1
ba2cbb4d-5599-4ad8-aa14-43a1d8fe0090,,,Complications from eating disorder,,Complications from eating disorder,Finding,N/A,,,1,1
8617f1ec-56dc-45e5-b3ed-76e3cbe808d7,,,Consultant Psychiatrist,,Consultant Psychiatrist,Finding,N/A,,,1,1
18154bf8-5346-43ef-ab04-617b749e6eff,,,Contemplation (ambivalent about change),Contemplation (ambivalent about cha,Contemplation (ambivalent about change),Finding,N/A,,,1,1
ade6426d-68e8-45c7-9ff8-f9b1d38c3c30,,,Continue Follow-up,,Continue Follow-up,Finding,N/A,,,1,1
d22dcf3d-fa42-4e67-b585-0d715862773d,,,Continued use despite harm,,Continued use despite harm,Finding,N/A,,,1,1
fb58dd15-b7cb-4f7c-a670-c6c40f9e008e,,,Cooperative (observed behavior),,Cooperative,Finding,N/A,,,1,1
7a8169e4-9060-4a1d-aa33-116629ddd4c8,,,Counseling,,Counseling,Finding,N/A,,,1,1
f1f038fb-5900-48b6-af48-78e2c7c08d31,,,Craving,,Craving,Finding,N/A,,,1,1
6755b785-1a7c-4c5f-b650-3f0e2d37c691,,,Daily (frequency of use),,Daily,Finding,N/A,,,1,1
9cc9d880-dcbb-49a7-a1c8-76379e364a3a,,,Degree+,,Degree+,Finding,N/A,,,1,1
db3dbd0d-b506-480f-8002-4fece8917490,,,Delusion (psychiatric symptom),,Delusion,Finding,N/A,,,1,1
0b7cf0f6-fd21-4978-9f34-5b52dc6d0100,,,Dependent,,Dependent,Finding,N/A,,,1,1
3539231e-97bf-4f99-96de-74ac37617e7b,,,Depersonalization,,Depersonalization,Finding,N/A,,,1,1
b0981c4c-bf20-446e-94b8-28ef84c2c807,,,"Depressed (mood, mental status exam)",,Depressed,Finding,N/A,,,1,1
dde98732-6821-4e11-8e13-9c042bcc7501,,,Detox,,Detox,Finding,N/A,,,1,1
6ff8a4a2-e569-46ec-87c2-b3412244638a,,,Develop coping skills to prevent relapse,Develop coping skills to prevent re,Develop coping skills to prevent relapse,Finding,N/A,,,1,1
a7bfc404-61e6-482b-9b50-e31b958eff30,,,Diploma (educational attainment),,Diploma,Finding,N/A,,,1,1
9dbbbbd8-2cf2-4217-9470-97651aaa6fd2,,,Disability-related,,Disability-related,Finding,N/A,,,1,1
2846f831-acfa-408f-81f2-b111ef5ee6b0,,,Disordered and/or bizarre thinking / retarded,,Disordered and/or bizarre thinking / retarded,Finding,N/A,,,1,1
445056ab-f8c3-41fd-a925-c30d58953ba3,,,Disorganized (thought process finding),,Disorganized,Finding,N/A,,,1,1
69465abe-14e6-4f37-812b-1284a17ec249,,,Drug failure or resistance to treatment,,Drug failure or resistance to treatment,Finding,N/A,,,1,1
105d6a51-2445-48de-8d3c-1fa3a2410a42,,,Drug non-compliance or refusal,,Drug non-compliance or refusal,Finding,N/A,,,1,1
