Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:1,_order:1
8b3c4d5e-6f70-8901-bcde-f23456789222,,,Edema grading,Edema grade,Assessment of edema grading for malnutrition evaluation,Question,Coded,54d6e7f8-9a0b-1c2d-3e4f-567890123456;65e7f890-ab1c-2d3e-4f56-78901234567a;76f89012-bc3d-4e5f-6789-012345678abc,,1,1
54d6e7f8-9a0b-1c2d-3e4f-567890123456,,,Edema one plus,Edema +,One plus edema grading for malnutrition assessment,Finding,N/A,,,1,2
65e7f890-ab1c-2d3e-4f56-78901234567a,,,Edema two plus,Edema ++,Two plus edema grading for malnutrition assessment,Finding,N/A,,,1,3
76f89012-bc3d-4e5f-6789-012345678abc,,,Edema three plus,Edema +++,Three plus edema grading for malnutrition assessment,Finding,N/A,,,1,4
9c4d5e6f-7081-9012-cdef-345678901777,,,Visible severe wasting present,Severe wasting,Observation of visible severe wasting in child indicating severe acute malnutrition,Question,Coded,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,5
ad5e6f70-8192-0123-def4-56789012345a,,,MUAC less than 11 centimeters,MUAC <11cm,Mid-upper arm circumference measurement less than 11 centimeters indicating severe acute malnutrition,Finding,N/A,,,1,6
be6f7081-9203-1234-ef56-789012345abc,,,MUAC 11 to 12 centimeters,MUAC 11-12cm,Mid-upper arm circumference measurement between 11 and 12 centimeters indicating moderate acute malnutrition,Finding,N/A,,,1,7
cf708192-a314-2345-f678-90123456bcde,,,MUAC 12 centimeters or greater,MUAC ≥12cm,Mid-upper arm circumference measurement 12 centimeters or greater indicating normal nutritional status,Finding,N/A,,,1,8
d0819203-b425-3456-0789-123456cdefab,,,Appetite test result,Appetite test,Assessment of child's appetite through standardized feeding test,Question,Coded,1f2e3d4c-5b6a-7980-cdef-123456789abc;2e3d4c5b-6a79-8091-def1-23456789abcd,,1,9
1f2e3d4c-5b6a-7980-cdef-123456789abc,,,Appetite test passed,Appetite passed,Child successfully completed appetite test indicating good feeding ability,Finding,N/A,,,1,10
2e3d4c5b-6a79-8091-def1-23456789abcd,,,Appetite test failed,Appetite failed,Child failed appetite test indicating feeding difficulties or poor appetite,Finding,N/A,,,1,11
e192a314-c536-4567-1890-23456defabcd,,,Breastfeeding in the last 6 months,Breastfed last 6mo,Whether child was breastfed within the last 6 months period,Question,Coded,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,12
03b4c536-e758-6789-3012-456fabcdef01,,,Other problems present,Other problems,Presence of other problems not covered in standard childhood illness assessment,Question,Coded,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,13
