Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_order:500,_version:1
bded3682-223b-4338-b328-ea3b2bced209,,,Sodium Bicarbonate,,Drug,Text,,,5
cb1f908f-e5eb-476d-a847-a7cf8e9adb46,,,Aluminium Hydroxide,,Drug,Text,,,5
a7620dcd-b4fd-4d08-8cd3-84fbd33c788a,,,Aluminium Hydroxide + Magnesium Trisilicate,,Drug,Text,,,5
53a43101-cf75-443a-ab3a-96ef96fbb1c7,,,Magnesium Hydroxide,,Drug,Text,,,5
79b502ca-ebed-4938-bb95-38e04b3b675e,,,Ranitidine,,Drug,Text,,,5
84ad886a-00db-44b1-a394-de42849fc4fc,,,Hyoscine (Scopolamine) Hydrobromide,,Drug,Text,,,5
2a9e044e-6618-4961-ab83-118c2331b551,,,Metoclopramide,,Drug,Text,,,5
1fc3e48c-ec1a-4145-8811-c185690a506a,,,Promethazine HCL,,Drug,Text,,,5
42130cf5-352b-4a4a-ac8d-e19c556e5cdc,,,Bisacodyl,,Drug,Text,,,5
6f96842c-d2cc-43dc-b2e8-b883779f5c4d,,,Castor Oil,,Drug,Text,,,5
08702739-52ab-4b22-95bc-ac19529fd3e5,,,Glycerin,,Drug,Text,,,5
9b967015-3f97-46e2-b202-24e20743666e,,,Magnesium Sulphate Crystals,,Drug,Text,,,5
03dfd2ae-81c6-458c-b431-d74d2fbded6b,,,Loperamide HCL,,Drug,Text,,,5
22c126d5-80db-40be-8095-233e7f6fe306,,,Activated Charcoal,,Drug,Text,,,5
2ffeb148-af8b-40a4-9afe-a74065659982,,,Local Anesthetic + Astringent + Antiinflammatory,,Drug,Text,,,5
65c3ba1a-f251-4249-86ff-32f073bef298,,,Local Anesthetic+Antiinflammatory,,Drug,Text,,,5
da2c1b62-5057-4b07-b18b-06c221dd18c6,,,Clobetasole Propionate,,Drug,Text,,,5
92243fe9-98e1-4790-bd28-f356922c2ae6,,,Digoxin,,Drug,Text,,,5
e7e87217-7b9c-4b60-b6e8-765367bfcd0e,,,Retinoic Acid (Tretinoin),,Drug,Text,,,5
f5b4ffde-99ff-414e-a016-cd959ebff612,,,Enalapril Maleate,,Drug,Text,,,5
4ab517e1-46db-42a7-a6a0-ecccd5873f78,,,Acetylsalicylic Acid,,Drug,Text,,,5
f24018f4-d48d-4343-9ce8-68fb1765aa1e,,,Verapamil,,Drug,Text,,,5
a6ecf3bc-a27a-42c6-9091-6a3d740234e0,,,Isosorbide Dinitrate,,Drug,Text,,,5
986bf2a6-03a8-4358-9a61-44db63f6f9e8,,,Glyceryl Trinitrate (Nitroglycerine),,Drug,Text,,,5
b20caf1b-70c6-4b7b-bf26-f41d56530266,,,Hydralazine,,Drug,Text,,,5
1f726bff-c34a-4e51-a628-e0d8c5988015,,,Methyldopa,,Drug,Text,,,5
c9bfe21f-a360-4172-9d35-ad4216cb51fa,,,Malathion,,Drug,Text,,,5
503aed47-4827-4732-b1f1-1727c7ba600d,,,Frusemide,,Drug,Text,,,5
09befd0a-cf14-42a6-958a-8d614ea90ccc,,,Hydrochlorothiazide,,Drug,Text,,,5
5fe6666d-ebee-47fd-a9ec-ab26a169b1ec,,,Mannitol,,Drug,Text,,,5
