Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_order:500,_version:1,Mappings|SAME-AS
351fab8e-6966-4ab1-8d4b-aa708c8f09c1,,,Sodium Bicarbonate,,Drug,Text,,,3,ICD-11-WHO:XM4XZ4
26bdc123-0a25-4b66-beae-fb613d6a286c,,,Aluminium Hydroxide,,Drug,Text,,,3,
95790435-98f8-43b4-9ec4-0a76850f755b,,,Aluminium Hydroxide + Magnesium Trisilicate,,Drug,Text,,,3,
e9b33d83-5ae5-4b22-ab5f-c7b1a4e06a97,,,Magnesium Hydroxide,,Drug,Text,,,3,ICD-11-WHO:XM39M3
a60e4760-8f72-47aa-a3d3-0de2c6aeb3c3,,,Ranitidine,,Drug,Text,,,3,ICD-11-WHO:XM6WY8
c6d9589f-d912-4ddb-902c-07b10caa86fb,,,Hyoscine (Scopolamine) Hydrobromide,,Drug,Text,,,3,
2ed8b06c-aaaa-4048-9b84-e7e0d11d25e0,,,Metoclopramide,,Drug,Text,,,3,ICD-11-WHO:XM3XX3
14328927-abfe-437c-8ff7-ffe6b3036bb8,,,Promethazine HCL,,Drug,Text,,,3,
e2f02733-fafa-409d-aab5-5989a5dee264,,,Bisacodyl,,Drug,Text,,,3,ICD-11-WHO:XM14G1
1abb5a9f-b37c-4f81-a3c8-d556f2eec70d,,,Castor Oil,,Drug,Text,,,3,ICD-11-WHO:XM7G77
11c22597-08c1-42b9-a413-1f6e1fad5098,,,Glycerin,,Drug,Text,,,3,
85ce51ac-bec8-45c7-ba00-1e996ac634c0,,,Magnesium Sulphate Crystals,,Drug,Text,,,3,
c0655d70-9d5b-48b7-8455-1dde5125ce33,,,Loperamide HCL,,Drug,Text,,,3,
6d8cbc35-6824-4bf3-abe3-c00a1182afb2,,,Activated Charcoal,,Drug,Text,,,3,
d00700bb-4c14-40a4-ac8c-a995fa436ad0,,,Local Anesthetic + Astringent + Antiinflammatory,,Drug,Text,,,3,
05305b95-fb2f-443d-a679-8f6e9b5bd96c,,,Local Anesthetic+Antiinflammatory,,Drug,Text,,,3,
c0a971d2-e5ea-457a-905b-13771ad26874,,,Clobetasole Propionate,,Drug,Text,,,3,
e077b72e-b6f5-4bdb-bb48-0bc2f806e3bd,,,Digoxin,,Drug,Text,,,3,ICD-11-WHO:XM8VJ6
5419e766-1419-4dda-a37e-a539bbb5b058,,,Retinoic Acid (Tretinoin),,Drug,Text,,,3,
655bc3b5-ed51-4cc1-95b3-3667c6aa6f8c,,,Enalapril Maleate,,Drug,Text,,,3,
847859d5-9b17-401e-8ad7-d206dc581c86,,,Acetylsalicylic Acid,,Drug,Text,,,3,ICD-11-WHO:XM4G06
ef1ccd62-d433-4de2-8978-20c437f019f3,,,Verapamil,,Drug,Text,,,3,ICD-11-WHO:XM5GX3
dced0182-54d3-4253-92b2-b41b94858b9a,,,Isosorbide Dinitrate,,Drug,Text,,,3,ICD-11-WHO:XM3077
d7b1b4df-2802-446e-9a33-e50ae3e6c260,,,Glyceryl Trinitrate (Nitroglycerine),,Drug,Text,,,3,
a92b1732-3def-4659-9a50-b718aec69279,,,Hydralazine,,Drug,Text,,,3,ICD-11-WHO:XM8D89
12ef2c75-3244-4058-a67c-a9eb93ac828a,,,Methyldopa,,Drug,Text,,,3,ICD-11-WHO:XM9G49
ab90c333-cfad-451c-8ef3-a33f4f519536,,,Malathion,,Drug,Text,,,3,
a2da4096-3318-47f6-8be5-c51c32c8bd42,,,Frusemide,,Drug,Text,,,3,
ba89d6b3-853b-44b1-8b2b-621898ceb6fe,,,Hydrochlorothiazide,,Drug,Text,,,3,ICD-11-WHO:XM6910
a2c3c37c-f290-4b87-8144-3ba4cfe02e0a,,,Mannitol,,Drug,Text,,,3,ICD-11-WHO:XM5BJ8
b45f7749-ca48-4714-ba83-4ef552bd8544,,,Spironolactone,,Drug,Text,,,3,ICD-11-WHO:XM1JS8
d74d0045-2e36-4a2b-98f8-1318fc645354,,,Dextromethorphan Hydrobromide,,Drug,Text,,,3,
9072614c-57a6-417a-be99-b5c78f008928,,,Guaifenesin,,Drug,Text,,,3,
762927eb-fc0b-48d1-8eb0-65806dde36fd,,,Salbutamol (Albuterol),,Drug,Text,,,3,
cadb8343-e5ae-45f2-ab0d-4322eafb8038,,,Paracetamol,,Drug,Text,,,3,
ac596700-5446-4c02-81e5-cc780905662d,,,Diclofenac Sodium,,Drug,Text,,,3,
52545083-c8e7-4164-aea8-5c6b3541fe10,,,Morphine HCL,,Drug,Text,,,3,
5fc59931-d43d-4c30-8f95-705e681f4c1f,,,Diazepam,,Drug,Text,,,3,ICD-11-WHO:XM8P99
2562ccc8-b7ed-4fff-91ca-9fdf693a2fd1,,,Chlorpromazine HCL,,Drug,Text,,,3,
7fe8db9c-b67f-480d-a57a-2912b64190c2,,,Haloperidol,,Drug,Text,,,3,ICD-11-WHO:XM9580
6415b46d-eec4-46be-9fa6-903845c59f71,,,Haloperidol Deconate,,Drug,Text,,,3,
a4dbeeb6-3735-48f7-ad0c-c5357a730513,,,Chlordiazepoxide,,Drug,Text,,,3,ICD-11-WHO:XM5JC4
7e2df387-e179-443e-9d81-f596397cbc17,,,Bromazepam,,Drug,Text,,,3,ICD-11-WHO:XM9JC7
