Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:1,_order:1
cf3a0425-051e-4dfc-8598-b2af8d35cba3,,,Consulting Department,Consulting Department,Department requesting the inter-department consultation,Question,Text,,,1,1
d7245ba1-35f3-4b10-b04f-38a812fad033,,,Consulted Department,Consulted Department,Department receiving the consultation request,Question,Text,,,1,2
c3b0fd57-2b40-4f4a-ad8b-0b9fe63563c0,,,Consulting Physician,Consulting Physician,Provider requesting the consultation,Question,Text,,,1,3
ae3435ab-fc9d-4032-931b-67494c0a7004,,,ER/Ward,ER/Ward,Emergency room or ward where the patient is located,Question,Text,,,1,4
25eb4da9-0904-441f-b9b8-69ec7307a417,,,Type of Consultation,Type of Consultation,Priority of the inter-department consultation request,Question,Coded,8e4f3c2a-1b5d-4e6f-9a0b-1c2d3e4f5a6b;9f5e4d3c-2b6e-5f7a-0b1c-2d3e4f5a6b7c,,1,5
8e4f3c2a-1b5d-4e6f-9a0b-1c2d3e4f5a6b,,,Urgent consultation,Urgent,Urgent inter-department consultation request,Finding,N/A,,,1,6
9f5e4d3c-2b6e-5f7a-0b1c-2d3e4f5a6b7c,,,Routine consultation,Routine,Routine inter-department consultation request,Finding,N/A,,,1,7
a2bf2521-1635-4b72-9bca-ca581ef8752c,,,Reason for Consultation,Reason for Consultation,Clinical reason for requesting consultation,Question,Text,,,1,8
23942b19-f729-4622-b73a-29e0ffc7448b,,,Pertinent Investigation,Pertinent Investigation,Relevant investigation results for the consultation request,Question,Text,,,1,9
b986ec9e-da79-423e-80be-5875b87228ff,,,Brief History,Brief History,Brief clinical history for the consultation request,Question,Text,,,1,10
28441853-da6d-450f-b88a-9205d4654783,,,Brief Finding,Brief Finding,Clinical findings from the consulted physician,Question,Text,,,1,11
36566305-0931-47d0-9de7-488c0ef4bef5,,,Recommendation,Recommendation,Recommendations from the consulted physician,Question,Text,,,1,12
20a11418-e24f-434f-bfab-3ecebecef094,,,Consulted Physician,Consulted Physician,Provider responding to the consultation,Question,Text,,,1,13
0ac233e1-3654-4afb-9436-8c7dd9eb0069,,,Mark as Completed,Mark as Completed,Indicates the consulted physician has completed the consultation response,Question,Coded,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,14
4619ace7-4a24-408e-b6c7-c8c9215b34eb,,,Time Evaluated,Time Evaluated,Date and time when the consultation was evaluated,Question,Datetime,,,1,15
