Uuid,Void/Retire,Fully specified name:en,Data class,Data type,Mappings|SAME-AS,Mappings|NARROWER-THAN,_version:1,_order:1000
5fa71d0b-8d17-509f-b40c-3047018c0bba,,DAGU unit 0.4L,Units of Measure,N/A,DAGU Item:50817,,1,1000
1f91639a-b55b-539d-9099-2b8e4aed52ef,,DAGU unit 1 gm,Units of Measure,N/A,DAGU Item:50192,,1,1000
7b2919cc-ab1e-53f4-ab47-88201e0aa4bb,,DAGU unit 1 Kg,Units of Measure,N/A,DAGU Item:50014,,1,1000
4da3f949-53eb-5be9-b9d2-420a6d937a59,,DAGU unit 1 liter,Units of Measure,N/A,DAGU Item:50016,,1,1000
eecc2e7f-f60c-50a2-bce3-fece9e3ac3a4,,DAGU unit 1 Litre,Units of Measure,N/A,DAGU Item:50815,,1,1000
066d680e-4e54-515d-b23c-f4a2468baea2,,DAGU unit 1 ml,Units of Measure,N/A,DAGU Item:50017,,1,1000
be10951d-960c-5f1e-a0c4-8e9b54652535,,DAGU unit 1.3ml,Units of Measure,N/A,DAGU Item:50832,,1,1000
6c02d8bd-5a2f-5c5e-a1c5-46bb8eddd3ad,,DAGU unit 1.5ml,Units of Measure,N/A,DAGU Item:50764,,1,1000
516dd986-d659-53fb-8011-7ae137816df9,,DAGU unit 10,Units of Measure,N/A,DAGU Item:50091,,1,1000
e548761c-19fb-5c4e-ae17-5410b65bc038,,DAGU unit 10 ml,Units of Measure,N/A,DAGU Item:50007,,1,1000
b78be306-a653-586b-ab5e-e62cbcb8f132,,DAGU unit 10/box,Units of Measure,N/A,DAGU Item:51209,,1,1000
76fa89b6-ad21-5c84-8929-7119c058973c,,DAGU unit 100,Units of Measure,N/A,DAGU Item:50124,,1,1000
04dfc313-103d-5e6e-9483-ba36563e4897,,DAGU unit 100 gm,Units of Measure,N/A,DAGU Item:50003,,1,1000
05229bc3-a332-53fd-a804-51235e543afa,,DAGU unit 100 ml,Units of Measure,N/A,DAGU Item:50004,,1,1000
