Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:1,_order:1
419f29e7-d4be-47b7-9df6-a63b2ff05366,,,Pediatrics department,Pediatrics & Child Health,Clinical department: pediatrics and child health,Misc,N/A,,,1,1
073e3887-1ab1-4dd1-9f84-2b594a309eb5,,,Ophthalmology department,Ophthalmology,Clinical department: ophthalmology / eye care,Misc,N/A,,,1,1
90fd67d1-1302-495d-8349-739e6393d9c6,,,Oncology department,Oncology,Clinical department: oncology,Misc,N/A,,,1,1
d88fb207-89eb-44ff-acad-91678f3f8e4b,,,Anesthesiology department,Anesthesiology,Clinical department: anesthesiology,Misc,N/A,,,1,1
fd3ca678-f759-4028-8526-c3bcf32ad4ca,,,Neurology department,Neurology,Clinical department: neurology,Misc,N/A,,,1,1
a20cfde7-a283-4b1c-b748-281279d2a7c4,,,Cardiology department,Cardiology,Clinical department: cardiology,Misc,N/A,,,1,1
54798a10-683c-493f-8ae5-44a9088bd086,,,Nephrology department,Nephrology,Clinical department: nephrology / renal,Misc,N/A,,,1,1
1b94b39f-eac2-417c-9e66-5d667606a6b4,,,Family medicine department,Family Medicine,Clinical department: family medicine,Misc,N/A,,,1,1
95501c39-e9cb-4cd6-9cf9-52aaf721f130,,,Maternal and child health department,MCH,Clinical department: maternal and child health,Misc,N/A,,,1,1
e6854199-3f04-4987-894e-0897826f82b6,,,Nutrition department,Nutrition,Clinical department: nutrition,Misc,N/A,,,1,1
7d9fbfc1-eddd-4fd4-985a-552f28f793a5,,,HIV/ART and chronic care department,HIV/ART & Chronic Care,Clinical department: HIV/ART and chronic care,Misc,N/A,,,1,1
94620b0d-44b3-4b3e-8b40-f5d4cad73c5c,,,TB/DOTS department,TB/DOTS,Clinical department: tuberculosis / DOTS,Misc,N/A,,,1,1
351bdcc3-e1a2-43a1-b647-e31795bbcf86,,,Laboratory department,Laboratory,Diagnostic department: laboratory,Misc,N/A,,,1,1
225ba83f-47a9-4acb-928d-10eedbc1887e,,,Pathology department,Pathology,Diagnostic department: pathology,Misc,N/A,,,1,1
c1a5c08e-dfd8-43f3-a098-78b03ecd9bde,,,Pharmacy department,Pharmacy,Support department: pharmacy,Misc,N/A,,,1,1
c24695a8-7575-475b-a598-ee903983e87e,,,Medical records department,Medical Records (MRU),Support department: medical records unit,Misc,N/A,,,1,1
1cc9cc20-6fd5-423d-9244-25a3e723237d,,,Finance and cashier department,Finance / Cashier,Support department: finance and cashier,Misc,N/A,,,1,1
8e92cd78-21d5-418c-8b41-6e8d7ab57c4a,,,Nursing department,Nursing,Support department: nursing services,Misc,N/A,,,1,1
029c263b-1984-44b2-94c6-bda1f7c3f202,,,Department Types,Department Types,Set of standard department types used by the Department Type location attribute,ConvSet,N/A,,,1,2
