Uuid,Void/Retire,Name,Concept Drug,Concept Dosage Form,strength,_version:1
5be19eaa-8408-45f1-8812-fab958943d55,,Abacavir-60mg -Tablet,70056AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,60mg,1
a8bd990a-5970-4062-be63-ef3f27df47ca,,Acarbose-50mg-Tablet,70075AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,50mg,1
ca55687d-c5ed-46cc-9637-22b5c58b8e5d,,Aceclofenac-100mg-Tablet,70102AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,100mg,1
6be4e52e-58b6-4027-a81f-20459654651e,,Acetazolamide-125mg-Tablet,70125AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,125mg,1
d1e97534-d569-471a-8fe7-d83c8c23fa92,,Acetazolamide-500mg(s/r)-Capsule,70125AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1608AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,500mg(s/r),1
20767bc0-3a0d-4dd4-a5c4-451c1a6210ef,,Acetazolamide-500mg-Tablet,70125AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,500mg,1
47e41d87-96f7-4aec-b13d-83fa05300a7b,,Acetylcholine Chloride-100mg in vial-Powder for injection,70146AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,162778AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,100mg in vial,1
896e1b6d-65ec-4943-b2f2-b58a4562ac0d,,Acetylcysteine -200mg in 10ml Ampoule-Injection,70148AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,0aeb848d-aaa3-49d7-a1a1-f24b6a163611,200mg in 10ml Ampoule,1
850ad7be-4f97-49e7-aba6-7df0eaedb870,,Acetylsalicylic Acid-100mg-Tablet (enteric coated),f3e76623-5378-45b4-bbc0-19139e083b5e,8f519ae0-1977-4237-b6b3-ab1e4074d7b9,100mg,1
f221c0f2-cccb-4ca5-83dc-c87d929eeee4,,Acetylsalicylic Acid-500mg-Tablet( Enteric Coated),f3e76623-5378-45b4-bbc0-19139e083b5e,559899e1-16c1-4fea-af36-c993fec03055,500mg,1
bd12051f-8219-4586-8dd1-e2ff11918d55,,Anti-haemorrhoidal (Hydrocortisone + Framycetin + Cinchocaine + Esculoside)-(5mg + 10mg + 5mg  10mg)-Suppository,87ddb0ff-3114-4c58-83d9-6066210fbdd7,,(5mg + 10mg + 5mg  10mg),1
db227df1-2225-4fc3-85f8-62cedf964339,,Bisacodyl-5mg-Suppository,72223AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,5mg,1
