Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:1,_order:1
f47a1001-1a2b-4c3d-8e4f-100100100101,,,Surgery admission priority,Surgery priority,Priority classification for surgical ward admission requests,Question,Coded,f47a1001-1a2b-4c3d-8e4f-100100100102;f47a1001-1a2b-4c3d-8e4f-100100100103;f47a1001-1a2b-4c3d-8e4f-100100100104;f47a1001-1a2b-4c3d-8e4f-100100100105,,1,1
f47a1001-1a2b-4c3d-8e4f-100100100102,,,Emergency surgery admission,Emergency,Emergency surgical admission requiring immediate processing,Finding,N/A,,,1,2
f47a1001-1a2b-4c3d-8e4f-100100100103,,,Elective surgery Category 1,Elective A,Elective surgery within one month,Finding,N/A,,,1,3
f47a1001-1a2b-4c3d-8e4f-100100100104,,,Elective surgery Category 2,Elective B,Elective surgery within three months,Finding,N/A,,,1,4
f47a1001-1a2b-4c3d-8e4f-100100100105,,,Elective surgery Category 3,Elective C,Elective surgery within one year,Finding,N/A,,,1,5
f47a1002-1a2b-4c3d-8e4f-100100100201,,,Anesthesia evaluation type,Eval type,Whether this is a first or second pre-anesthesia evaluation,Question,Coded,f47a1002-1a2b-4c3d-8e4f-100100100202;f47a1002-1a2b-4c3d-8e4f-100100100203,,1,6
f47a1002-1a2b-4c3d-8e4f-100100100202,,,First pre-anesthesia evaluation,1st evaluation,First pre-anesthesia evaluation encounter,Finding,N/A,,,1,7
f47a1002-1a2b-4c3d-8e4f-100100100203,,,Second pre-anesthesia evaluation,2nd evaluation,Second pre-anesthesia evaluation encounter,Finding,N/A,,,1,8
f47a1003-1a2b-4c3d-8e4f-100100100301,,,Fit to be scheduled for elective surgery?,Fit for scheduling,Whether the patient is fit to be scheduled for elective surgery after pre-anesthesia evaluation,Question,Coded,f47a1003-1a2b-4c3d-8e4f-100100100302;f47a1003-1a2b-4c3d-8e4f-100100100303,,1,9
f47a1003-1a2b-4c3d-8e4f-100100100302,,,Fit for elective surgery scheduling,Fit,Patient is fit to be scheduled for elective surgery,Finding,N/A,,,1,10
f47a1003-1a2b-4c3d-8e4f-100100100303,,,Unfit for elective surgery scheduling,Unfit,Patient is not fit to be scheduled for elective surgery,Finding,N/A,,,1,11
f47a1004-1a2b-4c3d-8e4f-100100100401,,,Fit to be admitted for surgery?,Fit for admission,Whether the patient is fit to be admitted for surgery after second pre-anesthesia evaluation,Question,Coded,f47a1004-1a2b-4c3d-8e4f-100100100402;f47a1004-1a2b-4c3d-8e4f-100100100403,,1,12
f47a1004-1a2b-4c3d-8e4f-100100100402,,,Fit for surgical admission,Fit,Patient is fit to be admitted for surgery,Finding,N/A,,,1,13
f47a1004-1a2b-4c3d-8e4f-100100100403,,,Unfit for surgical admission,Unfit,Patient is not fit to be admitted for surgery,Finding,N/A,,,1,14
f47a1005-1a2b-4c3d-8e4f-100100100501,,,Permanently unfit for elective surgery,Permanently unfit,Whether the patient is permanently unfit for elective surgery,Question,Coded,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,15
f47a1006-1a2b-4c3d-8e4f-100100100601,,,Re-evaluation appointment date,Re-eval date,Date for re-evaluation appointment when patient is unfit at first pre-anesthesia evaluation,Question,Date,,,1,16
f47a1007-1a2b-4c3d-8e4f-100100100701,,,Anesthesia evaluation notes,Anesthesia notes,Clinical notes from pre-anesthesia evaluation,Question,Text,,,1,17
f47a1008-1a2b-4c3d-8e4f-100100100801,,,Second evaluation not required,2nd eval not required,Whether a second pre-anesthesia evaluation is not required,Question,Coded,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,18
f47a1009-1a2b-4c3d-8e4f-100100100901,,,Second evaluation not required reason,2nd eval reason,Reason why second pre-anesthesia evaluation is not required,Question,Text,,,1,19
f47a1010-1a2b-4c3d-8e4f-100100101001,,,Return from admission reason,Return reason,Reason why a patient returned from surgical admission without proceeding to surgery,Question,Text,,,1,20
f47a1011-1a2b-4c3d-8e4f-100100101101,,,Admission ward category,Ward category,Whether the patient is being admitted to a surgical ward or another inpatient ward,Question,Coded,f47a1011-1a2b-4c3d-8e4f-100100101102;f47a1011-1a2b-4c3d-8e4f-100100101103,,1,21
f47a1011-1a2b-4c3d-8e4f-100100101102,,,Surgical ward admission,Surgical ward,Admission destination is a surgical ward,Finding,N/A,,,1,22
f47a1011-1a2b-4c3d-8e4f-100100101103,,,Non-surgical ward admission,Other inpatient ward,Admission destination is a non-surgical inpatient ward,Finding,N/A,,,1,23
