Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:1,_order:1
71c2d3e4-f5a6-7890-1234-567890abcdef,,,Date and Time of triage,Triage DateTime,Date and time when patient triage was performed,Question,Date,,,1,1
9c3d4e5f-6071-8901-2345-6789abcdef01,,,Any trauma to the patient within the past 48 hours,Trauma 48hrs,Question asking if patient experienced any trauma within the past 48 hours,Question,Coded,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,2
0d4e5f60-7182-9012-3456-789abcdef012,,,Time of Arrival,Arrival Time,Question asking about time of arrival categorized as day or night,Question,Coded,1e5f6071-8293-0123-4567-89abcdef0123;2f6071a2-9304-1234-5678-9abcdef01234,,1,3
1e5f6071-8293-0123-4567-89abcdef0123,,,Day,Day,Patient arrived during daytime hours,Finding,N/A,,,1,4
2f6071a2-9304-1234-5678-9abcdef01234,,,Night,Night,Patient arrived during nighttime hours,Finding,N/A,,,1,5
aa1b2c3d-4e5f-6789-0123-456789abcdef,,,Is the patient ambulatory,Ambulatory Status,Question asking if patient can walk or move independently,Question,Coded,bb2c3d4e-5f60-7890-1234-56789abcdef0;cc3d4e5f-6071-8901-2345-6789abcdef01,,1,6
bb2c3d4e-5f60-7890-1234-56789abcdef0,,,Ambulatory,Ambulatory,Patient can walk or move independently,Finding,N/A,,,1,7
cc3d4e5f-6071-8901-2345-6789abcdef01,,,Non-Ambulatory,Non-Ambulatory,Patient cannot walk or move independently,Finding,N/A,,,1,8
dd4e5f60-7182-9012-3456-789abcdef012,,,Condition of patient on arrival,Arrival Condition,Question asking about patient's medical condition upon arrival,Question,Coded,ee5f6071-8293-0123-4567-89abcdef0123;ff607182-9304-1234-5678-9abcdef01234,,1,9
ee5f6071-8293-0123-4567-89abcdef0123,,,Acute,Acute,Patient has acute medical condition,Finding,N/A,,,1,10
ff607182-9304-1234-5678-9abcdef01234,,,Chronic,Chronic,Patient has chronic medical condition,Finding,N/A,,,1,11
