Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:1,_order:1
1a2b3c4d-5e6f-7890-abcd-ef1234567890,,,Chief Complaint Notes,CC Notes,Additional notes and details about the patient's chief complaint,Question,Text,,,1,1
2b3c4d5e-6f70-8901-bcde-f23456789012,,,Chronic OPD Details Medical Surgical History,Past History,Detailed medical and surgical history for chronic outpatient care,Question,Text,,,1,2
3c4d5e6f-7081-9012-cdef-345678901234,,,ER General Notes Allergies,Allergy Type,Question asking about type of allergies for emergency room documentation,Question,Coded,139994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;141760AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;4d5e6f70-8192-0123-def4-56789012345a;1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,3
4d5e6f70-8192-0123-def4-56789012345a,,,Environmental Allergy,Environmental,Allergic reactions to environmental factors such as pollen dust or chemicals,Finding,N/A,,,1,4
5e6f7081-9203-1234-ef56-789012345abc,,,Allergy Notes,Allergy Notes,Additional notes and details about patient allergies,Question,Text,,,1,5
6f708192-a314-2345-f678-90123456bcde,,,General Appearance,General Appearance,Clinical assessment of patient's general appearance and overall condition,Question,Text,,,1,6
70819203-b425-3456-0789-123456cdefab,,,HEENT,HEENT,Head Eyes Ears Nose and Throat examination findings,Question,Text,,,1,7
8192a314-c536-4567-1890-23456defabcd,,,Lymphoglandular Systems,LGS,Examination findings of lymph nodes and glandular systems,Question,Text,,,1,8
92a3b425-d647-5678-2901-3456efabcdef,,,Respiratory System,RS,Clinical examination findings of the respiratory system,Question,Text,,,1,9
a3b4c536-e758-6789-3012-456fabcdef01,,,Cardiovascular System,CVS,Clinical examination findings of the cardiovascular system,Question,Text,,,1,10
b4c5d647-f869-789a-4123-567abcdef012,,,Abdomen and Pelvis,Abdomen Pelvis,Clinical examination findings of the abdomen and pelvic region,Question,Text,,,1,11
e2b668ac-7efb-4344-8ea8-b7cb70976652,,,Genitourinary System,GUS,Clinical examination findings of the genitourinary system,Question,Text,,,1,12
b07461a8-5b2f-4f1e-84a3-f94a0c5585a9,,,Musculoskeletal System,MSS,Clinical examination findings of the musculoskeletal system,Question,Text,,,1,13
91656b31-9ff8-4a99-a37e-55841170bea9,,,Integumentary System,IS,Clinical examination findings of the integumentary system including skin,Question,Text,,,1,14
f809a2b3-3ca3-b23e-8567-9ef012345678,,,Nervous System,NS,Clinical examination findings of the nervous system,Question,Text,,,1,15
09a2b3c4-4db4-c34f-9678-0ef123456789,,,History Notes,History Notes,Clinical notes about patient's medical history and present illness,Question,Text,,,1,16
0a1b2c3d-5e6f-7890-abcd-ef1234567890,,,Presenting complaints set,Presenting Complaints Set,Container set for presenting complaints obsGroup in history and physical examination,ConvSet,N/A,,,1,17
c1d2e3f4-5a6b-7c8d-9e0f-1a2b3c4d5e6f,,,Image Video Set,Image/Video Set,Container set for image or video uploads in clinical encounters,ConvSet,N/A,,,1,18
d2e3f4a5-6b7c-8d9e-0f1a-2b3c4d5e6f7a,,,Image Video File,Image/Video,Stores uploaded image or video file for a clinical encounter,Question,Complex,,,1,19
e3f4a5b6-7c8d-9e0f-1a2b-3c4d5e6f7a8b,,,Smoking History,Smoking History,Question asking about patient's history of smoking tobacco products,Question,Boolean,,,1,20
