Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:1,_order:1
24924515-f9ef-4bce-9b5f-1bdc27745c71,,ICD-11-WHO:01;ESV-ICD 11:01,Certain infectious or parasitic diseases,,,Diagnosis,N/A,,,1,1
cf9a52c3-9ad8-4e1a-a605-c54e8c9bf64d,,ICD-11-WHO:02;ESV-ICD 11:02,Neoplasms (ICD-11 02),,,Diagnosis,N/A,,,2,1
809811a0-4b7c-493a-bd4b-9828d85886f6,,ICD-11-WHO:03;ESV-ICD 11:03,Diseases of the blood or blood-forming organs,,,Diagnosis,N/A,,,1,1
d6a8d0d9-195f-4850-a824-b26662e1a46a,,ICD-11-WHO:04;ESV-ICD 11:04,Diseases of the immune system,,,Diagnosis,N/A,,,1,1
11218f16-7aea-4df4-882b-a408becc0e87,,ICD-11-WHO:05;ESV-ICD 11:05,"Endocrine, nutritional or metabolic diseases",,,Diagnosis,N/A,,,1,1
d721eaf7-cb5c-4222-bc12-cd59eaa92728,,ICD-11-WHO:06;ESV-ICD 11:06,"Mental, behavioural or neurodevelopmental disorders",,,Diagnosis,N/A,,,1,1
68ce8e1a-7461-45ed-9590-45141e78eb83,,ICD-11-WHO:07;ESV-ICD 11:07,Sleep-wake disorders,,,Diagnosis,N/A,,,1,1
5afe4db5-8824-42b2-9aec-2856c7ef2373,,ICD-11-WHO:08;ESV-ICD 11:08,Diseases of the nervous system,,,Diagnosis,N/A,,,1,1
c3c36db1-a739-4b68-8921-671f4c9fbe18,,ICD-11-WHO:09;ESV-ICD 11:09,Diseases of the visual system,,,Diagnosis,N/A,,,1,1
c5acb06f-34c7-4231-94e5-d9a74453746e,,ICD-11-WHO:1C10.1,Abdominal actinomycosis,,,Diagnosis,N/A,,,2,1
9f3b765d-1f79-4dcc-9011-a0f839f0f48a,,ICD-11-WHO:1D03.31,Abscess of the corpus callosum,,,Diagnosis,N/A,,,2,1
524aee88-a711-49e3-aec2-d55ca49cf43e,,ICD-11-WHO:1F50,Acanthamoebiasis,,,Diagnosis,N/A,,,2,1
c9ae9c3b-d1d4-40f1-8ce1-b4ed60ed2364,,ICD-11-WHO:1C43;ESV-ICD 11:1C43,Actinomycetoma,,,Diagnosis,N/A,,,2,1
53fcea02-7ca2-48f9-8711-0aacb97862e6,,ICD-11-WHO:1C10;ESV-ICD 11:1C10,Actinomycosis,,,Diagnosis,N/A,,,2,1
eaa1883a-1dbe-4f22-8ac5-664428d480a0,,ICD-11-WHO:1C10.Z,"Actinomycosis, unspecified",,,Diagnosis,N/A,,,2,1
fbc1362c-3f42-4429-9034-6bdda39d170b,,ICD-11-WHO:1C23.1,Active stage of trachoma,,,Diagnosis,N/A,,,2,1
b12acbad-ad36-4f70-b7ca-35ac2b5a9df2,,ICD-11-WHO:1F53.1,Acute Chagas disease without heart involvement,,,Diagnosis,N/A,,,2,1
a14e4558-afcd-4181-a200-8967b7111c76,,ICD-11-WHO:1A36.00,Acute amoebiasis,,,Diagnosis,N/A,,,2,1
59310e88-4167-46b4-8f9d-86202c83b2ad,,ICD-11-WHO:1D84.1,Acute epidemic haemorrhagic conjunctivitis,,,Diagnosis,N/A,,,2,1
3a989dd0-9ad3-4b6d-ad8f-31357d5dea15,,ICD-11-WHO:1E50.0;ESV-ICD 11:1E50.0,Acute hepatitis A,,,Diagnosis,N/A,,,2,1
d81a574b-7988-4fc3-9c11-e18210bdb050,,ICD-11-WHO:1E50.1;ESV-ICD 11:1E50.1,Acute hepatitis B,,,Diagnosis,N/A,,,2,1
bdca7ece-1a88-4f5d-86ff-48850e87d629,,ICD-11-WHO:1E50.2;ESV-ICD 11:1E50.2,Acute hepatitis C,,,Diagnosis,N/A,,,2,1
c678e926-7a24-4174-a970-05f22327478e,,ICD-11-WHO:1E50.3,Acute hepatitis D,,,Diagnosis,N/A,,,2,1
43f932be-9d76-4550-a463-21b9a990d836,,ICD-11-WHO:1E50.4;ESV-ICD 11:1E50.4,Acute hepatitis E,,,Diagnosis,N/A,,,2,1
fa50c913-85ff-4287-918c-cb294c758b1b,,ICD-11-WHO:1E91.41,Acute herpetic geniculate ganglionitis,,,Diagnosis,N/A,,,2,1
ecb92ba5-2796-41fe-a5ea-83b6d71a2950,,ICD-11-WHO:1C1C.20,Acute meningococcaemia,,,Diagnosis,N/A,,,2,1
60790354-d864-4ed9-9b0b-8c4b2e89851d,,ICD-11-WHO:1B13.0,Acute miliary tuberculosis of a single specified site,,,Diagnosis,N/A,,,2,1
921502c5-0dfb-415a-857d-4e069b879a12,,ICD-11-WHO:1B13.1,Acute miliary tuberculosis of multiple sites,,,Diagnosis,N/A,,,2,1
c754415d-9c7c-4a2f-9d50-2f32ac8c3b94,,ICD-11-WHO:1B13.2,"Acute miliary tuberculosis, unspecified site",,,Diagnosis,N/A,,,2,1
dd7c9ecd-f3d8-4a22-a99e-58e4662367f0,,ICD-11-WHO:1E91.4,Acute neuropathy of cranial nerve due to zoster,,,Diagnosis,N/A,,,2,1
026549e5-b4c8-4a5e-b52d-c9943c3cb1f4,,ICD-11-WHO:1E91.4Z,"Acute neuropathy of cranial nerve due to zoster, unspecified",,,Diagnosis,N/A,,,2,1
e097ae7d-e723-41c2-9dc8-2241fb30fc46,,ICD-11-WHO:1C81;ESV-ICD 11:1C81,Acute poliomyelitis,,,Diagnosis,N/A,,,2,1
fbc093e4-2860-5c2a-9158-d860a951c736,,ESV-ICD 11:1C81,Acute poliomyelitis (Super-Category),,,ConvSet,N/A,,,2,1
caf1fbcf-f890-414a-a5c1-6eefa9d5e025,,ICD-11-WHO:1F25.00,Acute pulmonary coccidioidomycosis,,,Diagnosis,N/A,,,2,1
da7f1e72-ce62-4386-8e8e-65facff4fe10,,ICD-11-WHO:1B41.1,Acute rheumatic endocarditis,,,Diagnosis,N/A,,,2,1
7316a37d-7e47-44ad-bcbb-7239eacbe9b4,,ICD-11-WHO:1B41.1Z,"Acute rheumatic endocarditis, unspecified",,,Diagnosis,N/A,,,2,1
8e52d26d-adf6-47bf-912f-95e47442d73b,,ICD-11-WHO:1B41;ESV-ICD 11:1B41,Acute rheumatic fever with heart involvement,,,Diagnosis,N/A,,,2,1
a4b7471b-baa9-43e3-ab52-8f0bb35fe89e,,ICD-11-WHO:1B40;ESV-ICD 11:1B40,Acute rheumatic fever without mention of heart involvement,,,Diagnosis,N/A,,,2,1
eb9839fd-c346-4499-910a-64cbba6e9b83,,ICD-11-WHO:1B40.Z,"Acute rheumatic fever without mention of heart involvement, unspecified",,,Diagnosis,N/A,,,2,1
13c09d3e-f59d-48af-aeac-20beee013948,,ICD-11-WHO:1B41.Z,"Acute rheumatic heart disease, unspecified",,,Diagnosis,N/A,,,2,1
d0159e17-ca10-48e1-8c27-73580bb785e3,,ICD-11-WHO:1B41.2,Acute rheumatic myocarditis,,,Diagnosis,N/A,,,2,1
2eb23970-71ed-494b-bfb8-93b4766b17ab,,ICD-11-WHO:1B41.0,Acute rheumatic pericarditis,,,Diagnosis,N/A,,,2,1
66de4255-4dac-423a-bd5a-b037fe3fbbea,,ICD-11-WHO:1E91.40,Acute trigeminal zoster neuropathy,,,Diagnosis,N/A,,,2,1
5504e971-105c-4d20-bdd4-68d2b57f2095,,ICD-11-WHO:1D85.1,Acute viral carditis,,,Diagnosis,N/A,,,2,1
ec623231-00ec-40f4-b870-d912340cdcbe,,ICD-11-WHO:1E50;ESV-ICD 11:1E50,Acute viral hepatitis,,,Diagnosis,N/A,,,2,1
9b9aa115-be55-57bc-a609-15952a55ee22,,ESV-ICD 11:1E50,Acute viral hepatitis (Super-Category),,,ConvSet,N/A,,,2,1
070b84bc-b8e3-4217-9b4d-acd27291a63a,,ICD-11-WHO:1E50.Z,"Acute viral hepatitis, unspecified",,,Diagnosis,N/A,,,2,1
82f403ec-8f2a-489d-998b-f2360db7a463,,ICD-11-WHO:1D90,Adenovirus infection of unspecified site,,,Diagnosis,N/A,,,2,1
10bf267d-dc24-470a-9e12-657caaba5242,,ICD-11-WHO:1F51;ESV-ICD 11:1F51,African trypanosomiasis,,,Diagnosis,N/A,,,2,1
f825942f-27a5-5da5-82e9-9ec8e9b8b959,,ESV-ICD 11:1F51,African trypanosomiasis (Super-Category),,,ConvSet,N/A,,,2,1
33361e13-eb90-4919-98c9-731d41fca3e4,,ICD-11-WHO:1F51.Z,"African trypanosomiasis, unspecified",,,Diagnosis,N/A,,,2,1
3f9a834f-744d-47c0-a2cf-13b9f7e3f51e,,ICD-11-WHO:1D4C,Alkhurma haemorrhagic fever,,,Diagnosis,N/A,,,2,1
023048fe-e2ae-44ac-a91d-b7eb059ecf01,,ICD-11-WHO:1A36;ESV-ICD 11:1A36,Amoebiasis,,,Diagnosis,N/A,,,2,1
2657054f-761e-547f-b0ec-a418e94e7e1e,,ESV-ICD 11:1A36,Amoebiasis (Super-Category),,,ConvSet,N/A,,,2,1
