Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:1,_order:1
16e4f22a-3e7c-4ca0-a566-2d5cc064a33c,,,Date of LAFP insertion,LAFP insertion date,Date when long acting family planning method was originally inserted before removal,Question,Date,,,1,1
5474bf3c-ab47-441f-848a-9640cb5c6056,,,Date of LAFP removal service,LAFP removal date,Date when long acting family planning removal service was provided to patient,Question,Date,,,1,2
9c4d5e6f-7081-9012-cdef-345678901234,,,Type of LAFP method used,LAFP type used,Text description of the specific long acting family planning method that was removed,Question,Text,,,1,3
0d5e6f70-8192-0123-def4-456789012345,,,Place where LAFP was received,LAFP service location,Location where patient originally received the long acting family planning method,Question,Coded,1e6f7081-9203-1234-ef56-789012345abc;2f708192-a314-2345-f678-90123456bcde;3081920a-b425-3456-0789-123456cdefab;4192031b-c536-4567-1890-23456defabcd;5203142c-d647-5678-2901-3456efabcdef,,1,4
1e6f7081-9203-1234-ef56-789012345abc,,,Within facility,Within facility,LAFP service received within the current healthcare facility,Finding,N/A,,,1,5
2f708192-a314-2345-f678-90123456bcde,,,Hospital out of facility,Hospital external,LAFP service received at external hospital facility,Finding,N/A,,,1,6
3081920a-b425-3456-0789-123456cdefab,,,Health center out of facility,Health center external,LAFP service received at external health center,Finding,N/A,,,1,7
4192031b-c536-4567-1890-23456defabcd,,,Health post out of facility,Health post external,LAFP service received at external health post,Finding,N/A,,,1,8
5203142c-d647-5678-2901-3456efabcdef,,,Private clinic out of facility,Private clinic external,LAFP service received at external private clinic,Finding,N/A,,,1,9
6314253d-e758-6789-3012-456fabcdef01,,,Implanon removal quantity,Implanon removed,Number of Implanon implants removed during LAFP removal procedure,Question,Numeric,,,1,10
7425364e-f869-789a-4123-567abcdef012,,,Sino-implant removal quantity,Sino-implant removed,Number of Sino-implant devices removed during LAFP removal procedure,Question,Numeric,,,1,11
8536475f-0970-890b-5234-678bcdef0123,,,Other LAFP removal quantity,Other LAFP removed,Number of other long acting family planning devices removed not specified above,Question,Numeric,,,1,12
9647586a-1081-901c-6345-789cdef01234,,,LAFP removal on recommended time,Removal on time,LAFP removal performed at the recommended time according to method guidelines,Finding,N/A,,,1,13
0758697b-2192-012d-7456-89def0123456,,,LAFP side effects experienced,LAFP side effects,Patient experienced side effects from long acting family planning method requiring removal,Finding,N/A,,,1,14
1869708c-3203-123e-8567-9ef012345678,,,Misconception about LAFP,LAFP misconception,Patient had misconceptions about long acting family planning method leading to removal request,Finding,N/A,,,1,15
2970819d-4314-234f-9678-0ef123456789,,,Death or other serious reason,Death other reason,LAFP removal due to death of partner or other serious circumstances,Finding,N/A,,,1,16
3081920e-5425-345g-0789-1ef23456789a,,,HIV positive patient linked to ART,HIV linked ART,Question asking if HIV positive patient was successfully linked to antiretroviral therapy,Question,Coded,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,17
4192031f-6536-456h-1890-2ef3456789ab,,,Target population high risk groups,Target population,Classification of patient into target population categories for family planning services,Question,Coded,5203142a-7647-567i-2901-3ef456789abc;6314253b-8758-678j-3012-4ef56789abcd;7425364c-9869-789k-4123-5ef6789abcde;8536475d-0970-890l-5234-6ef789abcdef;9647586e-1081-901m-6345-7ef89abcdef0;0758697f-2192-012n-7456-8ef9abcdef01;1869708a-3203-123o-8567-9efabcdef012;2970819b-4314-234p-9678-0fabcdef0123;3081920c-5425-345q-0789-1abcdef01234,,1,18
5203142a-7647-567i-2901-3ef456789abc,,,Female commercial sex workers,Commercial sex workers,Women engaged in commercial sex work requiring targeted family planning services,Finding,N/A,,,1,19
