Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_order:500,Mappings|SAME-AS
543034c5-c9ab-4bc4-91ed-08942930ba1b,,,Medical Supply Items,,Misc,N/A,,,
b0648882-fdec-4fbb-8cd6-ad73c254c541,,,Condoms (Male),,Medical supply,N/A,,,DAGU Item:221
fe4f0794-2da5-4b99-8e2a-1f19403417a5,,,Absorbable Gelatin Sponge,,Medical supply,N/A,,,DAGU Item:709
3642a8cb-126b-404f-ad78-f4b259976c85,,,Condoms (Female),,Medical supply,N/A,,,DAGU Item:1532
fe568c67-bdf6-416d-939c-bbb882d1c1e2,,,Centrifuge Tube 50ml,,Medical supply,N/A,,,DAGU Item:2074
eedd90e4-76df-45e9-b99a-2b70c6439213,,,Pipette Multi Channel,,Medical supply,N/A,,,DAGU Item:2080
66b2968d-2f24-4662-8db2-63e0631d0473,,,Thermal Paper,,Medical supply,N/A,,,DAGU Item:2082
6650dd8b-6d0a-41df-b9bd-a689b3bfd6ed,,,"Pasteur Pipette 3 ml, graduated",,Medical supply,N/A,,,DAGU Item:2095
e501ab46-bf5a-47b0-8985-6e04d16ce2b9,,,Urine Collecting Bag Pieces,,Medical supply,N/A,,,DAGU Item:2098
022164fd-a0d8-4ea6-a68a-d3ec618f19a9,,,Apron Cotton,,Medical supply,N/A,,,DAGU Item:2101
7469d20c-ecbd-43e9-9ac6-fb415a995634,,,Disposable Syringe 2ml with needle 21G,,Medical supply,N/A,,,DAGU Item:2106
78aa99de-f460-4820-b2f8-b7d2b5cb8474,,,Disposable Syringe 5ml with needle 21G,,Medical supply,N/A,,,DAGU Item:2107
3cb7c316-b390-49be-8066-ed44df4f7f96,,,Examination Glove Latex Medium Size,,Medical supply,N/A,,,DAGU Item:2108
d29b6c0e-d325-4a05-9cce-a5441290df6d,,,Gauze Bandage 7.5cm x 5m,,Medical supply,N/A,,,DAGU Item:2111
31429678-b5c5-4d2b-89f3-ff7043ecc859,,,Incinerator Plastic Bin of 22 Liter,,Medical supply,N/A,,,DAGU Item:2112
c4117f56-30e9-41fa-bddc-f88f01715129,,,Safety Box,,Medical supply,N/A,,,DAGU Item:2113
b4425018-4c4d-4599-9416-5dc2ab3f60ed,,,Surgical Glove Sterial Latex No. 7.5,,Medical supply,N/A,,,DAGU Item:2117
f0a2f683-a8e2-49c7-beb4-c5c459b264ec,,,Biohazard Bags 8x12,,Medical supply,N/A,,,DAGU Item:2118
29849180-350f-4229-8f33-f6eb89de3b21,,,Heavy Duty Glove large,,Medical supply,N/A,,,DAGU Item:2121
1611effb-e744-4a54-aac4-366266ade16e,,,Plastic Sheet Drawer 20m,,Medical supply,N/A,,,DAGU Item:2123
8880edbf-adf2-432e-a6cb-2250f8f82e7d,,,Biohazard Bags,,Medical supply,N/A,,,DAGU Item:2125
c8ac0154-3579-4884-ac8c-18e2de3c54cb,,,Eye Goggle,,Medical supply,N/A,,,DAGU Item:2126
6025c72d-aa56-41ab-9dde-40a7debfc09e,,,Face Mask Surgical,,Medical supply,N/A,,,DAGU Item:2141
30e76eb0-0eef-43e6-b334-0dd4d390ce85,,,Auto Disposable Syringe 2ml with Needle 21G of 100,,Medical supply,N/A,,,DAGU Item:2144
a99bb316-37f2-41b5-82ea-85a90adca31c,,,Toilet Tisue 100gm,,Medical supply,N/A,,,DAGU Item:2148
214d3744-9888-405d-af3f-dcccfac94ff2,,,Umblical Medium size,,Medical supply,N/A,,,DAGU Item:2149
8fdd1691-804c-42c5-b83d-9cdfd0f6feb3,,,Community Home Based Care Bag,,Medical supply,N/A,,,DAGU Item:2150
aae65c24-4ae4-4fbe-a1b6-d9ef3b7c3c4c,,,Adhesive Cover (Optical ),,Medical supply,N/A,,,DAGU Item:2165
b307fef6-8dbb-4fe6-9ed1-b03520061f9c,,,Micro Tube Centrifuge 1.5ml Sterial,,Medical supply,N/A,,,DAGU Item:2171
4b00b530-b2f3-4a45-a99e-7ba48a3bdc5b,,,Combitip Plus Adapter 25ml,,Medical supply,N/A,,,DAGU Item:2172
8ef3a793-76d0-4a56-ab1a-e5c90884d78e,,,Apron Plastic Reusable Autoclavable blue,,Medical supply,N/A,,,DAGU Item:2175
c9397ab0-eea8-4a70-bd6a-19baf8badb47,,,Probe Cleaning Filter,,Medical supply,N/A,,,DAGU Item:2181
af62e044-fe75-4620-8b58-dee825d304e9,,,Cryogenic Vial Of 450,,Medical supply,N/A,,,DAGU Item:2184
b33684d2-1a13-4f94-ab99-a6fe6d23b31a,,,Syringe(AD) 5ml with needle 21G,,Medical supply,N/A,,,DAGU Item:2185
