Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_order:500,_version:1
c94e682e-6ceb-4f7b-a782-7df1dcd04dbe,,,Medical Supply Items,,ConvSet,N/A,,,2
40093985-8307-44cc-b801-413bf1f23cfd,,,Condoms (Male),,Medical supply,N/A,,,2
16dbd5fc-d5c1-4b4f-a021-1d0781a083ad,,,Absorbable Gelatin Sponge (Medical Supply),,Medical supply,N/A,,,2
9caf93a6-26e8-4ff9-a666-a02e8ddddd61,,,Condoms (Female),,Medical supply,N/A,,,2
f565793c-35d6-4437-9b62-4719b0a99199,,,Centrifuge Tube 50ml,,Medical supply,N/A,,,2
8c5d61d0-e537-49ae-915b-3ff3b5c0eb8a,,,Pipette Multi Channel,,Medical supply,N/A,,,2
09940bb3-29a5-4af8-8fae-4b742e177bba,,,Thermal Paper ,,Medical supply,N/A,,,2
25516726-066a-492f-8f51-9d9d861d236d,,,"Pasteur Pipette 3 ml, graduated",,Medical supply,N/A,,,2
b547f01a-27b6-4c52-b63d-8597ce0b0ede,,,Urine Collecting Bag Pieces,,Medical supply,N/A,,,2
e43fe0e1-c9e2-4b6b-919a-1e53ef433ff5,,,Apron Cotton,,Medical supply,N/A,,,2
e892339c-75b1-40a5-a514-209450963631,,,Disposable Syringe 2ml with needle 21G,,Medical supply,N/A,,,2
1879105f-0bfd-4d5c-a600-1a42ff3193e0,,,Disposable Syringe 5ml with needle 21G,,Medical supply,N/A,,,2
8c21ba89-9eca-4507-8125-75ba4e60727d,,,Examination Glove Latex Medium Size,,Medical supply,N/A,,,2
38c1a792-3fac-4f82-a5ec-89ffb3f79a44,,,Gauze Bandage 7.5cm x 5m,,Medical supply,N/A,,,2
52e4ab13-074d-49a1-977c-055e68960e50,,,Incinerator Plastic Bin of 22 Liter,,Medical supply,N/A,,,2
1fcecf77-0d11-436f-8243-accfbd4c11bb,,,Safety Box,,Medical supply,N/A,,,2
25be158b-e94c-4d7b-b8d8-ca459a409a24,,,Surgical Glove Sterial Latex No. 7.5,,Medical supply,N/A,,,2
c2d2d137-150d-4228-8d2d-aea666c14615,,,Biohazard Bags 8x12,,Medical supply,N/A,,,2
2ba57497-32db-49fd-a86c-10322e3948ce,,,Heavy Duty Glove large,,Medical supply,N/A,,,2
5b821ff6-d880-48b8-921b-08f5e4b0457c,,,Plastic Sheet Drawer 20m,,Medical supply,N/A,,,2
f85fa003-66d9-4562-b3c6-26834cd1c57e,,,Biohazard Bags ,,Medical supply,N/A,,,2
e82e5cc1-29ce-4f90-9d06-397af40b379e,,,Eye Goggle,,Medical supply,N/A,,,2
329ee741-516c-42cd-ba1a-f5c1cd549431,,,Face Mask Surgical,,Medical supply,N/A,,,2
