Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:1,_order:1
3248528a-079b-46a3-85f8-0d28183727cb,,,Orphans and vulnerable children,OVC,Orphans and vulnerable children as HIV prevention target population,Finding,N/A,,,1,1
6e9e044e-e55e-44f5-8c4e-28a264cb9b77,,,Children of people living with HIV,Children of PLHIV,Biological children of a parent living with HIV as target population,Finding,N/A,,,1,1
89841663-c7c8-4aa2-a9c6-cb4a265fbced,,,Known or likely cause of CKD [proj],Known or likely cause of CKD,Known or likely cause of condition,Question,Coded,123298AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;138729AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;119695AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,2,2
b4222c91-c99a-420b-bfe6-b0719cd93c0a,,,HIV prevention target population category,Target population,Target population categories for HIV testing or prevention program,Question,Coded,160579AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;162198AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;9ace0312-2200-40c3-ac68-93f48c132988;162277AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;3248528a-079b-46a3-85f8-0d28183727cb;6e9e044e-e55e-44f5-8c4e-28a264cb9b77;a1c83cfe-bc4d-4b81-b7b1-a594d43aa4c1;5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;164928AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,1
1a2b3c4d-5e6f-7890-abcd-ef1234567890,,,Chief Complaint for Triage Notes [proj],Chief Complaint for Triage N,Additional notes and details about the patient's chief complaint,Question,Text,,,1,1
0939ac62-6494-45f6-a1a7-2efc373924bb,,,Triage referral attachment [proj],Triage referral attachment,Uploaded referral document or file.,Misc,Complex,,,1,1
b997078c-1614-46bd-89ba-202988064651,,,Newborn Complications [proj],Newborn Complications,Newborn Complications,Question,Coded,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;5e09f336-8ed1-4c39-b6d8-95925469bffc;a60de0d2-ddd3-431a-87d9-b117da4a2494;39f9101f-791f-4558-bb26-616251283bd8;a76118c6-f3fb-4bf9-a374-50136a2564a3;60600744-cb4d-4d85-b0a4-9dded5240494;bade3381-08b2-45d8-ac46-b1fbdb0ebd98;5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,1
c53f3504-7b38-488c-adbc-af59a169f3f4,,,Confirmed / Suspected OIs [proj],Confirmed / Suspected OIs,Confirmed / Suspected OIs,Question,Coded,121252AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;21384cfc-a459-4852-b50c-fd65d006b758;e94ab113-9757-4afd-be39-dee8770429e3;e23bfae9-63b6-4e8a-8afa-8ceb0308fda9;f423a64e-9821-425f-9d8a-c0df10dcba97;117543AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;66f56c86-f437-4835-9da2-0255cfb5c20a;3f105b1c-c8fd-4ee0-a3b1-1bcbbd57c366;56f25c40-fdd7-46bf-8c35-9b47129144bf;5ec51542-6a40-4f25-8654-6af7628002a9,,1,1
c3082af8-f935-40c5-aa5b-74c684e81aea,,,Drug Name,Drug Name,Free-text drug name (medication administration record),Question,Text,,,1,3
b2a7a658-9f01-4b23-e567-8901234ef012,,,Other extrapulmonary TB site,Other extrapulmonary site,Free-text: specify other extrapulmonary TB site,Question,Text,,,1,3
