Uuid,Void/Retire,Mappings|SAME-AS,Fully specified name:en,Data class,Data type,_version:1
d3c7b5a4-4f6a-4a9b-8e0c-2f6b3a9d7c12,,LOINC:2347-3,Ascitic fluid Glucose,Test,Numeric,
e2f3a4b5-c6d7-48e9-8f0a-1b2c3d4e5f60,,LOINC:2346-5,Pleural fluid Glucose,Test,Numeric,
4e5f6a7b-8c9d-4ae1-8f2a-3b4c5d6e7f80,,LOINC:2348-1,Synovial fluid Glucose,Test,Numeric,
f3a4b5c6-d7e8-49f0-9a1b-2c3d4e5f6a70,,LOINC:2882-9,Pleural fluid Protein,Test,Numeric,
5f6a7b8c-9d0e-4bf2-9a3b-4c5d6e7f8019,,LOINC:2886-0,Synovial fluid Protein,Test,Numeric,
9e8b4f0e-3a2f-4c51-9d4b-3a0f970b5d91,,LOINC:52818-2,Ascitic fluid Cell Count,Test,Numeric,
3d4e5f6a-7b8c-49d0-9e1f-2a3b4c5d6e7f,,LOINC:98999-6,Synovial fluid Cell Count,Test,Numeric,
5473AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,AMPATH:5473;CIEL:5473;PIH:5473;SNOMED CT:20109005;LOINC:24326-1,Serum electrolytes,LabSet,N/A,
161502AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,CIEL:161502;IMO ProcedureIT:602200;SNOMED CT:35650009;LOINC:55204-3,Thyroid function test,LabSet,N/A,
9f8ad719-98d6-4271-a7d7-080f66c74956,,LOINC:24364-2,Bone Chemistry Test,LabSet,N/A,
fa981970-db7e-4972-b061-01b076e2626b,,LOINC:47213-3,Urine Toxicology Test,LabSet,N/A,
13f40725-6227-4d1f-9eca-a450d7a91678,true,,Ascitic Fluid Culture and Sensitivity,Test,Text,
d26a6461-a3b3-4715-8d57-776fdb7d260d,true,,Pleural Fluid Culture and Sensitivity,Test,Text,
206e71fa-cafc-436a-8e20-9e9b0d6508aa,true,,Synovial Fluid Culture and Sensitivity Test,Test,Text,
1db971ae-d0d6-4628-b04b-fdca2517f290,true,,Fluid MCS Test,Test,Text,
f4d888a5-ab18-4e0a-a566-179f244e428e,true,,HVS Culture and Sensitivity Test,Test,Text,
d16265e6-6c6b-4caa-a89a-79d935cf71bc,true,,Fasting Lipid Panel Test,LabSet,N/A,
163748AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,CIEL:163748;SNOMED CT:52101004;LOINC:LA9633-4,Present,Misc,N/A,
163747AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,CIEL:163747;SNOMED CT:2667000;LOINC:LA9634-2,Absent,Misc,N/A,
690AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,AMPATH:688;AMPATH:690;CIEL:690;SNOMED CT:278149003;LOINC:LA21325-8,A positive,Finding,N/A,
692AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,AMPATH:691;AMPATH:692;CIEL:692;SNOMED CT:278152006;LOINC:LA21326-6,A negative,Finding,N/A,
694AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,AMPATH:693;AMPATH:694;CIEL:694;SNOMED CT:278150003;LOINC:LA21327-4,B positive,Finding,N/A,
696AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,AMPATH:695;AMPATH:696;CIEL:696;SNOMED CT:278153001;LOINC:LA21328-2,B negative,Finding,N/A,
699AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,AMPATH:698;AMPATH:699;CIEL:699;SNOMED CT:278147001;LOINC:LA21321-7,O positive,Finding,N/A,
701AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,AMPATH:700;AMPATH:701;CIEL:701;SNOMED CT:278148006;LOINC:LA21322-5,O negative,Finding,N/A,
1230AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,AMPATH:1230;CIEL:1230;SNOMED CT:278151004;LOINC:LA21323-3,Ab positive,Misc,N/A,
1231AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,AMPATH:1231;CIEL:1231;SNOMED CT:278154007;LOINC:LA21324-1,Ab negative,Misc,N/A,
1362AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,CIEL:1362;SNOMED CT:260408008;org.openmrs.module.mdrtb:WEAKLY POSITIVE;LOINC:LA19422-7;LOINC:LA11841-6,One plus,Finding,Boolean,
1363AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,AMPATH:1507;AMPATH:2074;CIEL:1363;PIH:1408;SNOMED CT:441517005;org.openmrs.module.mdrtb:MODERATELY POSITIVE;LOINC:LA6752-5;LOINC:LA11842-4,Two plus,Finding,Boolean,
1364AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,AMPATH:2075;CIEL:1364;PIH:1409;SNOMED CT:441521003;org.openmrs.module.mdrtb:STRONGLY POSITIVE;LOINC:LA18996-1;LOINC:LA11843-2,Three plus,Finding,Boolean,
1365AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,CIEL:1365;LOINC:LA6754-1;LOINC:LA11844-0,Four plus,Finding,Boolean,
