Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:1,_order:1
b1a7f0c2-9d34-4e51-8a26-1c2d3e4f5a60,,LOINC:11529-5,Histopathology examination,Histopathology,"Pathology order concept for OpenMRS<->OpenELIS. LOINC 11529-5 must match the OpenELIS Histopathology examination test so orders route to PATH.",Test,N/A,,,1,1
b2a8f1c3-9e45-4f62-9b37-2d3e4f5a6b71,,LOINC:33716-2,Cytology examination,Cytology,"Cytology order concept for OpenMRS<->OpenELIS. LOINC 33716-2 must match the OpenELIS Cytology examination test so orders route to CYTO.",Test,N/A,,,1,1
c1000001-1111-4a2b-8c3d-0e1f2a3b4c01,,,Pathology specimen site,Specimen site,Pathology request form: specimen site / source,Question,Text,,,1,1
c1000002-1111-4a2b-8c3d-0e1f2a3b4c02,,,Pathology clinical history,Clinical history,Pathology request form: clinical history,Question,Text,,,1,1
c1000003-1111-4a2b-8c3d-0e1f2a3b4c03,,,Pathology procedure,Procedure,Pathology request form: procedure (e.g. biopsy / excision),Question,Text,,,1,1
c1000004-1111-4a2b-8c3d-0e1f2a3b4c04,,,Pathology operative findings,Operative findings,Pathology request form: operative / surgeon findings,Question,Text,,,1,1
c1000005-1111-4a2b-8c3d-0e1f2a3b4c05,,,Pathology provisional diagnosis,Provisional diagnosis,Pathology request form: provisional clinical diagnosis,Question,Text,,,1,1
c2000001-2222-4a2b-8c3d-0e1f2a3b4c01,,,Pathology sample type Biopsy,Biopsy,Answer for pathology special-order sample type,Misc,N/A,,,1,1
c2000002-2222-4a2b-8c3d-0e1f2a3b4c02,,,Pathology sample type Morphology,Morphology,Answer for pathology special-order sample type,Misc,N/A,,,1,1
c2000003-2222-4a2b-8c3d-0e1f2a3b4c03,,,Morphology subtype Blood,Blood,Answer for pathology morphology subtype,Misc,N/A,,,1,1
c2000004-2222-4a2b-8c3d-0e1f2a3b4c04,,,Morphology subtype Bone marrow,Bone marrow,Answer for pathology morphology subtype,Misc,N/A,,,1,1
c2000012-2222-4a2b-8c3d-0e1f2a3b4c12,,,Special order referring department,Referring dept,Special-order request form: referring / requesting department (free text),Question,Text,,,1,1
c3000001-3333-4a2b-8c3d-0e1f2a3b4c01,,,Cytology sample type FNAC,FNAC,Answer for cytology special-order sample type,Misc,N/A,,,1,1
c3000002-3333-4a2b-8c3d-0e1f2a3b4c02,,,Cytology sample type Fluid cytology,Fluid cytology,Answer for cytology special-order sample type,Misc,N/A,,,1,1
c3000003-3333-4a2b-8c3d-0e1f2a3b4c03,,,Cytology sample type Pap smear,Pap smear,Answer for cytology special-order sample type,Misc,N/A,,,1,1
c3000011-3333-4a2b-8c3d-0e1f2a3b4c11,,,Cytology scope of examination,Scope of examination,Cytology request form: scope of examination,Question,Text,,,1,1
c3000012-3333-4a2b-8c3d-0e1f2a3b4c12,,,Previous FNAC,Previous FNAC,Cytology request form: previous FNAC history,Question,Text,,,1,1
c3000013-3333-4a2b-8c3d-0e1f2a3b4c13,,,FNAC site,FNAC site,Cytology request form: FNAC site(s),Question,Text,,,1,1
c3000014-3333-4a2b-8c3d-0e1f2a3b4c14,,,Fluid type and site,Fluid type/site,Cytology request form: fluid type and collection site,Question,Text,,,1,1
c3000015-3333-4a2b-8c3d-0e1f2a3b4c15,,,Pap smear site,Pap smear site,Cytology request form: Pap smear site / source,Question,Text,,,1,1
c3000016-3333-4a2b-8c3d-0e1f2a3b4c16,,,Cytology clinical data,Clinical data,Cytology request form: clinical data / history,Question,Text,,,1,1
c3000017-3333-4a2b-8c3d-0e1f2a3b4c17,,,Cytology technique,Technique,Cytology request form: collection / preparation technique,Question,Text,,,1,1
c3000018-3333-4a2b-8c3d-0e1f2a3b4c18,,,Cytology provisional diagnosis,Provisional diagnosis,Cytology request form: provisional clinical diagnosis,Question,Text,,,1,1
c2000010-2222-4a2b-8c3d-0e1f2a3b4c10,,,Pathology special-order sample type,Sample type,Pathology request form: Biopsy or Morphology,Question,Coded,c2000001-2222-4a2b-8c3d-0e1f2a3b4c01;c2000002-2222-4a2b-8c3d-0e1f2a3b4c02,,1,2
c2000011-2222-4a2b-8c3d-0e1f2a3b4c11,,,Pathology morphology subtype,Morphology subtype,Pathology request form: Blood or Bone marrow when sample type is Morphology,Question,Coded,c2000003-2222-4a2b-8c3d-0e1f2a3b4c03;c2000004-2222-4a2b-8c3d-0e1f2a3b4c04,,1,2
c3000010-3333-4a2b-8c3d-0e1f2a3b4c10,,,Cytology special-order sample type,Sample type,Cytology request form: FNAC / Fluid cytology / Pap smear,Question,Coded,c3000001-3333-4a2b-8c3d-0e1f2a3b4c01;c3000002-3333-4a2b-8c3d-0e1f2a3b4c02;c3000003-3333-4a2b-8c3d-0e1f2a3b4c03,,1,2
