Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:2,_order:1
5764876b-af8f-439f-a5de-fab7f5272ad1,,,Suicide attempt within past 72 hours,Suicide attempt 72h,Suicide attempt occurring within the past 72 hours per structured triage criteria,Finding,N/A,,,1,1
65783b77-4045-4a8c-898e-c8815e2fc31a,,,Suicidal plan intent or recurrent ideation documented,Suicide plan or ideation,Current suicide plan specific intent or recurrent suicidal ideation documented per structured triage criteria,Finding,N/A,,,1,1
dfc9afe8-b966-4e2e-8ece-a5dc1a1e8dd0,,,Self injurious behavior within past 72 hours,Self injury 72h,Self injurious behavior occurring within the past 72 hours per structured triage criteria,Finding,N/A,,,1,1
7d5b9c36-403d-4906-96d7-23628c9d12c9,,,Psychiatric emergency danger to self criteria,Danger to self checklist,Coded checklist for danger-to-self criteria on psychiatric emergency triage,Question,Coded,5764876b-af8f-439f-a5de-fab7f5272ad1;65783b77-4045-4a8c-898e-c8815e2fc31a;dfc9afe8-b966-4e2e-8ece-a5dc1a1e8dd0,,1,3
c4d10931-2f13-4256-a597-c042300234e1,,,Dangerously aggressive behavior past seven days due to psychiatric disorder,Aggression 7d,Dangerously aggressive behavior during the past seven days attributed to active psychiatric disorder per structured triage criteria,Finding,N/A,,,1,1
9b9dfd6c-f291-4e82-ae1a-3912079768e3,,,Homicidal threat with means attributable to psychiatric disorder,Homicide threat means,Threat to kill or seriously injure another with apparent means where threatening behavior is attributed to psychiatric disorder per structured triage criteria,Finding,N/A,,,1,1
2637473f-1323-4e02-9428-a7d02943d605,,,Homicidal ideation plan or recurrent ideation attributable to psychiatric disorder,Homicidal ideation,Current homicide plan specific homicidal intent or recurrent homicidal ideation attributed to psychiatric disorder per structured triage criteria,Finding,N/A,,,1,1
b641ce76-04c6-4564-88d4-48f8f1ef3eb8,,,Psychiatric emergency danger to others criteria,Danger to others checklist,Coded checklist for danger-to-others criteria on psychiatric emergency triage,Question,Coded,c4d10931-2f13-4256-a597-c042300234e1;9b9dfd6c-f291-4e82-ae1a-3912079768e3;2637473f-1323-4e02-9428-a7d02943d605,,1,3
3fb46529-d635-4eaf-a960-40ce71e815eb,,,Psychotropic medication nonadherence pattern with outpatient refusal,Medication refusal pattern,History of refusing psychotropic medications or refusing outpatient use despite medical recommendation per structured triage criteria,Finding,N/A,,,1,1
e17642af-63b9-45b1-b72d-c477a81f0dd1,,,Life-threatening medical regimen nonadherence,Medical nonadherence risk,Patient at risk of serious harm due to refusal of essential medical therapy such as insulin per structured triage criteria,Finding,N/A,,,1,1
b7dcb9a7-fcf7-4eb1-bf9e-4642853b261d,,,Substance withdrawal requiring supervised setting beyond brief home observation,Withdrawal supervised,Substance withdrawal severity indicating inability to remain safely at home beyond a short observation window per structured triage criteria,Finding,N/A,,,1,1
832a6c70-0f34-486e-b25b-433cb6442ce7,,,Severe medication adverse reaction or acute toxidrome,Severe drug reaction,Severe medication adverse effects neuroleptic malignant syndrome serotonin toxicity or comparable acute drug reaction per structured triage criteria,Finding,N/A,,,1,1
2ef55bac-d167-4386-b3d8-8d004ec1af57,,,Psychiatric emergency gravely disabled ancillary criteria,Gravely disabled ancillary,Coded checklist of ancillary gravely-disabled criteria on psychiatric emergency triage,Question,Coded,3fb46529-d635-4eaf-a960-40ce71e815eb;e17642af-63b9-45b1-b72d-c477a81f0dd1;b7dcb9a7-fcf7-4eb1-bf9e-4642853b261d;832a6c70-0f34-486e-b25b-433cb6442ce7,,1,4
ced3891a-d9c5-4a08-ba0c-8927e89a1253,,,Gravely disabled major role impairment criterion endorsement,Gravely disabled criterion A,Whether serious impairment in major life roles due to psychiatric illness is endorsed for gravely disabled triage criterion A,Question,Coded,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,2
a289c15d-6f44-465f-b9d8-a362c6c67331,,,Functional impairment due to psychiatric disorder narrative,Gravely disabled A notes,Free text documenting serious impairment in major life roles attributed to psychiatric disorder for gravely disabled criterion A,Question,Text,,,1,1
7472740c-870c-4ff4-abf2-90e098188c96,,,Gravely disabled acute psychotic symptom criterion endorsement,Gravely disabled criterion C,Whether acute onset or exacerbation of psychotic symptoms threatening wellbeing is endorsed for gravely disabled triage criterion C,Question,Coded,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,2
10bedcbb-e8cb-4513-813b-c81d34342934,,,Acute psychotic symptom exacerbation narrative,Gravely disabled C notes,Free text documenting acute onset or exacerbation of hallucinations delusions or related symptoms for gravely disabled criterion C,Question,Text,,,1,1
f20249ad-b2b0-4798-a639-7da7e4804ff1,,,Gravely disabled catatonia or food refusal criterion endorsement,Gravely disabled criterion D,Whether severe catatonia including food refusal is endorsed for gravely disabled triage criterion D,Question,Coded,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,2
ea8795f6-4be5-45fd-abbe-621f51358356,,,Severe catatonia or nutrition refusal narrative,Gravely disabled D notes,Free text documenting severe catatonic features or refusal of nutrition for gravely disabled criterion D,Question,Text,,,1,1



