Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:4,_order:1
009e9669-45ee-400d-b8e3-084129b30227,,,Hepatitis C antiviral regimen category,HCV regimen,Selected direct-acting antiviral regimen for hepatitis C treatment in the register.,Question,Coded,3654dc4f-c8ca-584d-a0ab-23079a74d368;2bb831f9-ae1b-4a29-9d83-b0ad928b562e;d264419e-e0b9-4c8c-98b6-3701e965dfce;7a96ad3d-099a-4f46-a672-cecc67cd5a69;d6f5688b-7260-4eb2-aa57-cfe90a67cf0d;5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,1
01122334-4556-4ab7-b901-c6d7e8f90112,,,Final tuberculosis diagnosis classification,Final TB diagnosis,Final tuberculosis diagnostic classification for contact screening encounter.,Question,Coded,164412AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;164413AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;12233445-5667-4bc8-ca12-d7e8f9011223;d4e5f607-1829-4dab-ce34-f5670a1b2c23;23344556-6778-4cd9-db23-e8f901122334,,1,1
012345cd-5667-4456-abcd-567890123478,,,Artemether-lumefantrine with single low-dose primaquine,ACT+SLDPQ,Treatment of artemether-lumefantrine plus single low-dose primaquine for malaria,Finding,N/A,,,1,1
04152637-4859-440a-c51b-6c7d8e9f0a1b,,,Direct agglutination test result for leishmaniasis,DAT result,Result of direct agglutination test for leishmaniasis.,Question,Coded,703AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;664AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;37485960-7182-473d-f84e-9f0a1b2c3d4e,,1,1
04748596-0718-440a-e51b-829304152637,,,Lesion size category,Lesion size,Size category for lesions in cutaneous disease assessment.,Question,Coded,15859607-1829-451b-f62c-930415263748;26960718-2930-462c-a73d-041526374859,,1,1
0578129a-34bc-4de5-e067-89abcdef0123,,,Deworming dose one date,Deworming dose 1 date,Date when first deworming dose was administered in the register period.,Question,Date,,,1,1
05cbbc4c-8989-4665-95f9-d37d78ffa5ad,,,Chronic liver disease stage at HCV care baseline,Liver stage baseline,"Liver disease severity category at HCV treatment baseline, aligned to common register language (no cirrhosis, compensated cirrhosis, decompensated cirrhosis, HCC).",Question,Coded,924b36a2-4d0e-414b-a437-5a224e9360eb;814b128e-31fe-4d23-a50a-ff7752c92adc;30190f8d-55f4-5b17-b96c-77c441f38120;a67c14de-1ba9-4d07-8bcf-7a84361dfef3,,1,1
05f87410-9b46-4d74-8899-a5b080143e24,,,HCV register follow-up status code 4,HCV FU 4,Fourth local coded follow-up status for hepatitis C treatment register.,Finding,N/A,,,1,1
07182930-0112-4b47-b901-c22334455678,,,Developed active tuberculosis during preventive treatment,Developed TB on TPT,Outcome category indicating active tuberculosis developed while on preventive treatment follow-up.,Finding,N/A,,,1,1
0718293a-4b5c-40de-f167-2c3d4e5f6078,,,Isoniazid resistant tuberculosis on register,Hr TB,Index DST indicates isoniazid resistant tuberculosis in register context.,Finding,N/A,,,1,1
07182940-4b5c-4345-0123-456789012367,,,Not currently pregnant,Not pregnant,Patient is not currently pregnant at time of assessment,Finding,N/A,,,1,1
07c9ebf2-8bad-40c2-e475-6a8c0e2f4b76,,,Oxytocin concentration units per liter,Oxytocin U/L,Numeric concentration of oxytocin in units per liter for infusion preparation.,Question,Numeric,,,1,1
08192a3b-4c5d-4e56-9789-0123456789ab,,,Leprosy treatment after loss to follow-up category,Tx after LTFU,Treatment history category for leprosy patient returning after loss to follow-up.,Finding,N/A,,,1,1
08192a3b-4c5d-4e67-9789-0123456789ab,,,Number of household contacts diagnosed with leprosy during screening,Household contacts diagnosed,Count of household contacts diagnosed with leprosy during screening follow-up.,Question,Numeric,,,1,1
08776c46-63fe-4845-8c9e-c922ba5044fb,,,HCV treatment follow-up week 24,FU week 24,Follow-up visit at week 24 in local hepatitis C treatment protocol.,Finding,N/A,,,1,1
09123456-7890-1234-0912-345678901234,,,Diarrhoea symptoms narrative,Diarrhoea symptoms,Free text description of diarrhoea-related symptoms in infant clinical assessment.,Question,Text,,,1,1
0a28c8c0-fd04-4efa-a61d-030f8ee72ae9,,,Chronic hepatitis B clinical category IV,HBV stage IV,Fourth category in local chronic hepatitis B clinical staging scale.,Finding,N/A,,,1,1
0a718293-0415-440a-a51b-263748596071,,,Sodium stibogluconate regimen,SSG,Sodium stibogluconate regimen documented.,Finding,N/A,,,1,1
0a78129a-34bc-4de5-ef67-89abcdef0123,,,Lymph nodes abnormal finding,Lymph nodes,Clinical finding of abnormal lymph nodes on focused physical examination,Finding,N/A,,,1,1
11c454d8-e21d-44b8-9314-7ab373d1995e,,,HBV treatment indication code 1,HBV ind 1,First coded treatment indication or eligibility reason in local hepatitis B register.,Finding,N/A,,,1,1
12233445-5667-4bc8-ca12-d7e8f9011223,,,Drug-resistant tuberculosis diagnosis,DR TB diagnosis,Final diagnosis category indicating drug-resistant tuberculosis disease.,Finding,N/A,,,1,1
12345def-6778-4567-bcde-678901234589,,,Chloroquine with radical cure primaquine,CQ+RCpq,Treatment of chloroquine plus radical cure dose of primaquine for malaria,Finding,N/A,,,1,1
12fd5e41-59f8-4a55-8a36-3d3ceb401006,,,No disability reported,No disability,Structured response indicating no disability identified or reported for this assessment,Finding,N/A,,,1,1
15263748-5960-451b-d62c-7d8e9f0a1b2c,,,Rapid diagnostic test result for leishmaniasis,RDT result,Result of rapid diagnostic test for leishmaniasis.,Question,Coded,703AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;664AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,1
15859607-1829-451b-f62c-930415263748,,,Lesion size less than four centimeters,<4cm,Lesion size less than four centimeters.,Finding,N/A,,,1,1
168923ab-45cd-4ef6-f178-9abcdef01234,,,Deworming dose two date,Deworming dose 2 date,Date when second deworming dose was administered in the register period.,Question,Date,,,1,1
18293a4b-5c6d-412e-8078-3d4e5f607189,,,Tuberculosis contact person or other eligible group name,Contact name,Name of screened tuberculosis contact person or other TPT eligible group member.,Question,Text,,,1,1
18293a4b-5c6d-4456-1234-567890123478,,,History of fever,Hx of fever,Question asking whether the patient has a history of fever,Question,Coded,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,1
182cc777-5fe0-4df4-b8f6-4d83d2f655d5,,,HBV antiviral regimen code 5,HBV rx code 5,Fifth local coded antiviral regimen option for hepatitis B register.,Finding,N/A,,,1,1
18dae1f3-9cbe-41d3-f586-7b9d1f3a5c87,,,Urine protein description notes,Urine protein notes,Free text description of urine protein finding during labor monitoring.,Question,Text,,,1,1
192a3b4c-5d6e-4f67-a89a-123456789abc,,,Other previously treated leprosy patient category,Other previously treated,Registration category for leprosy patient with prior treatment history not otherwise specified.,Finding,N/A,,,1,1
1a234567-8901-2345-1a23-456789012345,,,Infant currently breastfeeding,Infant breastfeeding,Coded yes/no question asking whether the infant is currently breastfeeding.,Question,Coded,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,2
1ab82be2-a3dc-4d0d-8720-e704871a6cff,,,HCV treatment register follow-up status,HCV FU status,Overall follow-up status code aligned to local paper hepatitis C treatment register.,Question,Coded,eaffbc74-f440-46ed-9e76-a5537bed977e;400bceed-d97b-43a1-b1d8-72521b6663a5;887aaa6a-5fec-4a12-b34a-086809d546ea;05f87410-9b46-4d74-8899-a5b080143e24,,1,1
1b829304-1526-451b-b62c-374859607182,,,Sodium stibogluconate plus paromomycin regimen,SSG+PM,Combination sodium stibogluconate and paromomycin regimen.,Finding,N/A,,,1,1
1b8923ab-45cd-4ef6-a078-9abcdef01234,,,Counseling provided for cervical screening and treatment options,Counseled options,Whether counseling was provided on VIA cryotherapy and LEEP treatment options,Question,Coded,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,1
1b89659b-192f-4d75-a2b6-a7ecb55189d2,,,Hepatitis C virus genotype (narrative),HCV genotype,Free text or coded genotype string for hepatitis C virus used for treatment planning.,Question,Text,,,1,1
23344556-6778-4cd9-db23-e8f901122334,,,No drug-sensitive or drug-resistant tuberculosis diagnosed,No DS or DR TB,Final assessment indicates neither drug-sensitive nor drug-resistant tuberculosis diagnosed.,Finding,N/A,,,1,1
23456ef0-7889-4678-cdef-789012345690,,,Visitor malaria case,Visitor case,Question asking whether the malaria case is a visitor or non-resident,Question,Coded,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,1
26258022-e12a-4f45-bdb6-40dd1dfaf11b,,,Hepatitis B DNA quantitative at treatment initiation (IU per mL),HBV DNA at start,Hepatitis B virus DNA level at or immediately before antiviral therapy initiation in international units per milliliter.,Question,Numeric,,,1,1
26374859-6071-462c-e73d-8e9f0a1b2c3d,,,Leishmaniasis aspirate grade,Aspirate grade,Numeric aspirate result or parasite grade for leishmaniasis.,Question,Numeric,,,1,1
26960718-2930-462c-a73d-041526374859,,,Lesion size greater than four centimeters,>4cm,Lesion size greater than four centimeters.,Finding,N/A,,,1,1
293a4b5c-6d7e-4567-2345-678901234589,,,Travel destination,,Destination or location where the patient recently traveled,Question,Text,,,1,1
29ebf204-adcf-42e4-a697-8c0e2a4b6d98,,,Urine acetone description notes,Urine acetone notes,Free text description of urine acetone finding during labor monitoring.,Question,Text,,,1,1
2a3b4c5d-6e7f-4078-b9ab-23456789abcd,,,Leprosy disability grade right eye,Eye R grade,Numeric disability grade recorded for right eye in leprosy disability assessment.,Question,Numeric,,,1,1
2a3b4c5d-6e7f-4090-b9ab-23456789abcd,,,Treatment outcome assigned date,Outcome assigned date,Date when treatment outcome status was assigned for the leprosy case.,Question,Date,,,1,1
2b345678-9012-3456-2b34-567890123456,,,Replacement milk use,Replacement milk,Finding indicating that replacement milk is being used as an infant feeding method.,Finding,N/A,,,1,1
2c930415-2637-462c-c73d-485960718293,,,Liposomal amphotericin B regimen,Ambisome,Liposomal amphotericin B treatment regimen.,Finding,N/A,,,1,1
2c9a34bc-56de-40f7-b189-abcdef012345,,,Screened with VIA at this visit,VIA screened,Whether VIA screening was performed at this visit,Question,Coded,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,1
2ecaa5d9-8231-4395-977d-1f58731a5c05,,,Hepatitis C treatment course completed,HCV tx completed,Whether the patient completed the planned hepatitis C antiviral course.,Question,Coded,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,1
34455667-7889-4dea-ec34-f90112233445,,,Tuberculosis contact management action,TB action taken,Programmatic action taken for the screened tuberculosis contact after diagnosis and assessment.,Question,Coded,45566778-8990-4efb-fd45-011223344556;56677889-9001-40fc-0e56-112233445667;67788990-0112-41ad-1f67-223344556778;def01234-8990-4789-789a-890123456701;78899001-1223-42be-2078-334455667889;5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,1
345670f1-8990-4789-def0-890123456701,,,Visitor stayed overnight at location,Visitor stayed,Question asking whether the visitor stayed overnight at the current location,Question,Coded,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,1
37485960-7182-473d-f84e-9f0a1b2c3d4e,,,Borderline laboratory result,Borderline,Borderline laboratory result status.,Finding,N/A,,,1,1
37a71829-3041-473d-b84e-152637485960,,,Elapsed time since lesion onset,Time elapsed,Elapsed time since lesion onset or symptom start.,Question,Numeric,,,1,1
3a121f53-2936-43b7-a7fe-121a9ee751af,,,HBV antiviral regimen code 3,HBV rx code 3,Third local coded antiviral regimen option for hepatitis B register.,Finding,N/A,,,1,1
3a4b5c6d-7e8f-4340-a29a-5f60718293ab,,,Tuberculosis contact registration reason,TB registration reason,Reason category used when registering a tuberculosis contact for screening and follow-up.,Question,Coded,4b5c6d7e-8f90-4451-b3ab-60718293a4bc;cb3719c5-239c-475a-ae8f-88c9b996bfa1;5c6d7e8f-9001-4562-c4bc-718293a4b5cd;6d7e8f90-0112-4673-d5cd-8293a4b5c6de,,1,1
3a4b5c6d-7e8f-4678-3456-789012345690,,,Malaria diagnosis method,Malaria dx method,Method used to confirm or make malaria diagnosis in the patient,Question,Coded,4b5c6d7e-8f90-4789-4567-890123456701;5c6d7e8f-9001-4890-5678-901234567812;6d7e8f90-0112-4901-6789-012345678923,,1,1
3b4c5d6e-7f80-4189-cabc-3456789abcde,,,Leprosy disability grade left eye,Eye L grade,Numeric disability grade recorded for left eye in leprosy disability assessment.,Question,Numeric,,,1,1
3b4c5d6e-7f80-41a1-cabc-3456789abcde,,,Leprosy treatment outcome status,Leprosy outcome,Outcome status of leprosy treatment course at program follow-up endpoint.,Question,Coded,160035AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;160034AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;160031AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;160036AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,1
3c456789-0123-4567-3c45-678901234567,,,Childhood immunization status narrative,Immunization status note,Free text narrative of childhood immunization status for children under 24 months.,Question,Text,,,1,1
3d041526-3748-473d-d84e-596071829304,,,Liposomal amphotericin B plus miltefosine regimen,Ambisome+Miltefosine,Combination liposomal amphotericin B and miltefosine regimen.,Finding,N/A,,,1,1
3d287cb2-9ee7-4e37-830b-d829f2f0b262,,,HBV antiviral regimen code 6,HBV rx code 6,Sixth local coded antiviral regimen option for hepatitis B register.,Finding,N/A,,,1,1
3dab45cd-67ef-4128-c29a-bcdef0123456,,,VIA screening result category,VIA result,Result category from VIA cervical screening assessment,Question,Coded,4ebc56de-78f0-4239-d3ab-cdef01234567;5fcd67ef-8901-434a-e4bc-def012345678;6ade78f0-9012-445b-f5cd-ef0123456789;7bef8901-a123-456c-067d-f0123456789a,,1,1
3fbbdfc8-0093-4604-8722-b67a0ec94a63,,,Hepatitis B treatment discontinuation reason,HBV stop reason,Reason antiviral therapy for hepatitis B was stopped or changed at this visit.,Question,Coded,bf0d8e11-c57e-4fd2-9672-d7cc193d9dc8;422bcbae-b675-4cd1-b45c-d0e173eb0ff8;7a2fc273-bfbd-454b-942a-ed595abd2a44,,1,1
400bceed-d97b-43a1-b1d8-72521b6663a5,,,HCV register follow-up status code 2,HCV FU 2,Second local coded follow-up status for hepatitis C treatment register.,Finding,N/A,,,1,1
401724fd-3d7b-41bc-954d-90472c39f128,,,HBV treatment indication code 6,HBV ind 6,Sixth coded treatment indication or eligibility reason in local hepatitis B register.,Finding,N/A,,,1,1
422bcbae-b675-4cd1-b45c-d0e173eb0ff8,,,HBV treatment discontinuation reason code 2,HBV disc 2,Second local coded reason for discontinuing hepatitis B treatment.,Finding,N/A,,,1,1
45566778-8990-4efb-fd45-011223344556,,,Drug-sensitive tuberculosis treatment initiated,DS TB treatment started,Action category indicating initiation of treatment for drug-sensitive tuberculosis.,Finding,N/A,,,1,1
45678012-9001-4890-ef01-901234567812,,,Eligible for foci investigation,Foci eligible,Question asking whether the malaria case is eligible for foci investigation,Question,Coded,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,1
475f2b41-c3fa-4266-9612-18f8b72fc8c4,,,Edema present,Edema,Whether edema is present on examination.,Question,Coded,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,53
48b82930-4152-484e-c95f-263748596071,,,CL treatment regimen category,CL regimen,Treatment regimen selected for cutaneous leishmaniasis.,Question,Coded,59c93041-5263-495f-da60-374859607182;0a718293-0415-440a-a51b-263748596071;5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,1
4ab60275-32de-4743-b760-d2cecb25b190,,,Co-infection with HCV,Co-infect HCV,Active or documented hepatitis C co-infection in a person with hepatitis B.,Finding,N/A,,,1,1
4b5c6d7e-8f90-4451-b3ab-60718293a4bc,,,Household contact category,Household contact,Contact is registered as household tuberculosis exposure category.,Finding,N/A,,,1,1
4b5c6d7e-8f90-4789-4567-890123456701,,,Microscopy diagnosis method,Microscopy,Malaria diagnosed by blood film microscopy examination,Finding,N/A,,,1,1
4b9bdc4a-2d67-4236-9684-6b2d5d7cf5d3,,,HBV antiviral regimen code 1,HBV rx code 1,First local coded antiviral regimen option for hepatitis B register.,Finding,N/A,,,1,1
