Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:6,_order:1
e5f60718-293a-4ebc-df45-0a1b2c3d4e34,,,Drug susceptibility test classification for index tuberculosis patient,Index DST class,DST classification of the index tuberculosis patient in the contact screening register.,Question,Coded,f6071829-3a4b-4fcd-e056-1b2c3d4e5f45;0718293a-4b5c-40de-f167-2c3d4e5f6078;3b0106c0-bc4b-5bf5-a7c9-7869d3ee3033;e3de3f5d-bd2b-42de-8d07-8b15056d96f6;6ed306d8-c0c7-4573-9366-df111f8f56cd;dd690053-0020-47b2-9d67-37f1071fa465,,1,2
82930415-2637-4c82-ed93-4e5f60718293,,,Concomitant opportunistic infections,Concomitant OI,Opportunistic or co-existing infections documented with current diagnosis.,Question,Coded,18c7d8e9-eafb-82ff-45cc-7b43cef60b29;233AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;93041526-3748-4d93-fea4-5f6071829304;b4634d4e-f379-4136-a1a0-0c17555f8d65;5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,2
f1ac86a2-5934-49c5-aecc-16426e6b1d59,,,Underweight (BMI band),Underweight,BMI below 18.5 kg/m2,Finding,N/A,,,1,1
ad106589-fb33-4ce5-9159-0cf793996bce,,,Healthy weight (BMI band),Healthy weight,BMI 18.5-24.9 kg/m2,Finding,N/A,,,1,1
590a7581-714a-4b47-a1c9-712501889e44,,,Overweight (BMI band),Overweight,BMI 25.0-29.9 kg/m2 (pre-obesity),Finding,N/A,,,1,1
9f2f66bf-dc75-47ac-b201-c891a9d5bbd6,,,Obese (BMI band),Obese,BMI 30.0 or more kg/m2,Finding,N/A,,,1,1
dbb84962-8aa9-4d7a-806d-d1d1b356d1fb,,,Glomerular disease (CKD cause),Glomerular disease,Glomerular diseases as a cause of CKD,Finding,N/A,,,1,1
255b89fc-8a01-4dae-90b3-613d65bb76bb,,,BMI category (triage),BMI Category,Adult BMI classification (auto-calculated),Question,Coded,f1ac86a2-5934-49c5-aecc-16426e6b1d59;ad106589-fb33-4ce5-9159-0cf793996bce;590a7581-714a-4b47-a1c9-712501889e44;9f2f66bf-dc75-47ac-b201-c891a9d5bbd6,,1,2
89841663-c7c8-4aa2-a9c6-cb4a265fbced,,,Known or likely cause of CKD,Cause of CKD,,Question,Coded,dbb84962-8aa9-4d7a-806d-d1d1b356d1fb;d6ec1058-6e4b-4b9e-a87b-e9d9ec0eb070;c8a09cc0-6984-5b65-b2e3-645a9453f278;b5af80be-698f-45a2-905a-538d8a1f08ec,,1,2
a1ee71ae-0a4d-4944-83fe-d8e067e4f7a0,,,Disability-inclusive screening category,,,Question,Coded,12fd5e41-59f8-4a55-8a36-3d3ceb401006;7019aea1-fb85-4bcd-9c55-b2ca8d7bb282;831a4037-2511-4c35-b483-2579aefb9675;94c5cf7f-68d9-49a9-afe0-8f5574bc5f78;9adf601a-95f9-4598-8ec1-32463494f316;d2f4a7b1-8c35-46ea-9f10-b2c3d4e5f607;e3a5b8c2-9d46-47fb-a021-c3d4e5f60718,,1,2
cee955aa-88b9-4fee-ab86-95c08346eff7,,,Invasive cervical cancer treatment services,,,Question,Coded,161174AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;658b7ae6-77fa-4e7e-8e75-33d25f60b4bf;a6900a27-b1aa-4575-abc4-f8169f21668f;bde1ee15-0ebb-484e-a465-2a4463f0d521;c1f4e8a2-9b3d-4c6e-8f71-0a2b3c4d5e6f;c73e0ce6-ab51-4a65-a473-38622ec77d7d;c9344894-7344-4397-bc41-2da21aec3dcf,,1,2
a02ce6e6-df4a-47af-a761-4345c4ab2cbf,,,Reason for referral from cervical screening,,,Question,Coded,162810AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;162812AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;164805AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;5fcd67ef-8901-434a-e4bc-def012345678;7bef8901-a123-456c-067d-f0123456789a;8cf09a12-b234-467d-178e-0123456789ab;9648ea7b-c8ff-46e9-a438-b66ba3fd122d;a0569b12-4323-44a3-97a5-83f00aececc4;d820b416-4268-43e6-a003-ba3ecd64d97b,,1,2
8b3c4d5e-6f70-8901-bcde-f23456789222,,,Malnutrition Edema grading,,,Question,Coded,1498AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1499AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1500AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;54d6e7f8-9a0b-1c2d-3e4f-567890123456;65e7f890-ab1c-2d3e-4f56-78901234567a;76f89012-bc3d-4e5f-6789-012345678abc,,1,2
0d4e5f60-7182-901c-3456-789abcdef012,,,Dermatosis grading assessment,,,Question,Coded,1498AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1499AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1500AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;54d6e7f8-9a0b-1c2d-3e4f-567890123456;65e7f890-ab1c-2d3e-4f56-78901234567a;76f89012-bc3d-4e5f-6789-012345678abc,,1,2
2ecf630a-a156-4883-a3a0-4051e1a9cdd4,,,Child DNA PCR Test Result,,,Question,Coded,1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1118AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;664AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;703AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,2
9637081a-6071-8901-2345-678901abcd0c,,,Gestation status,,,Question,Coded,0748192b-7182-9012-3456-789012abcd0d;1859203c-8293-0123-4567-890123abcd0e;2960314d-9304-1234-5678-901234abcd0f;5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,2
a192b3c4-d5e6-f789-0123-456789abcdef,,,Reason for LAFP removal,,,Question,Coded,0758697b-2192-012d-7456-89def0123456;160571AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1778AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1869708c-3203-123e-8567-9ef012345678;2970819d-4314-234f-9678-0ef123456789;5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;9647586a-1081-901c-6345-789cdef01234,,1,2
