Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:2,_order:0
3654dc4f-c8ca-584d-a0ab-23079a74d368,,,Daclatasvir plus sofosbuvir,,Daclatasvir plus sofosbuvir HCV antiviral regimen.,Finding,N/A,,,,
5fb50a89-daaf-533f-9a07-3c56af0734aa,,3BT:10000386;SNOMED CT:95668009;ICPC2:N03;IMO ProblemIT:43705,Orofacial pain,,"Pain in the facial region including orofacial pain and craniofacial pain. Associated conditions include local inflammatory and neoplastic disorders and neuralgic syndromes involving the trigeminal, facial, and glossopharyngeal nerves. Conditions which feature recurrent or persistent facial pain as the primary manifestation of disease are referred to as FACIAL PAIN SYNDROMES.",Finding,N/A,,,,
ab8dfef9-f18a-5080-90a3-d2d0da133d0f,,SNOMED CT:371434005;IMO ProblemIT:709945,Past history of alcohol abuse,,,Finding,N/A,,,,
493d914f-ceda-56c9-ba37-c630d87a8f35,,ICD-10-WHO:T30.0;IMO ProblemIT:360521,Severe burn injury,,"Injuries to tissues caused by contact with heat, steam, chemicals (BURNS, CHEMICAL), electricity (BURNS, ELECTRIC), or the like.",Finding,N/A,,,,
cd869384-9667-5168-a730-abeefade762e,,IMO ProblemIT:381177;SNOMED CT:285636001,Cervical dysplasia,,A spectrum of histologic changes in the epithelium of the cervix uteri which may begin as a superficial lesion and progress to invasive carcinoma.,Finding,N/A,,,,
30190f8d-55f4-5b17-b96c-77c441f38120,,,Decompensated hepatic cirrhosis,,Clinically decompensated liver cirrhosis.,Finding,N/A,,,,
6b6ac4cd-923f-5888-a62b-695f9ecd6237,,PIH Malawi:7396;IMO ProblemIT:803150;SNOMED CT:63238001,Brought in dead,,,Finding,N/A,,,,
62508e7b-48b0-54e6-9cd7-cedcc9a29243,,SNOMED CT:4989003;IMO ProblemIT:522,Cutaneous electrical burn,,"Injuries to tissues caused by contact with heat, steam, chemicals (BURNS, CHEMICAL), electricity (BURNS, ELECTRIC), or the like.",Finding,N/A,,,,
ac87d80e-0c6b-5b79-b274-bfa75809467d,,ICD-10-WHO:W10;IMO ProblemIT:21872788,Accidental fall on stairs,,,Finding,N/A,,,,
6386672b-1a48-53cf-9619-6620b5088ca9,,SNOMED CT:283545005;IMO ProblemIT:57184,Gunshot injury,,Disruption of structural continuity of the body as a result of the discharge of firearms.,Finding,N/A,,,,
c8a09cc0-6984-5b65-b2e3-645a9453f278,,IMO ProblemIT:12094;SNOMED CT:78815005,Hereditary tubulointerstitial kidney disease,,"Diffuse or local inflammation and edema of the interstitial tissue of the kidney, including the tubules.",Finding,N/A,,,,
8533f6c9-5f62-55a0-bdbb-52ca214f43c3,,SNOMED CT:87386002;IMO ProblemIT:13057,Breast peau d'orange sign,,,Finding,N/A,,,,
5b1e18e9-5c71-5629-ba3c-95f99298b17e,,IMO ProblemIT:27784;SNOMED CT:48055004,Pustular skin eruption,,,Finding,N/A,,,,
3b0106c0-bc4b-5bf5-a7c9-7869d3ee3033,,,Rifampicin-resistant TB,,"Resistance to rifampicin detected using phenotypic or genotypic methods, with or without resistance to other anti-TB drugs. It includes any resistance to rifampicin, in the form of mono-resistance, poly-resistance, MDR or XDR.",Finding,N/A,,,,
