Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:1,_order:1
a1b2c3d4-e5f6-7890-1234-567890abcdef,,,Select vital type,Vital type,Question asking user to select appropriate vital signs form based on patient age category,Question,Coded,3df0f2a1-2981-40b7-b7de-d7ed202e39e1;c23a7266-609f-4985-9bb4-037b34fed6f0;ccfd3dab-bab5-4503-a338-87e12bdefaea;9126c0d1-b99b-47f3-ab63-53201942c250;78575063-66d9-4822-bedf-769334a6a4bd;01a2b3c4-d5e6-f789-0123-456789abffff;bd710963-1b85-4598-8a86-517ec52e3145;8921fdf3-8ba9-466b-b803-6c83db614a69;3bcabb7a-e4ad-43ca-af78-7c55ac35dcc2;281f0520-af40-4399-9ab1-0bcce04ca74c,,1,1
3df0f2a1-2981-40b7-b7de-d7ed202e39e1,,,Vitals adult set,Adult vitals,Vital signs form template for adult patients,Finding,N/A,,,1,2
c23a7266-609f-4985-9bb4-037b34fed6f0,,,Midwives vital sign sheet,Midwives vitals,Vital signs form template for midwifery care,Finding,N/A,,,1,3
ccfd3dab-bab5-4503-a338-87e12bdefaea,,,Vital sign and pain tracker format,Pain tracker vitals,Vital signs form template with pain assessment tracking,Finding,N/A,,,1,4
0a314b5c-6475-6782-901c-def012345678,,,Blood pressure measurement posture,BP posture,Question asking about patient posture during blood pressure measurement,Question,Coded,0b425c6d-7586-7893-012d-ef0123456789;0c536d7e-8697-890a-123e-f01234567890,,1,5
0b425c6d-7586-7893-012d-ef0123456789,,,Sitting position,Sitting,Patient in sitting position during measurement,Finding,N/A,,,1,6
0c536d7e-8697-890a-123e-f01234567890,,,Supine position,Supine,Patient in supine position during measurement,Finding,N/A,,,1,7
0d647e8f-9708-901b-234f-012345678901,,,Glasgow coma scale score,GCS score,Glasgow coma scale neurological assessment score,Question,Numeric,,,1,8
0e758f90-0819-012c-3450-123456789012,,,Weight for age assessment,Weight for age,Assessment of weight for age using growth chart categories,Question,Coded,0f869001-1920-123d-4561-234567890123;10970112-2031-234e-5672-345678901234;11081223-3142-345f-6783-456789012345;12192334-4253-4560-7894-567890123456;13203445-5364-5671-8905-678901234567;14314556-6475-6782-9016-789012345678;15425667-7586-7893-0127-890123456789;16536778-8697-890a-1238-901234567890,,1,9
0f869001-1920-123d-4561-234567890123,,,Below minus 3 standard deviation,Below -3 SD,Weight for age below minus 3 standard deviations,Finding,N/A,,,1,10
10970112-2031-234e-5672-345678901234,,,Between minus 3 and minus 2 standard deviation,Between -3 and -2 SD,Weight for age between minus 3 and minus 2 standard deviations,Finding,N/A,,,1,11
11081223-3142-345f-6783-456789012345,,,Between minus 2 and minus 1 standard deviation,Between -2 and -1 SD,Weight for age between minus 2 and minus 1 standard deviations,Finding,N/A,,,1,12
12192334-4253-4560-7894-567890123456,,,Between minus 1 and 0 standard deviation,Between -1 and 0 SD,Weight for age between minus 1 and 0 standard deviations,Finding,N/A,,,1,13
13203445-5364-5671-8905-678901234567,,,Between 0 and 1 standard deviation,Between 0 and 1 SD,Weight for age between 0 and 1 standard deviations,Finding,N/A,,,1,14
14314556-6475-6782-9016-789012345678,,,Between 1 and 2 standard deviation,Between 1 and 2 SD,Weight for age between 1 and 2 standard deviations,Finding,N/A,,,1,15
15425667-7586-7893-0127-890123456789,,,Between 2 and 3 standard deviation,Between 2 and 3 SD,Weight for age between 2 and 3 standard deviations,Finding,N/A,,,1,16
16536778-8697-890a-1238-901234567890,,,Above 3 standard deviation,Above 3 SD,Weight for age above 3 standard deviations,Finding,N/A,,,1,17
17647889-9708-901b-2349-012345678901,,,Weight for height assessment,Weight for height,Assessment of weight for height using growth chart categories,Question,Coded,18758990-0819-012c-3450-123456789012;19869001-1920-123d-4561-234567890123;20970112-2031-234e-5672-345678901234;21081223-3142-345f-6783-456789012345;22192334-4253-4560-7894-567890123456;23203445-5364-5671-8905-678901234567;24314556-6475-6782-9016-789012345678;25425667-7586-7893-0127-890123456789,,1,18
18758990-0819-012c-3450-123456789012,,,Weight for height below minus 3,WFH below -3,Weight for height below minus 3 standard deviations,Finding,N/A,,,1,19
19869001-1920-123d-4561-234567890123,,,Weight for height between minus 3 and minus 2,WFH -3 to -2,Weight for height between minus 3 and minus 2 standard deviations,Finding,N/A,,,1,20
20970112-2031-234e-5672-345678901234,,,Weight for height between minus 2 and minus 1,WFH -2 to -1,Weight for height between minus 2 and minus 1 standard deviations,Finding,N/A,,,1,21
21081223-3142-345f-6783-456789012345,,,Weight for height between minus 1 and 0,WFH -1 to 0,Weight for height between minus 1 and 0 standard deviations,Finding,N/A,,,1,22
22192334-4253-4560-7894-567890123456,,,Weight for height between 0 and 1,WFH 0 to 1,Weight for height between 0 and 1 standard deviations,Finding,N/A,,,1,23
23203445-5364-5671-8905-678901234567,,,Weight for height between 1 and 2,WFH 1 to 2,Weight for height between 1 and 2 standard deviations,Finding,N/A,,,1,24
24314556-6475-6782-9016-789012345678,,,Weight for height between 2 and 3,WFH 2 to 3,Weight for height between 2 and 3 standard deviations,Finding,N/A,,,1,25
25425667-7586-7893-0127-890123456789,,,Weight for height above 3,WFH above 3,Weight for height above 3 standard deviations,Finding,N/A,,,1,26
26536778-8697-890a-1238-901234567890,,,Height for age assessment,Height for age,Assessment of height for age using growth chart categories,Question,Coded,27647889-9708-901b-2349-012345678901;28758990-0819-012c-3450-123456789012;29869001-1920-123d-4561-234567890123;30970112-2031-234e-5672-345678901234;31081223-3142-345f-6783-456789012345;32192334-4253-4560-7894-567890123456;33203445-5364-5671-8905-678901234567;34314556-6475-6782-9016-789012345678,,1,27
27647889-9708-901b-2349-012345678901,,,Height for age below minus 3,HFA below -3,Height for age below minus 3 standard deviations,Finding,N/A,,,1,28
28758990-0819-012c-3450-123456789012,,,Height for age between minus 3 and minus 2,HFA -3 to -2,Height for age between minus 3 and minus 2 standard deviations,Finding,N/A,,,1,29
29869001-1920-123d-4561-234567890123,,,Height for age between minus 2 and minus 1,HFA -2 to -1,Height for age between minus 2 and minus 1 standard deviations,Finding,N/A,,,1,30
30970112-2031-234e-5672-345678901234,,,Height for age between minus 1 and 0,HFA -1 to 0,Height for age between minus 1 and 0 standard deviations,Finding,N/A,,,1,31
31081223-3142-345f-6783-456789012345,,,Height for age between 0 and 1,HFA 0 to 1,Height for age between 0 and 1 standard deviations,Finding,N/A,,,1,32
32192334-4253-4560-7894-567890123456,,,Height for age between 1 and 2,HFA 1 to 2,Height for age between 1 and 2 standard deviations,Finding,N/A,,,1,33
33203445-5364-5671-8905-678901234567,,,Height for age between 2 and 3,HFA 2 to 3,Height for age between 2 and 3 standard deviations,Finding,N/A,,,1,34
34314556-6475-6782-9016-789012345678,,,Height for age above 3,HFA above 3,Height for age above 3 standard deviations,Finding,N/A,,,1,35
35425667-7586-7893-0127-890123456789,,,Moro reflex assessment,Moro reflex,Assessment of Moro reflex in neonates and infants,Question,Coded,36536778-8697-890a-1238-901234567890;37647889-9708-901b-2349-012345678901;38758990-0819-012c-3450-123456789012;39869001-1920-123d-4561-234567890123,,1,36
