Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:5,_order:1
42f56ca9-7349-550a-abd6-d93299d267f2,,,Duration in years,,,Finding,N/A,,,1,1
c4bcc00d-14b3-56c3-b572-3f2f631216a7,,,Referred out (care outcome),,,Finding,N/A,,,1,1
a4568e24-5da3-51a6-9476-cb450145370f,,,Ruptured (Clear),,,Finding,N/A,,,1,1
f85e2d00-34c5-5575-b364-b47e39096305,,,Unexplained weight loss (reported sign),,,Finding,N/A,,,1,1
6290da6b-43d5-50fa-9886-3af52b08e25f,,,Suicidal thoughts (risk assessment finding),,,Finding,N/A,,,1,1
0cd1ceca-6a03-5876-8178-ba0b5351ecd3,,,Aggressive behavior (risk assessment finding),,,Finding,N/A,,,1,1
cd2a81a9-5642-55fe-9343-7f264ef9d3a7,,,Delusions (thought content finding),,,Finding,N/A,,,1,1
db77f0ae-4b24-52fb-82f8-a545543ab8dd,,,Family conflict (psychosocial stressor),,,Finding,N/A,,,1,1
30107457-f1bd-500b-ba6c-4226ed172f7e,,,Gambling (behavioral addiction),,,Finding,N/A,,,1,1
f299be3c-573b-5803-84c0-07a70ab5c932,,,Severe depression,,,Finding,N/A,,,1,1
3ff0fa95-f50f-50e8-b35f-26035608092f,,,Catatonia (indication for ECT),,,Finding,N/A,,,1,1
c2d9fb45-f250-5042-97f4-b82352e91a6a,,,Psychosis,,,Finding,N/A,,,1,1
e61e9cb0-95d8-5015-a43b-e19a6e4f0bff,,,Bradycardia,,,Finding,N/A,,,1,1
400734bc-8f54-5366-bd91-a24082896842,,,Drowsy,,,Finding,N/A,,,1,1
ad7f855b-ef3d-5a59-8018-54c8fc0ca52e,,,Derealization,,,Finding,N/A,,,1,1
7501ca9c-aa47-5174-928a-24516c2aeb3f,,,Suicide attempt (past),,,Finding,N/A,,,1,1
62df9b83-55e6-5545-a2d9-08493dca95ee,,,Unemployed,,,Finding,N/A,,,1,1
e0282caa-279e-5376-a07f-63d66fa38b8d,,,Destructive behavior,,,Finding,N/A,,,1,1
e7b9a4a0-c4dc-53a1-82f5-0e84f83c5565,,,Paranoid schizophrenia,,,Finding,N/A,,,1,1
ecd64749-c9e7-5cde-8e97-b26ddbf44a6a,,,Colposcopy performed,,,Question,Coded,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,2
b4222c91-c99a-420b-bfe6-b0719cd93c0a,,,HIV prevention target population category,Target population,Target population categories for HIV testing or prevention program,Question,Coded,160579AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;162198AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;162277AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;164928AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;3248528a-079b-46a3-85f8-0d28183727cb;5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;6e9e044e-e55e-44f5-8c4e-28a264cb9b77;9ace0312-2200-40c3-ac68-93f48c132988;a1c83cfe-bc4d-4b81-b7b1-a594d43aa4c1,,1,2
3f289276-d9b8-5383-b540-660fc469f82a,,,Place of death category,,,Question,Coded,1537AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1588AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1589AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,1,2
497e92fa-f5e8-51b6-883a-10b673ce1227,,,Fetal presentation at delivery,,,Question,Coded,124261AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;139814AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;160091AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1843AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1172AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;6d51af28-a156-4463-a031-1f1f459ddcb0;bcd5f5b8-ba92-44f8-bab2-73570a68162a,,1,2
b51fc02b-e7a9-4147-8658-9917acd5461c,,,Duration unit (project),Duration unit,,Question,Coded,1072AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1073AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1074AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;113440AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1733AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1734AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1820AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1822AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;1823AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;42f56ca9-7349-550a-abd6-d93299d267f2;80a4d303-a27b-47da-86b7-534b633b3b95;9a5be520-ff89-42f0-bb45-1eebe6accfe0;cca40c45-a128-4b2b-a3d7-3bd648baa3e7;eec6eba9-7405-4a7a-9d2e-5c13193b23d9,,1,2
