Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:5,_order:1
d7403091-4782-4ceb-a312-dba9e0e5e1a0,,"Differential diagnosis, intake assessment",,Differential Diagnosis (coded),Question,Text,,,1,1
c3c38db3-cdf3-40dc-9850-8e2bc16943c0,,Primary Diagnosis,,Primary Diagnosis,Question,Text,,,1,1
8141ca9b-f165-4036-bc49-ec94030490ed,,Working diagnosis,,Working diagnosis,Question,Text,,,1,1
bd8601e5-d7c2-4522-bef3-97911e650804,,Secondary Diagnosis,,Secondary Diagnosis,Question,Text,,,1,1
95077b8a-d709-4650-b807-314ff89a9f2f,,Primary Discharge Diagnosis,,Primary Discharge Diagnosis,Question,Text,,,1,1
deeabcf4-7aee-4b88-ad78-ea9968b54aba,,Accepting Unit,,Accepting Unit,Question,Text,,,1,1
7f9ae92b-ecd4-4590-918b-526fb4e79d4b,,Facility,,Facility,Question,Text,,,1,1
1bdf55ed-becd-4287-8e38-6a8f437bb8e7,,Referral Location,,Referral Location,Question,Text,,,1,1
e7ce2af5-da78-4ee3-bc3b-fdd58c38bf0a,,Transferring Unit,,Transferring Unit,Question,Text,,,1,1
d5c9a1f2-3b4e-4c6a-9f80-1a2b3c4d5e6f,,Chief complaint narrative,,Chief complaint free text,Question,Text,,,1,1
b1c2d3e4-0002-4a00-8b00-000000000011,,Handwritten signature,,Signature method: handwritten,Misc,N/A,,,1,1
b1c2d3e4-0003-4a00-8b00-000000000012,,Electronic signature,,Signature method: electronic,Misc,N/A,,,1,1
b1c2d3e4-0004-4a00-8b00-000000000013,,Thumbprint,,Signature method: thumbprint,Misc,N/A,,,1,1
b1c2d3e4-0005-4a00-8b00-000000000014,,Verbal consent (witnessed),,Signature method: verbal witnessed,Misc,N/A,,,1,1
b1c2d3e4-0001-4a00-8b00-000000000010,,Signature Method,,Method of signature/consent capture,Question,Coded,b1c2d3e4-0002-4a00-8b00-000000000011;b1c2d3e4-0003-4a00-8b00-000000000012;b1c2d3e4-0004-4a00-8b00-000000000013;b1c2d3e4-0005-4a00-8b00-000000000014,,1,2
d7a38a57-e136-4cb7-8df2-e33a4dc1139e,,Secondary Diagnoses,,Secondary Diagnoses,Question,Text,,,1,1
e117378a-01d1-41de-b807-37d17e1bc9f7,,Valvular Lesions Present (Select all that apply and rate severity),Valvular Lesions Present (Select all tha,Valvular Lesions Present (Select all that apply and rate severity),Question,Text,,,1,1
