concept,member,member type,sort weight
Chapter 1: Certain infectious or parasitic diseases,Cholera (Super-Category),concept-set,1
Cholera (Super-Category),Cholera,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Intestinal infections due to Shigella (Super-Category),concept-set,2
Intestinal infections due to Shigella (Super-Category),Intestinal infections due to Shigella,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Intestinal infections due to Escherichia coli (Super-Category),concept-set,3
Intestinal infections due to Escherichia coli (Super-Category),Intestinal infections due to Escherichia coli,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Typhoid fever (Super-Category),concept-set,4
Typhoid fever (Super-Category),Typhoid fever,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Paratyphoid fever (Super-Category),concept-set,5
Paratyphoid fever (Super-Category),Paratyphoid fever,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,"Bacterial intestinal infections, unspecified (Super-Category)",concept-set,6
"Bacterial intestinal infections, unspecified (Super-Category)","Bacterial intestinal infections, unspecified",concept-set,1
Chapter 1: Certain infectious or parasitic diseases,"Bacterial foodborne intoxications, unspecified (Super-Category)",concept-set,7
"Bacterial foodborne intoxications, unspecified (Super-Category)","Bacterial foodborne intoxications, unspecified",concept-set,1
Chapter 1: Certain infectious or parasitic diseases,"Viral intestinal infections, unspecified (Super-Category)",concept-set,8
"Viral intestinal infections, unspecified (Super-Category)","Viral intestinal infections, unspecified",concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Giardiasis (Super-Category),concept-set,9
Giardiasis (Super-Category),Giardiasis,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Amoebiasis (Super-Category),concept-set,10
Amoebiasis (Super-Category),Amoebiasis,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Other specified protozoal intestinal infections (Super-Category),concept-set,11
Other specified protozoal intestinal infections (Super-Category),Other specified protozoal intestinal infections,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Gastroenteritis or colitis without specification of infectious agent (Super-Category),concept-set,12
Gastroenteritis or colitis without specification of infectious agent (Super-Category),Gastroenteritis or colitis without specification of infectious agent,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Gastroenteritis or colitis without specification of infectious agent (Super-Category),concept-set,13
Gastroenteritis or colitis without specification of infectious agent (Super-Category),Gastroenteritis or colitis without specification of origin,concept-set,2
Chapter 1: Certain infectious or parasitic diseases,Gastroenteritis or colitis without specification of infectious agent (Super-Category),concept-set,14
Gastroenteritis or colitis without specification of infectious agent (Super-Category),Infectious gastroenteritis or colitis without specification of infectious agent,concept-set,3
Chapter 1: Certain infectious or parasitic diseases,"Syphilis, unspecified (Super-Category)",concept-set,15
"Syphilis, unspecified (Super-Category)","Syphilis, unspecified",concept-set,1
Chapter 1: Certain infectious or parasitic diseases,"Gonococcal infection, unspecified (Super-Category)",concept-set,16
"Gonococcal infection, unspecified (Super-Category)","Gonococcal infection, unspecified",concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Chlamydial lymphogranuloma (Super-Category),concept-set,17
Chlamydial lymphogranuloma (Super-Category),Chlamydial lymphogranuloma,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Chancroid (Super-Category),concept-set,18
Chancroid (Super-Category),Chancroid,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Granuloma inguinale (Super-Category),concept-set,19
Granuloma inguinale (Super-Category),Granuloma inguinale,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Trichomoniasis (Super-Category),concept-set,20
Trichomoniasis (Super-Category),Trichomoniasis,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Anogenital warts (Super-Category),concept-set,21
Anogenital warts (Super-Category),Genital warts,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,"Predominantly sexually transmitted infections, unspecified (Super-Category)",concept-set,22
"Predominantly sexually transmitted infections, unspecified (Super-Category)","Predominantly sexually transmitted infections, unspecified",concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Tuberculosis of the respiratory system (Super-Category),concept-set,23
Tuberculosis of the respiratory system (Super-Category),"Respiratory tuberculosis, confirmed",concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Tuberculosis of the respiratory system (Super-Category),concept-set,24
Tuberculosis of the respiratory system (Super-Category),"Respiratory tuberculosis, not confirmed",concept-set,2
Chapter 1: Certain infectious or parasitic diseases,"Tuberculosis, unspecified (Super-Category)",concept-set,25
"Tuberculosis, unspecified (Super-Category)","Tuberculosis, unspecified",concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Leprosy (Super-Category),concept-set,26
Leprosy (Super-Category),"Leprosy, unspecified",concept-set,1
Chapter 1: Certain infectious or parasitic diseases,"Bacterial cellulitis, erysipelas or lymphangitis (Super-Category)",concept-set,27
"Bacterial cellulitis, erysipelas or lymphangitis (Super-Category)",Erysipelas,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Necrotising fasciitis (Super-Category),concept-set,28
Necrotising fasciitis (Super-Category),Necrotising fasciitis,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Impetigo (Super-Category),concept-set,29
Impetigo (Super-Category),"Impetigo, unspecified",concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Deep bacterial folliculitis or pyogenic abscess of the skin (Super-Category),concept-set,30
Deep bacterial folliculitis or pyogenic abscess of the skin (Super-Category),Furuncle,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Deep bacterial folliculitis or pyogenic abscess of the skin (Super-Category),concept-set,31
Deep bacterial folliculitis or pyogenic abscess of the skin (Super-Category),Carbuncle,concept-set,2
Chapter 1: Certain infectious or parasitic diseases,Deep bacterial folliculitis or pyogenic abscess of the skin (Super-Category),concept-set,32
Deep bacterial folliculitis or pyogenic abscess of the skin (Super-Category),Pyogenic abscess of the skin,concept-set,3
Chapter 1: Certain infectious or parasitic diseases,Brucellosis (Super-Category),concept-set,33
Brucellosis (Super-Category),Brucellosis,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Anthrax (Super-Category),concept-set,34
Anthrax (Super-Category),Anthrax,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Whooping cough (Super-Category),concept-set,35
Whooping cough (Super-Category),Whooping cough,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Tetanus (Super-Category),concept-set,36
Tetanus (Super-Category),Tetanus,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Tetanus neonatorum (Super-Category),concept-set,37
Tetanus neonatorum (Super-Category),Tetanus neonatorum,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Gas gangrene (Super-Category),concept-set,38
Gas gangrene (Super-Category),Gas gangrene,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Diphtheria (Super-Category),concept-set,39
Diphtheria (Super-Category),Diphtheria,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Trachoma (Super-Category),concept-set,40
Trachoma (Super-Category),"Trachoma, unspecified",concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Other specified bacterial diseases (Super-Category),concept-set,41
Other specified bacterial diseases (Super-Category),Other specified bacterial diseases,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Human immunodeficiency virus disease associated with tuberculosis (Super-Category),concept-set,42
Human immunodeficiency virus disease associated with tuberculosis (Super-Category),Human immunodeficiency virus disease associated with tuberculosis,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Human immunodeficiency virus disease without mention of tuberculosis or malaria (Super-Category),concept-set,43
Human immunodeficiency virus disease without mention of tuberculosis or malaria (Super-Category),Human immunodeficiency virus disease without mention of tuberculosis or malaria,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Acute poliomyelitis (Super-Category),concept-set,44
Acute poliomyelitis (Super-Category),Acute poliomyelitis,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Rabies (Super-Category),concept-set,45
Rabies (Super-Category),Rabies,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Infectious meningitis not elsewhere classified (Super-Category),concept-set,46
Infectious meningitis not elsewhere classified (Super-Category),Bacterial meningitis,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,"Dengue fever, unspecified (Super-Category)",concept-set,47
"Dengue fever, unspecified (Super-Category)","Dengue fever, unspecified",concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Chikungunya virus disease (Super-Category),concept-set,48
Chikungunya virus disease (Super-Category),Chikungunya virus disease,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Yellow fever (Super-Category),concept-set,49
Yellow fever (Super-Category),Yellow fever,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Mumps (Super-Category),concept-set,50
Mumps (Super-Category),Mumps,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Viral conjunctivitis (Super-Category),concept-set,51
Viral conjunctivitis (Super-Category),Viral conjunctivitis,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,"Influenza, virus not identified (Super-Category)",concept-set,52
"Influenza, virus not identified (Super-Category)","Influenza, virus not identified",concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Acute viral hepatitis (Super-Category),concept-set,53
Acute viral hepatitis (Super-Category),Acute viral hepatitis,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Acute viral hepatitis (Super-Category),concept-set,54
Acute viral hepatitis (Super-Category),Acute hepatitis A,concept-set,2
Chapter 1: Certain infectious or parasitic diseases,Acute viral hepatitis (Super-Category),concept-set,55
Acute viral hepatitis (Super-Category),Acute hepatitis B,concept-set,3
Chapter 1: Certain infectious or parasitic diseases,Acute viral hepatitis (Super-Category),concept-set,56
Acute viral hepatitis (Super-Category),Acute hepatitis C,concept-set,4
Chapter 1: Certain infectious or parasitic diseases,Acute viral hepatitis (Super-Category),concept-set,57
Acute viral hepatitis (Super-Category),Acute hepatitis E,concept-set,5
Chapter 1: Certain infectious or parasitic diseases,Chronic viral hepatitis (Super-Category),concept-set,58
Chronic viral hepatitis (Super-Category),Chronic viral hepatitis,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Molluscum contagiosum (Super-Category),concept-set,59
Molluscum contagiosum (Super-Category),Molluscum contagiosum,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Common warts (Super-Category),concept-set,60
Common warts (Super-Category),Common warts,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Varicella (Super-Category),concept-set,61
Varicella (Super-Category),Varicella,concept-set,1
Chapter 1: Certain infectious or parasitic diseases,Zoster (Super-Category),concept-set,62
Zoster (Super-Category),Zoster,concept-set,1
