Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_order:500,_version:1,Member,Concept,Member Type
e16bb7a0-03de-46ae-8e14-64adf3c854b4,,,Medical Supply Items,,Misc,N/A,,,3,Medical Supply Items,Medical Supply Items,CONCEPT-SET
60604f10-8b42-4be5-a1e6-01c23dd9da22,,,Condoms (Male),,Medical supply,N/A,,,3,Condoms (Male),Medical Supply Items,CONCEPT-SET
b7c69399-f885-4ac0-9d0c-20c06f2e0af8,,,Thermal Paper ,,Medical supply,N/A,,,3,Thermal Paper ,Medical Supply Items,CONCEPT-SET
98549cf2-a01d-442e-adf2-5efb8a351094,,,"Pasteur Pipette-3 ml, graduated",,Medical supply,N/A,,,3,"Pasteur Pipette-3 ml, graduated",Medical Supply Items,CONCEPT-SET
0b0c2ff0-7ab6-44fa-a480-1aa246ec3fee,,,Examination Glove-Latex Medium Size ,,Medical supply,N/A,,,3,Examination Glove-Latex Medium Size ,Medical Supply Items,CONCEPT-SET
8472a741-8c97-4a33-9f38-3266246863a9,,,Gauze Bandage-7.5cm x 5m,,Medical supply,N/A,,,3,Gauze Bandage-7.5cm x 5m,Medical Supply Items,CONCEPT-SET
e5dd7ced-95a4-4dc3-b9f7-12a5462da2c9,,,Safety Box,,Medical supply,N/A,,,3,Safety Box,Medical Supply Items,CONCEPT-SET
5c656007-3a13-418c-925d-f3b2156aa909,,,Biohazard Bags - 8x12,,Medical supply,N/A,,,3,Biohazard Bags - 8x12,Medical Supply Items,CONCEPT-SET
8a3ece79-8afc-46ea-85fc-a2a1b5175f17,,,Biohazard Bags ,,Medical supply,N/A,,,3,Biohazard Bags ,Medical Supply Items,CONCEPT-SET
88e3e93d-92dc-40e5-9ccb-e790041c8c09,,,Eye Goggle,,Medical supply,N/A,,,3,Eye Goggle,Medical Supply Items,CONCEPT-SET
f265aad6-ec2d-4740-ab00-7d42c30468dd,,,Auto Disposable Syringe-2ml with Needle 21G of 100,,Medical supply,N/A,,,3,Auto Disposable Syringe-2ml with Needle 21G of 100,Medical Supply Items,CONCEPT-SET
f1cc6386-2216-45d4-af34-83d3ada2df9e,,,Cryogenic Vial-Of 450,,Medical supply,N/A,,,3,Cryogenic Vial-Of 450,Medical Supply Items,CONCEPT-SET
893f22a5-2bda-49e0-a738-995233764a21,,,Syringe(AD) -5ml with needle 21G ,,Medical supply,N/A,,,3,Syringe(AD) -5ml with needle 21G ,Medical Supply Items,CONCEPT-SET
1b605c56-59e8-4b0c-a82c-80234f55389f,,,Condoms-Male Latex length 180mm width 53mm    ,,Medical supply,N/A,,,3,Condoms-Male Latex length 180mm width 53mm    ,Medical Supply Items,CONCEPT-SET
08d79515-c2e0-490f-9b53-33ec9237b672,,,Biohazard Bags -Yellow 255 X 355mm,,Medical supply,N/A,,,3,Biohazard Bags -Yellow 255 X 355mm,Medical Supply Items,CONCEPT-SET
b41ae9f3-2e1b-408b-b341-27a5736bb430,,,Examination Glove-Latex Large Size ,,Medical supply,N/A,,,3,Examination Glove-Latex Large Size ,Medical Supply Items,CONCEPT-SET
1f7d4644-d5be-4ba7-9321-b499d30533d9,,,Hemocytometer ,,Medical supply,N/A,,,3,Hemocytometer ,Medical Supply Items,CONCEPT-SET
44749336-8580-49f9-9083-deb122c7b594,,,"Blood Collection Tube-K3 EDTA, 3ml ",,Medical supply,N/A,,,3,"Blood Collection Tube-K3 EDTA, 3ml ",Medical Supply Items,CONCEPT-SET
b0db70e2-2a16-417c-b218-f607d72afd72,,,Adhesive Plaster Zinc Oxide-Size 7.5cm X 10m,,Medical supply,N/A,,,3,Adhesive Plaster Zinc Oxide-Size 7.5cm X 10m,Medical Supply Items,CONCEPT-SET
810f37fa-a767-45e4-aca3-6b5e92e13765,,,Applicator Wooden Stick-15cm Long x diam. 2.5mm with Cotton,,Medical supply,N/A,,,3,Applicator Wooden Stick-15cm Long x diam. 2.5mm with Cotton,Medical Supply Items,CONCEPT-SET
90f479d7-5fc0-4c2c-b283-40e7917011f0,,,Cannula Intravenous Set (IV Cannula) -24G,,Medical supply,N/A,,,3,Cannula Intravenous Set (IV Cannula) -24G,Medical Supply Items,CONCEPT-SET
b7b70892-e657-488d-8ff9-567c20f02223,,,Cannula Intravenous Set (IV Cannula) -22G,,Medical supply,N/A,,,3,Cannula Intravenous Set (IV Cannula) -22G,Medical Supply Items,CONCEPT-SET
2b28494f-557c-4679-af72-3cb13cec71fa,,,"Disposable Syringe-3 parts , 3ml  with 21G needle ",,Medical supply,N/A,,,3,"Disposable Syringe-3 parts , 3ml  with 21G needle ",Medical Supply Items,CONCEPT-SET
26dda856-b080-4181-8b34-76e9f16df678,,,"Disposable Syringe- 3 parts , 5ml with 21G needle ",,Medical supply,N/A,,,3,"Disposable Syringe- 3 parts , 5ml with 21G needle ",Medical Supply Items,CONCEPT-SET
0f5f7c16-74b8-4a28-af3f-eba0c79776b7,,,Tongue Depressor-wooden,,Medical supply,N/A,,,3,Tongue Depressor-wooden,Medical Supply Items,CONCEPT-SET
05be9f89-ef3f-45bc-9873-924132e63d9f,,,Torniquate -of double belt ,,Medical supply,N/A,,,3,Torniquate -of double belt ,Medical Supply Items,CONCEPT-SET
4f0dd806-f574-4c04-a004-a7a692f3ca7a,,,Gauze Bandage-10cm x 5m,,Medical supply,N/A,,,3,Gauze Bandage-10cm x 5m,Medical Supply Items,CONCEPT-SET
6c44b9b5-dcef-408b-9b4e-cae97a131496,,,Gauze Bandage-B/P Mesh 28 x 24 size 12.5cm x 5m,,Medical supply,N/A,,,3,Gauze Bandage-B/P Mesh 28 x 24 size 12.5cm x 5m,Medical Supply Items,CONCEPT-SET
386cae61-ec4f-4d6e-abd1-4336c97bc552,,,Gauze Surgical-90cm x 100m,,Medical supply,N/A,,,3,Gauze Surgical-90cm x 100m,Medical Supply Items,CONCEPT-SET
afbf414e-a6f8-4bab-91ae-9cdbca8fbd78,,,Examination Glove-Latex disposable Non-Sterile Medium size ,,Medical supply,N/A,,,3,Examination Glove-Latex disposable Non-Sterile Medium size ,Medical Supply Items,CONCEPT-SET
6d026b56-01a5-437a-be42-dd1c36fd4c85,,,Surgical Glove-sterile Latex No. 7 ,,Medical supply,N/A,,,3,Surgical Glove-sterile Latex No. 7 ,Medical Supply Items,CONCEPT-SET
d9155ae9-f567-4d1b-9c96-2f3d1286e4dd,,,Plaster Of Paris (P.O.P) -10cm x 3m,,Medical supply,N/A,,,3,Plaster Of Paris (P.O.P) -10cm x 3m,Medical Supply Items,CONCEPT-SET
54a659b1-6c98-4e82-838c-c5d9ee0eae23,,,Plaster Of Paris (P.O.P) -15 cm x 3m,,Medical supply,N/A,,,3,Plaster Of Paris (P.O.P) -15 cm x 3m,Medical Supply Items,CONCEPT-SET
8614e567-b1ef-4907-98e1-eb88cbeccada,,,Umblical-Clamp 5.3cm Sterile,,Medical supply,N/A,,,3,Umblical-Clamp 5.3cm Sterile,Medical Supply Items,CONCEPT-SET
c699849b-d86f-47c5-ad1b-c052504939d7,,,Scalp Vein Winged Infusion Set-23G,,Medical supply,N/A,,,3,Scalp Vein Winged Infusion Set-23G,Medical Supply Items,CONCEPT-SET
b296ce2d-9621-42b6-b85e-1cfc8da9d175,,,Scalp Vein Winged Infusion Set-25G,,Medical supply,N/A,,,3,Scalp Vein Winged Infusion Set-25G,Medical Supply Items,CONCEPT-SET
e64ea67a-9dda-4ff8-b5c1-ab7e8b5bdff6,,,"Cat Gut Chromic-   3.5 (2/0), 75 cm HR 38 1/2 C.R.B 38mm heavy needle 334",,Medical supply,N/A,,,3,"Cat Gut Chromic-   3.5 (2/0), 75 cm HR 38 1/2 C.R.B 38mm heavy needle 334",Medical Supply Items,CONCEPT-SET
cc92851f-ee05-4313-87bd-7a9ab539ca50,,,Biohazard Bags -24x36 of 200,,Medical supply,N/A,,,3,Biohazard Bags -24x36 of 200,Medical Supply Items,CONCEPT-SET
f42fc27d-f4ad-4820-b5c2-e09fd424a5cc,,,Sputem Cup--,,Medical supply,N/A,,,3,Sputem Cup--,Medical Supply Items,CONCEPT-SET
2c9032f4-4069-40bc-ae96-221e2e8e52da,,,Microscope Slide-76mm x 26mm of 50,,Medical supply,N/A,,,3,Microscope Slide-76mm x 26mm of 50,Medical Supply Items,CONCEPT-SET
f02d1350-4eec-41f0-a5e6-6002acc25915,,,"Blood Lancets, Disposable Sterile",,Medical supply,N/A,,,3,"Blood Lancets, Disposable Sterile",Medical Supply Items,CONCEPT-SET
60687ce4-b454-4b52-9ba8-965783869fd7,,,Suction Catheter-No.6,,Medical supply,N/A,,,3,Suction Catheter-No.6,Medical Supply Items,CONCEPT-SET
f153239f-b64d-4ac0-858b-0d36f9ee378e,,,Suction Catheter-No.8,,Medical supply,N/A,,,3,Suction Catheter-No.8,Medical Supply Items,CONCEPT-SET
cf204f6e-a2e5-4d13-bf12-c9dc21c84585,,,Disposable Syringe-50ml with Needle ,,Medical supply,N/A,,,3,Disposable Syringe-50ml with Needle ,Medical Supply Items,CONCEPT-SET
b7974363-8969-4443-a776-b9f3db4e0b9f,,,Auto Disposable Syringe-1ml with needle,,Medical supply,N/A,,,3,Auto Disposable Syringe-1ml with needle,Medical Supply Items,CONCEPT-SET
7843e5a2-ffbc-423e-bba2-625ebc26d473,,,Cat Gut Chromic-3.0(3/0) 75cm on 18-20mm 1/2circle Round Bodied Needle 2234,,Medical supply,N/A,,,3,Cat Gut Chromic-3.0(3/0) 75cm on 18-20mm 1/2circle Round Bodied Needle 2234,Medical Supply Items,CONCEPT-SET
