concept,member,member type,sort weight,void/retire,_version:1
029c263b-1984-44b2-94c6-bda1f7c3f202,161627AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,concept-set,1,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,161623AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,concept-set,2,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,419f29e7-d4be-47b7-9df6-a63b2ff05366,concept-set,3,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,160456AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,concept-set,4,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,161626AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,concept-set,5,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,073e3887-1ab1-4dd1-9f84-2b594a309eb5,concept-set,6,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,164953AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,concept-set,7,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,d8176d1b-1234-11ee-be56-0242ac120007,concept-set,8,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,5489AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,concept-set,9,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,164949AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,concept-set,10,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,d8176d1b-1234-11ee-be56-0242ac120006,concept-set,11,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,90fd67d1-1302-495d-8349-739e6393d9c6,concept-set,12,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,d88fb207-89eb-44ff-acad-91678f3f8e4b,concept-set,13,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,fd3ca678-f759-4028-8526-c3bcf32ad4ca,concept-set,14,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,164952AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,concept-set,15,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,164954AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,concept-set,16,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,a20cfde7-a283-4b1c-b748-281279d2a7c4,concept-set,17,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,54798a10-683c-493f-8ae5-44a9088bd086,concept-set,18,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,161624AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,concept-set,19,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,161628AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,concept-set,20,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,1b94b39f-eac2-417c-9e66-5d667606a6b4,concept-set,21,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,7d9fbfc1-eddd-4fd4-985a-552f28f793a5,concept-set,22,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,95501c39-e9cb-4cd6-9cf9-52aaf721f130,concept-set,23,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,e6854199-3f04-4987-894e-0897826f82b6,concept-set,24,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,94620b0d-44b3-4b3e-8b40-f5d4cad73c5c,concept-set,25,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,351bdcc3-e1a2-43a1-b647-e31795bbcf86,concept-set,26,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,160463AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,concept-set,27,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,225ba83f-47a9-4acb-928d-10eedbc1887e,concept-set,28,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,c1a5c08e-dfd8-43f3-a098-78b03ecd9bde,concept-set,29,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,c24695a8-7575-475b-a598-ee903983e87e,concept-set,30,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,1cc9cc20-6fd5-423d-9244-25a3e723237d,concept-set,31,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,8e92cd78-21d5-418c-8b41-6e8d7ab57c4a,concept-set,32,,1
029c263b-1984-44b2-94c6-bda1f7c3f202,5486AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,concept-set,33,,1
