concept,member,member type,sort weight,void/retire,_version:1
1cd11000-0000-0000-0000-000000000001,24924515-f9ef-4bce-9b5f-1bdc27745c71,concept-set,1,,1
1cd11000-0000-0000-0000-000000000001,cf9a52c3-9ad8-4e1a-a605-c54e8c9bf64d,concept-set,1,,1
1cd11000-0000-0000-0000-000000000001,809811a0-4b7c-493a-bd4b-9828d85886f6,concept-set,1,,1
1cd11000-0000-0000-0000-000000000001,d6a8d0d9-195f-4850-a824-b26662e1a46a,concept-set,1,,1
1cd11000-0000-0000-0000-000000000001,11218f16-7aea-4df4-882b-a408becc0e87,concept-set,1,,1
1cd11000-0000-0000-0000-000000000001,d721eaf7-cb5c-4222-bc12-cd59eaa92728,concept-set,1,,1
1cd11000-0000-0000-0000-000000000001,68ce8e1a-7461-45ed-9590-45141e78eb83,concept-set,1,,1
1cd11000-0000-0000-0000-000000000001,5afe4db5-8824-42b2-9aec-2856c7ef2373,concept-set,1,,1
1cd11000-0000-0000-0000-000000000001,c3c36db1-a739-4b68-8921-671f4c9fbe18,concept-set,1,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,02398fc5-37b6-56d6-a2e4-d52823cd28e7,concept-set,1,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,14ebc26c-2fe3-5589-a3b4-9ff8d50b6684,concept-set,2,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,4f1d2f6f-08eb-5cd7-a62f-9ae2805f696c,concept-set,3,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,6150cfc5-846d-58a7-9794-5d843f46beeb,concept-set,4,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,f2818d67-5fb8-5dbf-9a87-2a29d02a88d3,concept-set,5,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,5098eb79-e3d9-5c3c-9ac6-076a845fca3c,concept-set,6,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,dad8aed1-0456-51b0-9a32-9b77a60be5dd,concept-set,7,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,cef35195-61d5-5ee0-9017-0cbf253a835d,concept-set,8,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,e1f3d3f0-a4e7-50a6-9c23-f1695c4f4ef2,concept-set,9,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,2657054f-761e-547f-b0ec-a418e94e7e1e,concept-set,10,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,a382988b-21bb-5ca5-9664-7cc9c65ce5a3,concept-set,11,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,253a2c15-5593-58f5-b273-ae7078125578,concept-set,14,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,b6edb514-9c57-53cb-979d-12be320bc816,concept-set,15,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,5b19a540-7498-5cdf-ba39-41e7cda13e87,concept-set,16,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,f9679a15-152f-5ad9-b42f-4558148151f0,concept-set,17,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,c23a957d-55d8-5b8d-ab14-0a0a96593d5e,concept-set,18,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,3916be0f-e5e2-5cf4-aa43-6982412f69cc,concept-set,19,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,0871e71c-8e27-55cd-a04f-edce4159b9fc,concept-set,20,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,ac27492f-2710-5bb3-8340-0b7e7b6cb584,concept-set,21,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,e0a61584-3040-5da0-af80-3c7b18f20036,concept-set,22,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,7e026989-355e-5bfb-bcd1-37d3429190bf,concept-set,24,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,97e51ad1-ef4d-5ba6-bca6-b9de89b287b8,concept-set,25,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,0b4a2ad8-a930-560b-9f77-1a63a76dd300,concept-set,26,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,03af1154-5ea3-5d21-a2d4-e0449fada7c1,concept-set,27,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,047e9d96-d158-53b7-a19a-9af472c80826,concept-set,28,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,f9499f81-6804-51d6-982c-3ac11b465bf1,concept-set,29,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,fd9f5772-cf2d-5133-8aca-0afd143a5753,concept-set,32,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,86b357a0-8a17-5fce-b4f7-91780fddfba5,concept-set,33,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,74890558-6718-53d1-8689-102f8f6d12be,concept-set,34,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,58c06c20-686c-59d2-b992-68e7ec00479a,concept-set,35,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,269f89bd-3e4c-503a-8afd-5b65e22d763f,concept-set,36,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,baf53c7a-8bce-55a8-9bd2-c58b4ff4ed15,concept-set,37,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,3c94da9b-640e-540b-89c1-fbbdf948ab6b,concept-set,38,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,f534a99b-a9f2-5054-841d-495f41fe97d3,concept-set,39,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,a3caf107-bcd6-5ecc-be7b-1be8892a5225,concept-set,40,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,5e7fc4cf-4cdb-59b3-bb7d-d374d2860f71,concept-set,41,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,84d1cdd4-c79a-5dac-90cd-cba3a4e0062f,concept-set,42,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,21d4ed8c-1ef0-5e0b-9577-30b7ffd2dd14,concept-set,43,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,fbc093e4-2860-5c2a-9158-d860a951c736,concept-set,44,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,ce6c99bc-2d9c-5c67-86b3-7538134bbd66,concept-set,45,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,0065c3f6-ef39-5bb9-85ef-dbca14b38596,concept-set,46,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,3838ebe0-ff4c-56e6-92ee-046a0714e298,concept-set,47,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,200de1c0-600e-5120-bb47-585dcc7621fd,concept-set,48,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,5da23545-7aa5-59bb-a10b-fd6b4e1f862a,concept-set,49,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,bd255530-4dd8-57ef-942b-3adf510e6fe7,concept-set,50,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,e998082b-2b68-5068-8a40-79f2e7404df3,concept-set,51,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,46206704-6f90-5f94-97f0-5e08f0299126,concept-set,52,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,9b9aa115-be55-57bc-a609-15952a55ee22,concept-set,57,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,95ecaba8-5990-566d-b6d0-9cfb1028d713,concept-set,58,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,5925285b-a45a-56cf-970b-0a8d33ee162b,concept-set,59,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,760fe540-5478-5adb-8d19-f48236d8938a,concept-set,60,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,8946b892-242f-5815-b368-a86979bf4478,concept-set,61,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,4d9c9ed0-6cb0-5788-8641-d866db3c421d,concept-set,62,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,dfda2f91-2878-58c3-bf31-9daa4e39fcaf,concept-set,63,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,26ea3b25-e9c4-512a-9c88-f04e33e97b2a,concept-set,65,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,fe6db7ce-2613-5b66-8fbf-2329e2bd7426,concept-set,66,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,bd4c342a-1f7c-575b-b618-6427501d0dce,concept-set,70,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,9fd205dd-0e91-53d3-9742-2a14d8f11f8f,concept-set,71,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,2e37576c-279c-5f77-a9fb-d8a483641698,concept-set,72,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,bbb721bd-c498-553b-bfa7-9ac259553ae8,concept-set,73,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,0b875f69-9235-5660-9d70-7dbee4cff833,concept-set,74,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,58ace323-b6be-530d-82dd-b915b667f316,concept-set,75,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,2abed50b-d1be-510e-8e65-5b02b129df0d,concept-set,76,,1
8ce5e0d2-10f5-580c-a40b-ecb38ed6f021,f825942f-27a5-5da5-82e9-9ec8e9b8b959,concept-set,77,,1
