concept,member,member type,sort weight,void/retire,_version:1
Lab Samples,Blood Specimen,concept-set,1,,1
Lab Samples,Body fluid specimen,concept-set,2,,1
Lab Samples,Cerebrospinal fluid,concept-set,3,,1
Lab Samples,Cervical Swab,concept-set,4,,1
Lab Samples,Feces,concept-set,5,,1
Lab Samples,Pus specimen,concept-set,6,,1
Lab Samples,Semen,concept-set,7,,1
Lab Samples,Serum,concept-set,8,,1
Lab Samples,Skin Specimen,concept-set,9,,1
Lab Samples,Sputum,concept-set,10,,1
Lab Samples,Urine,concept-set,11,,1
Lab Samples,Other Specimen,concept-set,12,,1
