concept,member,member type,sort weight,void/retire,_version:1
Blood Specimen,ABSOLUTE BASOPHIL COUNT,concept-set,1,,1
Blood Specimen,ABSOLUTE EOSINOPHIL COUNT,concept-set,2,,1
Blood Specimen,ABSOLUTE MONOCYTE COUNT,concept-set,3,,1
Blood Specimen,ABSOLUTE NEUTROPHIL COUNT,concept-set,4,,1
Blood Specimen,Absolute reticulocyte count,concept-set,5,,1
Blood Specimen,Acid fast bacilli test,concept-set,6,,1
Blood Specimen,Acid phosphatase blood test in blood (units/L),concept-set,7,,1
Blood Specimen,ALPHA FETO PROTEIN,concept-set,8,,1
Blood Specimen,Antenatal Care Profile,concept-set,9,,1
Blood Specimen,Anti-Mulerian Hormone,concept-set,10,,1
Blood Specimen,Anti-streptolysin O test,concept-set,11,,1
Blood Specimen,Basophils,concept-set,12,,1
Blood Specimen,Basophils (%) - microscopic exam,concept-set,13,,1
Blood Specimen,Bilirubin Levels Test,concept-set,14,,1
Blood Specimen,Blood cross-matching,concept-set,15,,1
Blood Specimen,Blood grouping test,concept-set,16,,1
Blood Specimen,Blood Smear for Malaria Parasites,concept-set,17,,1
Blood Specimen,Blood typing,concept-set,18,,1
Blood Specimen,Body Aspirates Biochemistry,concept-set,19,,1
Blood Specimen,Bone Chemistry Test,concept-set,20,,1
Blood Specimen,CD4 count,concept-set,21,,1
Blood Specimen,CD4%,concept-set,22,,1
Blood Specimen,CD4/CD8,concept-set,23,,1
Blood Specimen,"Combined % of monocytes, eosinophils and basophils",concept-set,24,,1
Blood Specimen,Complete blood count,concept-set,25,,1
Serum,Cortisol,concept-set,26,,1
Blood Specimen,"Culture and sensitivity, blood",concept-set,27,,1
Blood Specimen,Cytomegalovirus IgG,concept-set,28,,1
Blood Specimen,D-dimer,concept-set,29,,1
Blood Specimen,Direct Coombs test,concept-set,30,,1
Blood Specimen,Du Test for Rhesus,concept-set,31,,1
Blood Specimen,Eosinophils,concept-set,32,,1
Blood Specimen,Eosinophils (%) - microscopic exam,concept-set,33,,1
Blood Specimen,Erythrocyte sedimentation rate,concept-set,34,,1
Blood Specimen,Fasting blood glucose measurement (mg/dL),concept-set,35,,1
Blood Specimen,Fasting Lipid Panel Test,concept-set,36,,1
Blood Specimen,Female Infertility Screening Test,concept-set,37,,1
Blood Specimen,Fibrinogen assay,concept-set,38,,1
Serum,Folate (Folic Acid),concept-set,39,,1
Serum,FT3,concept-set,40,,1
Serum,FT4,concept-set,41,,1
Other Specimen,Fungal culture,concept-set,42,,1
Other Specimen,Fungal Drug Susceptibility test,concept-set,43,,1
Blood Specimen,Gas Panel - Arterial Blood,concept-set,44,,1
Serum,Globulin,concept-set,45,,1
Blood Specimen,Glomerular filtration rate,concept-set,46,,1
Blood Specimen,Glucose tolerance test 5 specimens (75g) panel,concept-set,47,,1
Blood Specimen,Glucose tolerance test pre-glucose administration,concept-set,48,,1
Blood Specimen,Glycosylated hemoglobin A measurement,concept-set,49,,1
Blood Specimen,Granulocyte %,concept-set,50,,1
Blood Specimen,Granulocyte count,concept-set,51,,1
Blood Specimen,Haemoglobin,concept-set,52,,1
Blood Specimen,HAV Diagnostic Test,concept-set,53,,1
Blood Specimen,HBsAg Rapid Diagnostic Test,concept-set,54,,1
Blood Specimen,HCV Diagnostic Test,concept-set,55,,1
Blood Specimen,Hematocrit,concept-set,56,,1
Blood Specimen,Hemoglobin with electrophoresis,concept-set,57,,1
Blood Specimen,Hepatitis B virus DNA test,concept-set,58,,1
Blood Specimen,Hepatitis B virus surface antigen,concept-set,59,,1
Blood Specimen,Hepatitis C viral antigen measurement,concept-set,60,,1
Blood Specimen,Hepatitis C virus RNA PCR quantitative (IU/ml),concept-set,61,,1
Blood Specimen,"HIV DNA polymerase chain reaction, qualitative",concept-set,62,,1
Blood Specimen,"HIV enzyme immunoassay, qualitative",concept-set,63,,1
Blood Specimen,"HIV rapid test 1, qualitative",concept-set,64,,1
Blood Specimen,HIV Test,concept-set,65,,1
Blood Specimen,HIV viral load,concept-set,66,,1
Blood Specimen,Immature Granulocyte Percentage,concept-set,67,,1
Blood Specimen,Immature granulocytes count (10^3/uL),concept-set,68,,1
Blood Specimen,Immature Platelet Fraction,concept-set,69,,1
Blood Specimen,Immature Reticulocyte Fraction,concept-set,70,,1
Blood Specimen,Indirect Coombs test,concept-set,71,,1
Blood Specimen,International normalized ratio,concept-set,72,,1
Serum,Iron transferrin,concept-set,73,,1
Blood Specimen,Lipase test,concept-set,74,,1
Blood Specimen,LYM#,concept-set,75,,1
Blood Specimen,Lymphocytes,concept-set,76,,1
Blood Specimen,Lymphocytes (%) - microscopic exam,concept-set,77,,1
Blood Specimen,Mean cell hemoglobin concentration,concept-set,78,,1
Blood Specimen,Mean corpuscular hemoglobin,concept-set,79,,1
Blood Specimen,Mean corpuscular volume,concept-set,80,,1
Blood Specimen,MEAN PLATELET VOLUME,concept-set,81,,1
Blood Specimen,Mean Reticulocyte Volume,concept-set,82,,1
Blood Specimen,Mid-cell Fraction Count,concept-set,83,,1
Blood Specimen,Monocytes (%) - microscopic exam,concept-set,84,,1
Blood Specimen,Mycobacterium tuberculosis stimulated gamma interferon (IGRA),concept-set,85,,1
Blood Specimen,N-terminal pro brain natriuretic peptide (NT-proBNP) measurement,concept-set,86,,1
Blood Specimen,Neutrophils (%) - microscopic exam,concept-set,87,,1
Blood Specimen,Nucleated Red Blood Cell %,concept-set,88,,1
Blood Specimen,Nucleated Red Blood Cell Count,concept-set,89,,1
Blood Specimen,Opioid screen (heroin; morphine; codeine),concept-set,90,,1
Blood Specimen,P-LCC,concept-set,91,,1
Blood Specimen,P-LCR,concept-set,92,,1
Blood Specimen,Parathyroid Hormone (PTH) Test,concept-set,93,,1
Blood Specimen,Partial thromboplastin time,concept-set,94,,1
Blood Specimen,PDW,concept-set,95,,1
Blood Specimen,Peripheral Blood Film Examination,concept-set,96,,1
Blood Specimen,PLATELETCRIT,concept-set,97,,1
Blood Specimen,Platelets,concept-set,98,,1
Blood Specimen,PLCC,concept-set,99,,1
Blood Specimen,Polys,concept-set,100,,1
Blood Specimen,Presence of prostate specific antigen (qualitative),concept-set,101,,1
Blood Specimen,Prothrombin time,concept-set,102,,1
Blood Specimen,Random blood sugar,concept-set,103,,1
Blood Specimen,Rapid test for HIV,concept-set,104,,1
Blood Specimen,Rapid test for malaria,concept-set,105,,1
Blood Specimen,Red blood cells,concept-set,106,,1
Blood Specimen,Red cell distribution width,concept-set,107,,1
Blood Specimen,Red Cell Distribution Width (CV),concept-set,108,,1
Blood Specimen,Red Cell Distribution Width (SD),concept-set,109,,1
Blood Specimen,Reticulocyte Hemoglobin Equivalent,concept-set,110,,1
Blood Specimen,Reticulocytes (%),concept-set,111,,1
Blood Specimen,Rheumatoid factor,concept-set,112,,1
Blood Specimen,Serum estradiol level,concept-set,113,,1
Blood Specimen,Serum insulin level,concept-set,114,,1
Blood Specimen,Serum progesterone level,concept-set,115,,1
Blood Specimen,Serum prostate-specific antibody test (PSA),concept-set,116,,1
Serum,Serum Protein Electrophoresis,concept-set,117,,1
Blood Specimen,Serum testosterone level,concept-set,118,,1
Blood Specimen,Sickle cell screening test,concept-set,119,,1
Blood Specimen,Syphilis serology panel (TPHA/RPR/VDRL),concept-set,120,,1
Blood Specimen,TB LAM (Lipoarabino-mannan) Test,concept-set,121,,1
Serum,Total Iron Binding Capacity,concept-set,122,,1
Blood Specimen,Troponin T measurement,concept-set,123,,1
Blood Specimen,Valproic acid level,concept-set,124,,1
Serum,VDRL,concept-set,125,,1
Serum,Vitamin-D,concept-set,126,,1
Blood Specimen,White blood cells,concept-set,127,,1
Body fluid specimen,Ascitic fluid Cell Count,concept-set,1,,1
Body fluid specimen,Ascitic Fluid Culture and Sensitivity,concept-set,2,,1
Body fluid specimen,Ascitic fluid Glucose,concept-set,3,,1
Body fluid specimen,Ascitic fluid Gram Stain,concept-set,4,,1
Body fluid specimen,Body fluid culture and sensitivity,concept-set,5,,1
Body fluid specimen,Pleural fluid Cell Count,concept-set,6,,1
Body fluid specimen,Pleural Fluid Culture and Sensitivity,concept-set,7,,1
Body fluid specimen,Pleural fluid Glucose,concept-set,8,,1
Body fluid specimen,Pleural fluid Gram Stain,concept-set,9,,1
Body fluid specimen,Pleural fluid Protein,concept-set,10,,1
Body fluid specimen,Synovial fluid Cell Count,concept-set,11,,1
Body fluid specimen,Synovial Fluid Culture and Sensitivity Test,concept-set,12,,1
Body fluid specimen,Synovial fluid Glucose,concept-set,13,,1
Body fluid specimen,Synovial fluid Protein,concept-set,14,,1
Body fluid specimen,Fluid analysis test,concept-set,15,,1
Body fluid specimen,Fluid MCS Test,concept-set,16,,1
Cerebrospinal fluid,Cerebrospinal fluid AFB stain,concept-set,1,,1
Cerebrospinal fluid,Cerebrospinal fluid bacterial culture,concept-set,2,,1
Cerebrospinal fluid,cerebrospinal fluid cell count,concept-set,3,,1
Cerebrospinal fluid,Cerebrospinal fluid glucose,concept-set,4,,1
Cerebrospinal fluid,cerebrospinal fluid microscopy,concept-set,5,,1
Cerebrospinal fluid,Cerebrospinal fluid protein measurement,concept-set,6,,1
Cerebrospinal fluid,Cryptococcus detection by India ink preparation,concept-set,7,,1
Cerebrospinal fluid,CSF Biochemistry Test,concept-set,8,,1
Cerebrospinal fluid,CSF Cryptococcal Antigen Test(CRAG),concept-set,9,,1
Cerebrospinal fluid,CSF Gram Stain Test,concept-set,10,,1
Cervical Swab,Cervical Culture,concept-set,1,,1
Cervical Swab,High vaginal swab (HVS) Test,concept-set,2,,1
Cervical Swab,HPV for type 16/18,concept-set,3,,1
Cervical Swab,Human Papillomavirus  (HPV) Test,concept-set,4,,1
Cervical Swab,HPV viral load,concept-set,5,,1
Cervical Swab,HVS Culture and Sensitivity Test,concept-set,6,,1
Cervical Swab,HVS Gram Stain,concept-set,7,,1
Urine,Wet mount,concept-set,8,,1
Feces,Fecal occult blood test,concept-set,1,,1
Feces,Helicobacter pylori Antigen Test in Stool,concept-set,2,,1
Feces,Kinyoun's stain for coccidians,concept-set,3,,1
Feces,Rotavirus antigen presence in stool,concept-set,4,,1
Feces,Salmonella typhi rapid diagnostic test,concept-set,5,,1
Feces,Stool culture (bacterial),concept-set,6,,1
Feces,Stool for Ova and Cyst,concept-set,7,,1
Other Specimen,Gram stain,concept-set,1,,1
Pus specimen,Pus culture and sensitivity,concept-set,2,,1
Semen,Semen analysis,concept-set,1,,1
Semen,Semen analysis test,concept-set,2,,1
Serum,Albumin/Globulin ratio,concept-set,1,,1
Serum,Alkaline phosphatase,concept-set,2,,1
Serum,Amylase,concept-set,3,,1
Serum,Anti-streptolysin O titer,concept-set,4,,1
Serum,Antinuclear antibodies,concept-set,5,,1
Serum,C-peptide in serum/plasma (ng/mL),concept-set,6,,1
Serum,C-reactive protein,concept-set,7,,1
Serum,Cancer antigen 125 measurement (units/mL),concept-set,8,,1
Serum,Cancer antigen 15-3 measurement (units/mL),concept-set,9,,1
Serum,Cancer antigen 19-9 measurement (units/mL),concept-set,10,,1
Serum,Carcinoembryonic antigen (CEA) measurement (ng/mL),concept-set,11,,1
Serum,Creatine kinase,concept-set,12,,1
Serum,"Creatine kinase, isoenzyme MB fraction",concept-set,13,,1
Serum,"Cryptococcus Sp Ag presence in serum test, text",concept-set,14,,1
Serum,Direct bilirubin,concept-set,15,,1
Serum,Follicle stimulating hormone test,concept-set,16,,1
Serum,Free prostate specific antigen (PSA) measurement (ng/mL),concept-set,17,,1
Serum,"Gamma glutamyl transpeptidase, serum",concept-set,18,,1
Serum,Hepatitis B Surface Antigen Test,concept-set,19,,1
Serum,High-density lipoprotein cholesterol measurement (mmol/L),concept-set,20,,1
Serum,Human chorionic gonadotropin measurement,concept-set,21,,1
Serum,"Ionized calcium, serum/plasma (mmol/L)",concept-set,22,,1
Serum,Lactate dehydrogenase,concept-set,23,,1
Serum,Leutinizing hormone test,concept-set,24,,1
Serum,Lipid panel,concept-set,25,,1
Serum,Liver function tests,concept-set,26,,1
Serum,Low-density lipoprotein cholesterol (mmol/L),concept-set,27,,1
Serum,"Procalcitonin measurement, serum/plasma",concept-set,28,,1
Serum,Prostate specific antigen (PSA) measurement (ng/mL),concept-set,29,,1
Serum,Rapid detection in serum or plasma of either or both IgG and IgM antibodies to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) by immunoassay,concept-set,30,,1
Serum,RAPID PLASMA REAGIN,concept-set,31,,1
Serum,Renal function panel,concept-set,32,,1
Serum,Serum albumin,concept-set,33,,1
Serum,Serum calcium,concept-set,34,,1
Serum,Serum chloride,concept-set,35,,1
Serum,Serum creatinine (umol/L),concept-set,36,,1
Serum,Serum electrolytes,concept-set,37,,1
Serum,Serum ferritin,concept-set,38,,1
Serum,Serum glucose,concept-set,39,,1
Serum,Serum glutamic-oxaloacetic transaminase,concept-set,40,,1
Serum,Serum glutamic-pyruvic transaminase (ALT),concept-set,41,,1
Serum,Serum iron measurement (ug/dL),concept-set,42,,1
Serum,Serum lithium,concept-set,43,,1
Serum,Serum magnesium measurement (mg/dL),concept-set,44,,1
Serum,Serum phosphorous,concept-set,45,,1
Serum,Serum potassium,concept-set,46,,1
Serum,Serum prolactin,concept-set,47,,1
Serum,Serum sodium,concept-set,48,,1
Serum,Serum TORCH panel,concept-set,49,,1
Serum,Thyroid function test,concept-set,50,,1
Serum,Thyroid stimulating hormone test,concept-set,51,,1
Serum,Thyroxine test,concept-set,52,,1
Serum,Total bilirubin,concept-set,53,,1
Serum,Total cholesterol (mmol/L),concept-set,54,,1
Serum,Total protein,concept-set,55,,1
Serum,Toxoplasma IgG,concept-set,56,,1
Serum,"TREPONEMA PALLIDUM HEMAGGLUTINATION ASSAY, QUALITATIVE",concept-set,57,,1
Serum,Tri-iodothyronine test,concept-set,58,,1
Serum,Triglycerides (mmol/L),concept-set,59,,1
Serum,Troponin I measurement,concept-set,60,,1
Serum,Urea measurement (calculated),concept-set,61,,1
Serum,"Uric acid, serum",concept-set,62,,1
Serum,Vitamin B12 level test,concept-set,63,,1
Serum,Widal test,concept-set,64,,1
Skin Specimen,Slit skin smear for acid fast bacilli,concept-set,1,,1
Skin Specimen,Tuberculin Skin Test (mm),concept-set,2,,1
Skin Specimen,Wet mount of skin snip for Onchocerca,concept-set,3,,1
Skin Specimen,KOH mount,concept-set,4,,1
Sputum,Antibiotic susceptibility test,concept-set,1,,1
Sputum,Line probe assay for tuberculosis DST,concept-set,2,,1
Sputum,Sputum culture and sensitivity test,concept-set,3,,1
Sputum,Sputum for acid fast bacilli,concept-set,4,,1
Sputum,Sputum gram stain,concept-set,5,,1
Sputum,Tuberculosis culture construct,concept-set,6,,1
Sputum,Tuberculosis polymerase chain reaction with rifampin resistance checking,concept-set,7,,1
Urine,"Amphetamines screen, urine",concept-set,1,,1
Urine,"Barbiturates screen, urine",concept-set,2,,1
Urine,"Benzodiazepines screen, urine",concept-set,3,,1
Urine,Cannabis Urine Test,concept-set,4,,1
Urine,"Cocaine screen, urine",concept-set,5,,1
Serum,Creatinine clearance test,concept-set,6,,1
Urine,"creatinine measurement, urine, 24 hour",concept-set,7,,1
Urine,"Culture and sensitivity, urine",concept-set,8,,1
Urine,"Methadone screening, urine",concept-set,9,,1
Urine,"Methylenedioxymethamphetamine screen, urine",concept-set,10,,1
Urine,"Opiates screen, urine",concept-set,11,,1
Urine,"Phencyclidine screen, urine",concept-set,12,,1
Urine,"Propoxyphene screen, urine",concept-set,13,,1
Urine,Routine urine,concept-set,14,,1
Urine,Urinary albumin,concept-set,15,,1
Urine,Urine Analysis Test,concept-set,16,,1
Urine,Urine Dipstick test,concept-set,17,,1
Urine,Urine microscopy,concept-set,18,,1
Urine,Urine microscopy panel,concept-set,19,,1
Urine,Urine pregnancy test,concept-set,20,,1
Urine,Urine protein (dipstick),concept-set,21,,1
Urine,"Urine protein, 24 hour specimen (g)",concept-set,22,,1
Urine,Urine Toxicology Test,concept-set,23,,1
Other Specimen,Throat Swab Culture and Sensitivity Test,concept-set,1,,1
Other Specimen,Urethral Culture and Sensitivity Test,concept-set,2,,1
Feces,Wet mount,concept-set,8,,1
Other Specimen,Wet mount,concept-set,44,,1
Tissue Specimen,Fungal culture,concept-set,1,,1
Tissue Specimen,Fungal Drug Susceptibility test,concept-set,2,,1
Tissue Specimen,Gram stain,concept-set,3,,1
