concept,member,member type,sort weight,void/retire,_version:2
Serum Protein Electrophoresis,Serum albumin,concept-set,1,,1
Serum Protein Electrophoresis,Alpha 1 globulin level,concept-set,2,,1
Serum Protein Electrophoresis,Alpha 2 globulin level,concept-set,3,,1
Serum Protein Electrophoresis,Beta globulin level,concept-set,4,,1
Serum Protein Electrophoresis,Gamma globulin level,concept-set,5,,1
Syphilis serology panel (TPHA/RPR/VDRL),RAPID PLASMA REAGIN,concept-set,1,,1
Syphilis serology panel (TPHA/RPR/VDRL),TREPONEMA PALLIDUM HEMAGGLUTINATION ASSAY,concept-set,2,,1
Syphilis serology panel (TPHA/RPR/VDRL),VDRL,concept-set,3,,1
Complete blood count,White blood cells,concept-set,1,,2
Complete blood count,ABSOLUTE NEUTROPHIL COUNT,concept-set,2,,2
Complete blood count,Polys,concept-set,3,,2
Complete blood count,LYM#,concept-set,4,,2
Complete blood count,Lymphocytes (%) - microscopic exam,concept-set,5,,2
Complete blood count,ABSOLUTE MONOCYTE COUNT,concept-set,6,,2
Complete blood count,Monocytes (%) - microscopic exam,concept-set,7,,2
Complete blood count,ABSOLUTE EOSINOPHIL COUNT,concept-set,8,,2
Complete blood count,Eosinophils (%) - microscopic exam,concept-set,9,,2
Complete blood count,ABSOLUTE BASOPHIL COUNT,concept-set,10,,2
Complete blood count,Basophils,concept-set,11,,2
Complete blood count,Immature granulocytes count (10^3/uL),concept-set,12,,2
Complete blood count,Immature Granulocyte Percentage,concept-set,13,,2
Complete blood count,Granulocyte count,concept-set,14,,2
Complete blood count,Granulocyte %,concept-set,15,,2
Complete blood count,Mid-cell Fraction Count,concept-set,16,,2
Complete blood count,Red blood cells,concept-set,17,,2
Complete blood count,Haemoglobin,concept-set,18,,2
Complete blood count,Hematocrit,concept-set,19,,2
Complete blood count,Mean corpuscular volume,concept-set,20,,2
Complete blood count,Mean corpuscular hemoglobin,concept-set,21,,2
Complete blood count,Mean cell hemoglobin concentration,concept-set,22,,2
Complete blood count,Mid-cell Fraction Percentage,concept-set,23,,2
Complete blood count,RDW_CV,concept-set,24,,2
Complete blood count,RDW_SD,concept-set,25,,2
Complete blood count,Nucleated Red Blood Cell Count,concept-set,26,,2
Complete blood count,Nucleated Red Blood Cell %,concept-set,27,,2
Complete blood count,Platelets,concept-set,28,,2
Complete blood count,MEAN PLATELET VOLUME,concept-set,29,,2
Complete blood count,PDW,concept-set,30,,2
Complete blood count,PLATELETCRIT,concept-set,31,,2
Complete blood count,P-LCR,concept-set,32,,2
Complete blood count,P-LCC,concept-set,33,,2
Complete blood count,Immature Platelet Fraction,concept-set,34,,2
Complete blood count,Absolute reticulocyte count,concept-set,35,,2
Complete blood count,Reticulocytes (%),concept-set,36,,2
Complete blood count,Immature Reticulocyte Fraction,concept-set,37,,2
Complete blood count,Mean Reticulocyte Volume,concept-set,38,,2
Complete blood count,Reticulocyte Hemoglobin Equivalent,concept-set,39,,2
Liver function tests,Total bilirubin,concept-set,1,,1
Liver function tests,Serum glutamic-pyruvic transaminase,concept-set,2,,1
Liver function tests,Serum glutamic-oxaloacetic transaminase,concept-set,3,,1
Liver function tests,Alkaline phosphatase,concept-set,4,,1
Liver function tests,Total protein,concept-set,5,,1
Liver function tests,Serum albumin,concept-set,6,,1
Liver function tests,Direct bilirubin,concept-set,7,,1
Liver function tests,Globulin,concept-set,8,,1
Liver function tests,Albumin/Globulin ratio,concept-set,9,,1
Routine urine,Urine pH,concept-set,1,,1
Routine urine,Urine specific gravity,concept-set,2,,1
Routine urine,Urine protein (dipstick),concept-set,3,,1
Routine urine,Urine glucose (dipstick),concept-set,4,,1
Routine urine,Urine ketones,concept-set,5,,1
Routine urine,Urine blood (dipstick),concept-set,6,,1
Routine urine,Urine bilirubin,concept-set,7,,1
Routine urine,Urobilinogen presence in urine test,concept-set,8,,1
Routine urine,Urine nitrite,concept-set,9,,1
Routine urine,Urine leukocyte esterase test,concept-set,10,,1
Semen Analysis,Semen color,concept-set,1,,1
Semen Analysis,Liquefaction [time] in semen,concept-set,2,,1
Semen Analysis,Semen pH,concept-set,3,,1
Semen Analysis,Semen fructose level,concept-set,4,,1
Semen Analysis,Semen volume,concept-set,5,,1
Semen Analysis,sperm count,concept-set,6,,1
Semen Analysis,Percentage of normal spermatozoa in semen,concept-set,7,,1
Semen Analysis,Spermatozoa motility,concept-set,8,,1

