concept,member,member type,sort weight,void/retire,_version:1
Head,Craniotomy,concept-set,1,,1
Chest,Bronchoscopy,concept-set,1,,1
Chest,Excision of fibroadenoma of breast,concept-set,2,,1
Chest,Excision of mammary duct,concept-set,3,,1
Chest,Initial pericardiocentesis,concept-set,4,,1
Chest,Lumpectomy of breast,concept-set,5,,1
Chest,Mastectomy,concept-set,6,,1
Chest,Minithoracotomy and biopsy of pleura,concept-set,7,,1
Chest,Modified radical mastectomy,concept-set,8,,1
Chest,Open biopsy of pleura,concept-set,9,,1
Chest,Partial mastectomy,concept-set,10,,1
Chest,Thoracentesis with insertion of pleural tube with water seal,concept-set,11,,1
Chest,Thoracoscopic biopsy of pleura,concept-set,12,,1
Chest,Wedge biopsy of liver,concept-set,13,,1
Abdomen,Adjustment of chronic ambulatory peritoneal dialysis catheter,concept-set,1,,1
Abdomen,Appendectomy,concept-set,2,,1
Abdomen,Closure of enterostomy,concept-set,3,,1
Abdomen,Closure of intestinal cutaneous fistula,concept-set,4,,1
Abdomen,Continuous ambulatory peritoneal dialysis,concept-set,5,,1
Abdomen,Exploratory laparotomy,concept-set,6,,1
Abdomen,Flushing of chronic ambulatory peritoneal dialysis catheter,concept-set,7,,1
Abdomen,Gastrojejunostomy,concept-set,8,,1
Abdomen,Ileocolic anastomosis,concept-set,9,,1
Abdomen,Insertion of chronic ambulatory peritoneal dialysis catheter,concept-set,10,,1
Abdomen,Laparoscopic appendectomy,concept-set,11,,1
Abdomen,Laparotomy with aspiration of parasitic cyst or abscess of liver,concept-set,12,,1
Abdomen,Non-emergency appendectomy,concept-set,13,,1
Abdomen,Partial splenectomy,concept-set,14,,1
Abdomen,Reduction of intussusception of small intestine,concept-set,15,,1
Abdomen,Removal of chronic ambulatory peritoneal dialysis catheter,concept-set,16,,1
Abdomen,Repair of diaphragmatic hernia by abdominal approach,concept-set,17,,1
Abdomen,Repair of epigastric hernia,concept-set,18,,1
Abdomen,Repair of inguinal hernia,concept-set,19,,1
Abdomen,Repair of paraesophageal diaphragmatic hernia,concept-set,20,,1
Abdomen,Repair of recurrent inguinal hernia,concept-set,21,,1
Abdomen,Repair of umbilical hernia,concept-set,22,,1
Abdomen,Repair of ventral hernia,concept-set,23,,1
Abdomen,Retroperitoneal exploration operation,concept-set,24,,1
Abdomen,Surgical biopsy of liver,concept-set,25,,1
Abdomen,Total splenectomy,concept-set,26,,1
Pelvis,Bilateral excision of hydrocele,concept-set,1,,1
Pelvis,Circumcision,concept-set,2,,1
Pelvis,Closure of colostomy,concept-set,3,,1
Pelvis,Colostomy,concept-set,4,,1
Pelvis,Complete amputation of penis,concept-set,5,,1
Pelvis,Cystoscopy,concept-set,6,,1
Pelvis,Cystostomy and insertion of suprapubic catheter,concept-set,7,,1
Pelvis,Dilation of urethra,concept-set,8,,1
Pelvis,Drainage of scrotal wall abscess,concept-set,9,,1
Pelvis,Excision of anal fissure,concept-set,10,,1
Pelvis,Excision of anal fistula,concept-set,11,,1
Pelvis,Excision of hydrocele of spermatic cord,concept-set,12,,1
Pelvis,Excision of pilonidal sinus,concept-set,13,,1
Pelvis,Exploration of scrotum,concept-set,14,,1
Pelvis,Female sterilization,concept-set,15,,1
Pelvis,Frenuloplasty of penis,concept-set,16,,1
Pelvis,Hemorrhoidectomy,concept-set,17,,1
Pelvis,Imperforate anus repair,concept-set,18,,1
Pelvis,Incision and drainage of pilonidal cyst,concept-set,19,,1
Pelvis,Incision of anal fistula,concept-set,20,,1
Pelvis,Multiple anal fistulectomy,concept-set,21,,1
Pelvis,Orchidopexy,concept-set,22,,1
Pelvis,Partial amputation of penis,concept-set,23,,1
Pelvis,Partial vaginectomy,concept-set,24,,1
Pelvis,Rectal polypectomy,concept-set,25,,1
Pelvis,Repair of anus,concept-set,26,,1
Pelvis,Repair of hydrocele,concept-set,27,,1
Pelvis,Simple orchiectomy with placement of testicular prosthesis by scrotal approach,concept-set,28,,1
Pelvis,Subcutaneous anal fistulectomy,concept-set,29,,1
Pelvis,Total colectomy,concept-set,30,,1
Pelvis,Unilateral excision of hydrocele,concept-set,31,,1
Pelvis,Vasectomy,concept-set,32,,1
Spine,Spinal drainage by thecal shunt,concept-set,1,,1
General surgery specialty,Application of skin graft,concept-set,1,,1
General surgery specialty,Colostomy,concept-set,2,,1
General surgery specialty,Debridement of skin wound,concept-set,3,,1
General surgery specialty,Gastrostomy,concept-set,4,,1
General surgery specialty,Incision and drainage of abscess,concept-set,5,,1
General surgery specialty,Removal of nail of digit,concept-set,6,,1
General surgery specialty,Suture wound with dressing,concept-set,7,,1
Obstetrics and gynecology specialty,Biopsy of cervix,concept-set,1,,1
Obstetrics and gynecology specialty,Biopsy of endometrium,concept-set,2,,1
Obstetrics and gynecology specialty,Caesarean hysterectomy,concept-set,3,,1
Obstetrics and gynecology specialty,Cesarean section,concept-set,4,,1
Obstetrics and gynecology specialty,Colposcopy,concept-set,5,,1
Obstetrics and gynecology specialty,Colpotomy with drainage of pelvic abscess,concept-set,6,,1
Obstetrics and gynecology specialty,Craniotomy,concept-set,7,,1
Obstetrics and gynecology specialty,Delivery by vacuum extraction,concept-set,8,,1
Obstetrics and gynecology specialty,Diagnostic curettage of endometrium,concept-set,9,,1
Obstetrics and gynecology specialty,Diagnostic laparoscopy,concept-set,10,,1
Obstetrics and gynecology specialty,Dilatation and curettage for incomplete spontaneous abortion,concept-set,11,,1
Obstetrics and gynecology specialty,Dilation and curettage for removal of missed abortion,concept-set,12,,1
Obstetrics and gynecology specialty,Excision of Bartholin's cyst,concept-set,13,,1
Obstetrics and gynecology specialty,Exploratory laparotomy with drainage of pelvic abscess,concept-set,14,,1
Obstetrics and gynecology specialty,Female sterilization,concept-set,15,,1
Obstetrics and gynecology specialty,Forceps delivery,concept-set,16,,1
Obstetrics and gynecology specialty,Hysteroscopy,concept-set,17,,1
Obstetrics and gynecology specialty,Hysterotomy with removal of hydatidiform mole,concept-set,18,,1
Obstetrics and gynecology specialty,Insertion of intrauterine contraceptive device,concept-set,19,,1
Obstetrics and gynecology specialty,Laparotomy for staging of ovarian cancer,concept-set,20,,1
Obstetrics and gynecology specialty,Laparotomy for treatment of ectopic pregnancy,concept-set,21,,1
Obstetrics and gynecology specialty,Manual vacuum aspiration,concept-set,22,,1
Obstetrics and gynecology specialty,Needling of hydrocephalic head,concept-set,23,,1
Obstetrics and gynecology specialty,Oophorectomy,concept-set,24,,1
Obstetrics and gynecology specialty,Perineum repair,concept-set,25,,1
Obstetrics and gynecology specialty,Removal of intrauterine device (IUD),concept-set,26,,1
Obstetrics and gynecology specialty,Therapeutic abortion procedure,concept-set,27,,1
Obstetrics and gynecology specialty,Thermocauterization of cervix,concept-set,28,,1
Obstetrics and gynecology specialty,Vaginal hysterectomy,concept-set,29,,1
Pediatric specialty,Active radiant warming of infant,concept-set,1,,1
Pediatric specialty,excision of branchial cyst,concept-set,2,,1
Pediatric specialty,Excision of thyroglossal duct cyst,concept-set,3,,1
Pediatric specialty,First stage urethra terminalizing operation using prepucial skin flap,concept-set,4,,1
Pediatric specialty,Hypospadias repair,concept-set,5,,1
Pediatric specialty,Neonatal exchange transfusion,concept-set,6,,1
Pediatric specialty,Neonatal resuscitation,concept-set,7,,1
Pediatric specialty,Orchidopexy,concept-set,8,,1
Pediatric specialty,Phototherapy,concept-set,9,,1
Pediatric specialty,Repair of epigastric hernia,concept-set,10,,1
Pediatric specialty,Repair of inguinal hernia,concept-set,11,,1
Pediatric specialty,Repair of umbilical hernia,concept-set,12,,1
Pediatric specialty,Simple one stage distal hypospadias repair with meatal advancement,concept-set,13,,1
Pediatric specialty,Ureteral meatotomy,concept-set,14,,1
Pediatric specialty,Urethroplasy with skin graft for second stage hypospadias repair,concept-set,15,,1
Orthopedics specialty,Adjustment of external fixation,concept-set,1,,1
Orthopedics specialty,Amputation,concept-set,2,,1
Orthopedics specialty,Arthrodesis,concept-set,3,,1
Orthopedics specialty,Bone graft,concept-set,4,,1
Orthopedics specialty,Closed reduction of bimalleolar ankle fracture,concept-set,5,,1
Orthopedics specialty,Closed reduction of dislocation of ankle,concept-set,6,,1
Orthopedics specialty,Closed reduction of dislocation of shoulder,concept-set,7,,1
Orthopedics specialty,Closed reduction of dislocation of wrist,concept-set,8,,1
Orthopedics specialty,Closed reduction of fracture of phalanx of hand,concept-set,9,,1
Orthopedics specialty,Corrective osteotomy,concept-set,10,,1
Orthopedics specialty,Debridement of bone,concept-set,11,,1
Orthopedics specialty,Decompressive fasciotomy of leg,concept-set,12,,1
Orthopedics specialty,Disarticulation at wrist,concept-set,13,,1
Orthopedics specialty,Disarticulation of ankle,concept-set,14,,1
Orthopedics specialty,Disarticulation of the knee,concept-set,15,,1
Orthopedics specialty,External fixation of bone,concept-set,16,,1
Orthopedics specialty,Immobilization using plaster cast,concept-set,17,,1
Orthopedics specialty,Intramedullary nailing of fracture of shaft of tibia,concept-set,18,,1
Orthopedics specialty,Open reduction fracture of shaft of femur with intramedullary nailing,concept-set,19,,1
Orthopedics specialty,Open reduction of bimalleolar ankle fracture with internal fixation,concept-set,20,,1
Orthopedics specialty,Open reduction of dislocation of ankle,concept-set,21,,1
Orthopedics specialty,Open reduction of dislocation of wrist,concept-set,22,,1
Orthopedics specialty,Open reduction of fracture of proximal ulna with internal fixation,concept-set,23,,1
Orthopedics specialty,Osteotomy,concept-set,24,,1
Orthopedics specialty,Partial excision of patella,concept-set,25,,1
Orthopedics specialty,Reconstruction of ligament,concept-set,26,,1
Orthopedics specialty,Release of contracture of scar,concept-set,27,,1
Orthopedics specialty,Removal of bone screw,concept-set,28,,1
Orthopedics specialty,Removal of external fixation,concept-set,29,,1
Orthopedics specialty,Removal of Kirschner wire,concept-set,30,,1
Orthopedics specialty,Removal of plate from bone,concept-set,31,,1
Orthopedics specialty,Repair of tendon,concept-set,32,,1
Orthopedics specialty,Skeletal traction,concept-set,33,,1
Orthopedics specialty,Spinal arthrodesis,concept-set,34,,1
Orthopedics specialty,Surgical removal of sequestrum,concept-set,35,,1
Orthopedics specialty,Total knee replacement,concept-set,36,,1
Dermatology specialty,Chemical cauterization of wound,concept-set,1,,1
Dermatology specialty,Debridement of skin wound,concept-set,2,,1
Dermatology specialty,Electrocautery procedure,concept-set,3,,1
Dermatology specialty,Intralesional injection,concept-set,4,,1
Cardiology specialty,Repair of blood vessel,concept-set,1,,1
Ophthalmology specialty,Capsulectomy,concept-set,1,,1
Ophthalmology specialty,Enucleation of eyeball,concept-set,2,,1
Ophthalmology specialty,Evisceration,concept-set,3,,1
Ophthalmology specialty,Extraction of cataract,concept-set,4,,1
Ophthalmology specialty,Irrigation of eye,concept-set,5,,1
Ophthalmology specialty,Removal of foreign body from eye,concept-set,6,,1
Ophthalmology specialty,Subconjunctival injection,concept-set,7,,1
"Ear, nose and throat surgery specialty",Biopsy of nasal sinus,concept-set,1,,1
"Ear, nose and throat surgery specialty",Bronchoscopy with removal of foreign body,concept-set,2,,1
