concept,member,member type,sort weight,void/retire,_version:1
Procedure Orders,Head,concept-set,1,,1
Procedure Orders,Chest,concept-set,2,,1
Procedure Orders,Abdomen,concept-set,3,,1
Procedure Orders,Pelvis,concept-set,4,,1
Procedure Orders,Spine,concept-set,5,,1
Procedure Orders,General surgery specialty,concept-set,6,,1
Procedure Orders,Obstetrics and gynecology specialty,concept-set,7,,1
Procedure Orders,Pediatric specialty,concept-set,8,,1
Procedure Orders,Orthopedics specialty,concept-set,9,,1
Procedure Orders,Dermatology specialty,concept-set,10,,1
Procedure Orders,Cardiology specialty,concept-set,11,,1
Procedure Orders,Ophthalmology specialty,concept-set,12,,1
Procedure Orders,"Ear, nose and throat surgery specialty",concept-set,13,,1
Procedure Orders,General dental practice,concept-set,14,,1
Procedure Orders,Hepatology specialty,concept-set,15,,1
Procedure Orders,Urology specialty,concept-set,16,,1
Procedure Orders,Plastic surgery specialty,concept-set,17,,1
Procedure Orders,Oncology,concept-set,18,,1
Procedure Orders,Biopsy,concept-set,19,,1
Procedure Orders,Endoscopy,concept-set,20,,1
Procedure Orders,Other Procedures,concept-set,21,,1
