concept,member,member type,sort weight
Service,General OPD,concept-set,1
Service,Adult OPD,concept-set,2
Service,Pediatric OPD,concept-set,3
Service,ART,concept-set,4
Service,ANC,concept-set,5
Service,Dental,concept-set,6
Service,Dermatology,concept-set,7
Service,Orthopedic Clinic,concept-set,8
Service,Neuro Clinic,concept-set,9
Service,Medical Ward,concept-set,10
Service,Pediatrics Ward,concept-set,11
Service,OBS Ward,concept-set,12
Service,ICU,concept-set,13
Service,NICU,concept-set,14
Service,Surgery,concept-set,15
Service,Major Surgery,concept-set,16
Service,Minor Surgery,concept-set,17
