concept,member,member type,sort weight,void/retire,_version:1
Abdomen,Radiographic imaging nephrostomy,concept-set,1,,1
Abdomen,Retrograde cystography,concept-set,2,,1
Abdomen,Retrograde pyelogram,concept-set,3,,1
Abdomen,"X-ray of abdomen supine and upright, two views",concept-set,4,,1
Abdomen,"X-ray of abdomen, 1 view",concept-set,5,,1
Abdomen,"X-ray of abdomen, 2 views (AP supine and lateral decubitus)",concept-set,6,,1
Abdomen,"X-ray of kidney with intravenous contrast, six to eight views",concept-set,7,,1
Abdomen,"X-ray of upright abdomen, one view",concept-set,8,,1
Abdomen,"X-ray, abdomen",concept-set,9,,1
Angiography,Angiogram,concept-set,1,,1
Angiography,Cerebral four vessel angiogram,concept-set,2,,1
Back,X-ray of both sacroiliac joints,concept-set,1,,1
Back,"X-ray of cervical spine AP/lateral and oblique, four views",concept-set,2,,1
Back,"X-ray of cervical spine obliques, two views",concept-set,3,,1
Back,"X-ray of cervical spine, flexion and extension, two views",concept-set,4,,1
Back,"X-ray of cervical spine, two or three views",concept-set,5,,1
Back,"X-ray of lumbar spine AP/lat + right and left obliques, four views",concept-set,6,,1
Back,"X-ray of lumbar spine, flexion and extension, two views",concept-set,7,,1
Back,"X-ray of lumbar spine, two or three views",concept-set,8,,1
Back,"X-ray of lumbar spine, two standing views",concept-set,9,,1
Back,"X-ray of lumbosacral spine, two to three views",concept-set,10,,1
Back,"X-ray of right and left oblique lumbar spine, two views",concept-set,11,,1
Back,"X-ray of right and left oblique thoracic spine, two views",concept-set,12,,1
Back,"X-ray of spine, single view",concept-set,13,,1
Back,"X-ray of thoracic and lumbar spine, two views",concept-set,14,,1
Back,"X-ray of thoracic spine AP/Lat + right and left obliques, four views",concept-set,15,,1
Back,"X-ray of thoracic spine, two standing views",concept-set,16,,1
Back,"X-ray of thoracic spine, two views",concept-set,17,,1
Back,"X-ray of thoracic-lumbar spine, four views",concept-set,18,,1
Back,"X-ray of thoracolumbar spine, two standing views for scoliosis",concept-set,19,,1
Back,"X-ray, spine",concept-set,20,,1
Chest,"Chest x-ray, single view",concept-set,1,,1
Chest,"Diagnostic radiography of chest, combined PA and lateral",concept-set,2,,1
Chest,"X-ray of bilateral ribs, 2 views",concept-set,3,,1
Chest,"X-ray of chest PA/lateral + right and left lateral-decubitus, four views",concept-set,4,,1
Chest,"X-ray of chest, 1 view, AP",concept-set,5,,1
Chest,"X-ray of chest, 2 views and apical lordotic",concept-set,6,,1
Chest,"X-ray of chest, 4 views, PA/LAT with right and left oblique",concept-set,7,,1
Chest,"X-ray of chest, apical lordotic",concept-set,8,,1
Chest,"X-ray of chest, bilateral oblique",concept-set,9,,1
Chest,"X-ray of chest, four views",concept-set,10,,1
Chest,"X-ray of left chest lateral-decubitus, one view",concept-set,11,,1
Chest,"X-ray of left ribs, two views",concept-set,12,,1
Chest,"X-ray of ribs, two views",concept-set,13,,1
Chest,"X-ray of right chest lateral-decubitus, one view",concept-set,14,,1
Chest,"X-ray of right ribs, two views",concept-set,15,,1
Chest,"X-ray of sternum, two to three views",concept-set,16,,1
Chest,X-ray of unilateral ribs and single view chest,concept-set,17,,1
Chest,"X-ray, chest",concept-set,18,,1
CT Scan,Computed tomography of abdomen and pelvis with intravenous contrast,concept-set,1,,1
CT Scan,Computed tomography of abdomen and pelvis without contrast,concept-set,2,,1
CT Scan,Computed tomography of abdomen with contrast,concept-set,3,,1
CT Scan,Computed tomography of abdomen without contrast,concept-set,4,,1
CT Scan,Computed tomography of bilateral lower extremities with IV contrast,concept-set,5,,1
CT Scan,Computed tomography of bilateral lower extremities without contrast,concept-set,6,,1
CT Scan,Computed tomography of both lower extremities without contrast,concept-set,7,,1
CT Scan,Computed tomography of cervical spine with intravenous contrast,concept-set,8,,1
CT Scan,Computed tomography of chest and abdomen with IV contrast,concept-set,9,,1
CT Scan,Computed tomography of chest and abdomen without IV contrast,concept-set,10,,1
CT Scan,Computed tomography of chest with intravenous contrast,concept-set,11,,1
CT Scan,Computed tomography of chest without contrast,concept-set,12,,1
CT Scan,"Computed tomography of chest, abdomen and pelvis with IV contrast",concept-set,13,,1
CT Scan,"Computed tomography of chest, abdomen and pelvis without IV contrast",concept-set,14,,1
CT Scan,Computed tomography of facial bones and maxilla with intravenous contrast,concept-set,15,,1
CT Scan,Computed tomography of femur,concept-set,16,,1
CT Scan,Computed tomography of head with intravenous contrast,concept-set,17,,1
CT Scan,Computed tomography of heart,concept-set,18,,1
CT Scan,Computed tomography of hip,concept-set,19,,1
CT Scan,Computed tomography of knee,concept-set,20,,1
CT Scan,Computed tomography of left lower extremity with intravenous contrast,concept-set,21,,1
CT Scan,Computed tomography of lumbar spine with intravenous contrast,concept-set,22,,1
CT Scan,Computed tomography of neck with intravenous contrast,concept-set,23,,1
CT Scan,Computed tomography of orbits with contrast,concept-set,24,,1
CT Scan,Computed tomography of orbits without contrast,concept-set,25,,1
CT Scan,Computed tomography of pelvis without contrast,concept-set,26,,1
CT Scan,Computed tomography of pelvis without then with intravenous contrast,concept-set,27,,1
CT Scan,Computed tomography of right lower extremity with intravenous contrast,concept-set,28,,1
CT Scan,Computed tomography of thoracic spine with intravenous contrast,concept-set,29,,1
CT Scan,Computed tomography of thoracic spine without contrast,concept-set,30,,1
CT Scan,"Computed tomography scan, head",concept-set,31,,1
CT Scan,Computerized tomography of abdomen and pelvis without contrast,concept-set,32,,1
CT Scan,Computerized tomography of cervical spine without contrast,concept-set,33,,1
CT Scan,Computerized tomography of facial bones and maxilla without contrast,concept-set,34,,1
CT Scan,Computerized tomography of left lower extremity without contrast,concept-set,35,,1
CT Scan,Computerized tomography of left upper extremity with IV contrast,concept-set,36,,1
CT Scan,Computerized tomography of left upper extremity without contrast,concept-set,37,,1
CT Scan,Computerized tomography of lumbar spine without contrast,concept-set,38,,1
CT Scan,Computerized tomography of neck without contrast,concept-set,39,,1
CT Scan,Computerized tomography of right lower extremity without contrast,concept-set,40,,1
