concept,member,member type,sort weight,void/retire,_version:1
Radiology Orders,Abdomen,concept-set,1,,1
Radiology Orders,Angiography,concept-set,2,,1
Radiology Orders,Back,concept-set,3,,1
Radiology Orders,Chest,concept-set,4,,1
Radiology Orders,CT Scan,concept-set,5,,1
Radiology Orders,Echo,concept-set,6,,1
Radiology Orders,Face,concept-set,7,,1
Radiology Orders,Head,concept-set,8,,1
Radiology Orders,Head and Neck,concept-set,9,,1
Radiology Orders,Hip,concept-set,10,,1
Radiology Orders,Laparoscopy,concept-set,11,,1
Radiology Orders,Lower limb,concept-set,12,,1
Radiology Orders,Magnetic Resonance Imaging,concept-set,13,,1
Radiology Orders,Nuclear medicine,concept-set,14,,1
Radiology Orders,Other Radiology Orders,concept-set,15,,1
Radiology Orders,Pelvis,concept-set,16,,1
Radiology Orders,Ultrasound,concept-set,17,,1
Radiology Orders,Upper extremity,concept-set,18,,1
