concept,member,member type,sort weight,void/retire,_version:1
bffd02fa-e15a-4c05-b7bc-f3d6d2e833ba,9a6f10d6-7fc5-4fb7-9428-24ef7b8d01f7,concept-set,,TRUE,1
add20583-bc43-48ad-b228-a02ff1c02bde,9a6f10d6-7fc5-4fb7-9428-24ef7b8d01f7,concept-set,,TRUE,1
66621368-15ab-4d27-b920-9df6f6356f29,9a6f10d6-7fc5-4fb7-9428-24ef7b8d01f7,concept-set,,TRUE,1
51d6ff7a-bc81-471d-a7c2-8e17bdcf0271,9a6f10d6-7fc5-4fb7-9428-24ef7b8d01f7,concept-set,,TRUE,1
4a303b7a-2b9a-442d-972a-9e172afff259,9a6f10d6-7fc5-4fb7-9428-24ef7b8d01f7,concept-set,,TRUE,1
8895cb58-a36a-408d-84c1-7ebb645ac704,9a6f10d6-7fc5-4fb7-9428-24ef7b8d01f7,concept-set,,TRUE,1
1356AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,9a6f10d6-7fc5-4fb7-9428-24ef7b8d01f7,concept-set,,TRUE,1
39246f0e-5042-4a83-9fd8-017039726054,9a6f10d6-7fc5-4fb7-9428-24ef7b8d01f7,concept-set,,TRUE,1
1007AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,9a6f10d6-7fc5-4fb7-9428-24ef7b8d01f7,concept-set,,TRUE,1
1846f62d-410a-4881-afac-396daedbf10d,9a6f10d6-7fc5-4fb7-9428-24ef7b8d01f7,concept-set,,TRUE,1
1008AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,9a6f10d6-7fc5-4fb7-9428-24ef7b8d01f7,concept-set,,TRUE,1
b3ef7eaa-beeb-406a-9dde-61e27ddcea74,9a6f10d6-7fc5-4fb7-9428-24ef7b8d01f7,concept-set,,TRUE,1
16f8dd96-d0bd-4473-bc33-158ad42fe548,9a6f10d6-7fc5-4fb7-9428-24ef7b8d01f7,concept-set,,TRUE,1
ddd7b13a-075b-44a6-9842-32df8cc3771f,9a6f10d6-7fc5-4fb7-9428-24ef7b8d01f7,concept-set,,TRUE,1
d0d107f7-9452-4129-a209-b9a4d1b46d4a,9a6f10d6-7fc5-4fb7-9428-24ef7b8d01f7,concept-set,,TRUE,1
f3c1c799-bc29-4e52-8f57-1b076699f14e,9a6f10d6-7fc5-4fb7-9428-24ef7b8d01f7,concept-set,,TRUE,1
a02587cb-82dd-4ee3-90db-0c3f16f247c0,9a6f10d6-7fc5-4fb7-9428-24ef7b8d01f7,concept-set,,TRUE,1
b19b5cd4-4ab9-406e-90f0-1f98dd4ef4d4,9a6f10d6-7fc5-4fb7-9428-24ef7b8d01f7,concept-set,,TRUE,1
1e4bc05f-025b-4356-bcc7-cd632eda2c19,9a6f10d6-7fc5-4fb7-9428-24ef7b8d01f7,concept-set,,TRUE,1
1006AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,9a6f10d6-7fc5-4fb7-9428-24ef7b8d01f7,concept-set,,TRUE,1
1009AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,9a6f10d6-7fc5-4fb7-9428-24ef7b8d01f7,concept-set,,TRUE,1
162202AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,9a6f10d6-7fc5-4fb7-9428-24ef7b8d01f7,concept-set,,TRUE,1
ce5068f1-0ecc-43a8-95c4-cf876dec79bc,9a6f10d6-7fc5-4fb7-9428-24ef7b8d01f7,concept-set,,TRUE,1
1618AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,9a6f10d6-7fc5-4fb7-9428-24ef7b8d01f7,concept-set,,TRUE,1
1007AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1748a953-d12e-4be1-914c-f6b096c6cdef,concept-set,,TRUE,1
1008AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1748a953-d12e-4be1-914c-f6b096c6cdef,concept-set,,TRUE,1
1006AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1748a953-d12e-4be1-914c-f6b096c6cdef,concept-set,,TRUE,1
1009AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1748a953-d12e-4be1-914c-f6b096c6cdef,concept-set,,TRUE,1
162202AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1748a953-d12e-4be1-914c-f6b096c6cdef,concept-set,,TRUE,1
1356AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,fa2b4427-820c-46d3-bf91-7fca6b7cfcbe,concept-set,,TRUE,1
d0d107f7-9452-4129-a209-b9a4d1b46d4a,fa2b4427-820c-46d3-bf91-7fca6b7cfcbe,concept-set,,TRUE,1
1356AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,160767AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,concept-set,,TRUE,1
