Uuid,Void/Retire,Frequency per day,Concept frequency,_version:1,_order:7000
136ebdb1-e984-47cf-8ec2-4e6b2ffe0ab8,,6,Every four hours,,
1942d7a9-0039-4904-94bc-1cc87e9069cf,,2,Twice a Day,,
636ebdb4-e988-37cf-8ec2-4e9b2ffe8ab3,,24,Every hour,,
33436036-8a92-11e4-977f-0800271c1b75,,12,Every 2 hours,,
33460abd-8a92-11e4-977f-0800271c1b75,,8,Every 3 hours,,
334ea16c-8a92-11e4-977f-0800271c1b75,,3,Every 8 hours,,
334f851c-8a92-11e4-977f-0800271c1b75,,2,Every 12 hours,,
335071ea-8a92-11e4-977f-0800271c1b75,,0.5,On alternate days,,
33516e22-8a92-11e4-977f-0800271c1b75,,,Once a week,,
33523c55-8a92-11e4-977f-0800271c1b75,,,Twice a week,,
3352f51b-8a92-11e4-977f-0800271c1b75,,,Thrice a week,,
3353b81e-8a92-11e4-977f-0800271c1b75,,,Every 2 weeks,,
33547af0-8a92-11e4-977f-0800271c1b75,,,Every 3 weeks,,
3355487f-8a92-11e4-977f-0800271c1b75,,,Once a month,,
33b501b0-8a92-11e4-977f-0800271c1b75,,,Four days a week,,
33b5c447-8a92-11e4-977f-0800271c1b75,,,Five days a week,,
33b68622-8a92-11e4-977f-0800271c1b75,,,Six days a week,,
3ab26113-d7ba-4618-8c95-7d4db7352519,,4,Four times a Day,,
44bead48-74a0-4107-a09d-e52be2c25803,,1,Once a day,,
23edbefa-93a6-4f0e-a6b8-b4fc513fb1a3,,0.5,Every other day,,
136ebdb7-e989-47ct-8ec2-4e8b6ffe0ab1,,4,Every six hours,,
733db236-6309-4e50-a52d-09d96627cb9c,,1,Before bed,,
77bdc00f-4111-4caa-8d3b-8a094706656e,,5,Five times a day,,
9a7a9767-b5b0-4dd3-9222-a2a0f541db03,,,Before meals,,
9d8e6918-3f10-11e4-adec-0800271c1b75,,1,Immediatley,,
aff74faa-29ea-4f92-b52f-6f53c9fb4f8f,,3,Thrice a day,,
