Uuid,Privilege name,Description
,ethiopiaemr: Transfer Patient,Transfer Patient
,ethiopiaemr: View Patient Scoreboard,Patient Scoreboard
,ethiopiaemr: MRU: Add Patient,Add Patient in MRU
,ethiopiaemr: MRU: Edit Patient,Edit Patient in MRU
,ethiopiaemr: MRU: Edit Billing Information,Edit Billing Information in MRU
,ethiopiaemr: MRU: View MRU,View MRU
,ethiopiaemr: Triage: View Triage,View Triage
,ethiopiaemr: Triage: Add Triage Form,Add Triage Form
,ethiopiaemr: Triage: Register Patient,Register Patient
7294524b-5ff4-11f1-b15f-729618c35d46,ethiopiaemr: Triage: View Adult Triage Dashboard,Triage: View Adult Triage Dashboard
7a19e4f9-5ff4-11f1-b15f-729618c35d46,ethiopiaemr: Triage: View Emergency Triage Dashboard,Triage: View Emergency Triage Dashboard
7e240466-5ff4-11f1-b15f-729618c35d46,ethiopiaemr: Triage: View Gynecological Triage Dashboard,Triage: View Gynecological Triage Dashboard
763fd7c7-5ff4-11f1-b15f-729618c35d46,ethiopiaemr: Triage: View Pediatric Triage Dashboard,Triage: View Pediatric Triage Dashboard
d8a33e48-9fb6-11f1-a6b4-56bc1f8d5bcc,ethiopiaemr: Triage: View Psychiatry Triage Dashboard,Triage: View Psychiatry Triage Dashboard
0adb6fcb-9bb2-11f1-a6b4-56bc1f8d5bcc,ethiopiaemr: View Legacy Summary,View Legacy Summary
abe64d76-9c7e-11f1-a6b4-56bc1f8d5bcc,o3: Manage Order Templates,Manage Order Templates
ce99f92d-9c7e-11f1-a6b4-56bc1f8d5bcc,o3: View Patient Chart Programs,View Patient Chart Programs
d0297098-9fac-11f1-a6b4-56bc1f8d5bcc,View Elective Surgery Schedule,View Elective Surgery Schedule
f77a06e1-9f93-11f1-a6b4-56bc1f8d5bcc,ethiopiaemr: Elective Surgery Schedule: View Elective Surgery Schedule,View Elective Surgery Schedule
6a66c152-9f94-11f1-a6b4-56bc1f8d5bcc,ethiopiaemr: Elective Surgery Schedule: Record Liaison Contact,Record Liaison Contact
6f1cebf4-9f94-11f1-a6b4-56bc1f8d5bcc,ethiopiaemr: Elective Surgery Schedule: Manage Elective Surgery Schedule,Manage Elective Surgery Schedule
7384f0b1-9f94-11f1-a6b4-56bc1f8d5bcc,ethiopiaemr: Elective Surgery Schedule: Remove Elective Surgery Patient,Remove Elective Surgery Patient
