Uuid,Privilege name,Description
,o3: View Billing Admin Dashboard,Allows the user to view Billing Admin Dashboard
,ethiopiaemr: Billing: Clock In-Out,Allows the user to log their shift start and end times for billing activities.
,ethiopiaemr: Billing: Switch Payment Point,Enables switching between different physical or logical payment locations.
,ethiopiaemr: Billing: Process Payment,Grants authority to finalize and record patient payments.
,ethiopiaemr: Billing: Discard Payment,Allows the cancellation or removal of an incorrect payment entry.
,ethiopiaemr: Billing: Print Invoice,Enables generating and printing of formal billing invoices for patients.
,ethiopiaemr: Billing: Print Receipt,Allows the printing of proof-of-payment receipts after a transaction.
,ethiopiaemr: Billing: Print Bill Statement,Allows the printing of bill statement
,ethiopiaemr: Billing: View Deposit,Allows viewing of credit balances or deposits held by a patient.
,ethiopiaemr: Billing: Add Deposit,Grants the ability to add new funds to a patient’s deposit account.
,ethiopiaemr: Billing: Apply Deposit,Allows the user to use existing deposit funds to pay for services.
,ethiopiaemr: Billing: View Payment History,Grants access to view the full log of all past payments and transactions.
,ethiopiaemr: Billing: View Payment Point,Allows the user to view a list of available payment points in the system.
,ethiopiaemr: Billing: Create Payment Point,Enables the setup and creation of new payment collection locations.
,ethiopiaemr: Billing: Edit Payment Point,Allows modification of details for existing payment points.
,ethiopiaemr: Billing: Delete Payment Point,Grants the authority to remove a payment point from the system.
,ethiopiaemr: Billing: View Payment Mode,"Allows viewing of accepted payment methods (e.g., Cash, Insurance, Mobile)."
,ethiopiaemr: Billing: Add Payment Mode,Enables adding new methods of payment to the system.
,ethiopiaemr: Billing: Edit Payment Mode,Allows editing of existing payment methods and their configurations.
,ethiopiaemr: Billing: Delete Payment Mode,Grants the ability to remove a payment method from the system.
,ethiopiaemr: Billing: View Bill Manager,Provides access to the central dashboard for managing patient bills.
,ethiopiaemr: Billing: Waive Bill,Waive Bill
,ethiopiaemr: Billing: Edit Bill Item,Edit Bill Item
,ethiopiaemr: Billing: Cancel Bill Item,Cancel Bill Item
,ethiopiaemr: Billing: Refund Bill Item,Refund Bill Item
,ethiopiaemr: Billing: Delete Bill,Delete Bill
,ethiopiaemr: Billing: View Charge Items,Allows the user to view the catalog of billable items and services.
,ethiopiaemr: Billing: Add Charge Service,Enables adding new billable services or items to the system catalog.
,ethiopiaemr: Billing: Edit Charge Service,Allows updating of prices or details for billable services.
,ethiopiaemr: Billing: Delete Charge Service,Grants the authority to remove services from the billable items list.
,ethiopiaemr: Billing: View Exemptions Schema,Allows viewing of rules and logic for patient billing exemptions.
,ethiopiaemr: Billing: Add Excemptions Schema,Enables the creation of new exemption rules for specific patient groups.
