Uuid,Role name,Description,Inherited roles,Privileges
,ethiopiaemr: Liaison Officer,Liaison Officer,API Privileges; ethiopiaemr: Clinical API Read Access; ethiopiaemr: Clinical Write Access,o3: Search Patient; o3: View Patient Banner; o3: View Service Availability Admin Dashboard; o3: View Bed Management Dashboard; o3: View Ward Dashboard; ethiopiaemr: Elective Surgery Schedule: View Elective Surgery Schedule; View Elective Surgery Schedule; o3: View Referrals Dashboard
,ethiopiaemr: Physician,Physician,API Privileges; ethiopiaemr: Clinical API Read Access; ethiopiaemr: Clinical Write Access,ethiopiaemr: Consultation: Request Consultation; ethiopiaemr: Consultation: Respond Consultation; ethiopiaemr: Consultation: View Consultations; ethiopiaemr: Transfer Patient; ethiopiaemr: View Patient Scoreboard; o3: Add Visit Notes; o3: CheckIn Patient; o3: Delete Encounters; o3: Edit Encounters; o3: Edit Visit Notes; o3: Mark Patient As Alive/Dead; o3: Search Patient; o3: View Allergies Dashboard; o3: View Attachments Dashboard; o3: View Care Panel Dashboard; o3: View Care Panels; o3: View Encounters; o3: View Imaging Order Form; o3: View Medication Order Form; o3: View Patient Banner; o3: View Patient Chart Appointments; o3: View Patient Chart Immunization Dashboard; o3: View Patient Chart Order Dashboard; o3: View Patient Chart Summary; o3: View Patient Forms; o3: View Patient Vitals and Biometrics; o3: View Procedure Order; o3: View Service Queue Dashboard; o3: View Test Order Form; o3: View Test Results Dashboard; o3: View Visits Dashboard; o3: View Procedure Dashboard; o3: Edit Visit; o3: Delete Visit; o3: Delete Active Visit; o3: CheckOut Patient; o3: View Patient Chart Notes Dashboard; o3: View Patient Chart Forms Dashboard; o3: View Patient Chart Orders Basket; o3: View Patient Chart Medications Dashboard; o3: View Patient Chart Conditions Dashboard; o3: View Patient Chart Diagnoses; o3: View Patient Chart Programs; ethiopiaemr: View Legacy Summary; o3: View Patient Chart Radiology and Imaging; o3: View Patient Chart Procedures; o3: View Patient Chart Admissions; o3: View Appointments Dashboard; o3: Create Appointments; o3: Edit Appointments; o3: Delete Appointments; o3: Manage Patient Medications; o3: Manage Queue Entries; o3: View Patient Chart Procedures Anaesthetic; View OrderTemplates
,ethiopiaemr: Finance Officer,Finance Administration, API Privileges; ethiopiaemr: Clinical API Read Access; ethiopiaemr: Clinical Write Access,App: stockmanagement.stockItems; ethiopiaemr: Billing: Add Charge Service; ethiopiaemr: Billing: Add Deposit; ethiopiaemr: Billing: Add Excemptions Schema; ethiopiaemr: Billing: Add Payment Mode; ethiopiaemr: Billing: Apply Deposit; ethiopiaemr: Billing: Cancel Bill Item; ethiopiaemr: Billing: Clock In-Out; ethiopiaemr: Billing: Create Payment Point; ethiopiaemr: Billing: Delete Bill; ethiopiaemr: Billing: Delete Charge Service; ethiopiaemr: Billing: Delete Payment Mode; ethiopiaemr: Billing: Delete Payment Point; ethiopiaemr: Billing: Discard Payment; ethiopiaemr: Billing: Edit Bill Item; ethiopiaemr: Billing: Edit Charge Service; ethiopiaemr: Billing: Edit Payment Mode; ethiopiaemr: Billing: Edit Payment Point; ethiopiaemr: Billing: Print Bill Statement; ethiopiaemr: Billing: Print Invoice; ethiopiaemr: Billing: Print Receipt; ethiopiaemr: Billing: Process Payment; ethiopiaemr: Billing: Switch Payment Point; ethiopiaemr: Billing: View Bill Manager; ethiopiaemr: Billing: View Charge Items; ethiopiaemr: View Accounting Dashboard; o3: View Patient Banner
,ethiopiaemr: Nurse,Nurse,API Privileges; ethiopiaemr: Clinical API Read Access; ethiopiaemr: Clinical Write Access,ethiopiaemr: View Patient Scoreboard; o3: Search Patient; o3: View Allergies Dashboard; o3: View Patient Banner; o3: View Patient Chart Appointments; o3: View Patient Chart Immunization Dashboard; o3: View Patient Chart Order Dashboard; o3: View Patient Chart Summary; o3: View Patient Vitals and Biometrics; o3: View Queue Screen Dashboard; o3: View Service Queue Dashboard; o3: View Appointments Dashboard; o3: View Procedure Dashboard; o3: View Patient Chart Medications Dashboard; o3: View Care Panel Dashboard; o3: View Test Results Dashboard; o3: View Visits Dashboard; o3: View Patient Chart Conditions Dashboard; o3: View Patient Chart Diagnoses; o3: View Attachments Dashboard; ethiopiaemr: View Legacy Summary; o3: View Patient Chart Programs; o3: Create Appointments; o3: Edit Appointments; o3: Delete Appointments; o3: View Patient Chart Radiology and Imaging; o3: View Patient Chart Procedures; o3: View Patient Chart Admissions
,ethiopiaemr: MRU,Medical Recording Unit,API Privileges; ethiopiaemr: Clinical API Read Access; ethiopiaemr: Clinical Write Access,App: stockmanagement.stockItems; ethiopiaemr: MRU: Edit Billing Information; ethiopiaemr: MRU: View MRU; o3: Search Patient; o3: View Patient Banner; ethiopiaemr: MRU: Edit Patient; EthiopiaEMR Custom Module Privilege
,ethiopiaemr: Laboratory Personnel,Laboratory Personnel,API Privileges; ethiopiaemr: Clinical API Read Access; ethiopiaemr: Clinical Write Access,o3: View Laboratory Dashboard; o3: Add Lab Request Results; o3: Reject Lab Request
b63f643d-5ff6-11f1-b15f-729618c35d46,ethiopiaemr: Adult Triage,Adult Triage,API Privileges; ethiopiaemr: Clinical API Read Access; ethiopiaemr: Clinical Write Access,ethiopiaemr: Triage: Add Triage Form; ethiopiaemr: Triage: Register Patient; ethiopiaemr: Triage: View Triage; ethiopiaemr: View Patient Scoreboard; o3: Search Patient; o3: View Allergies Dashboard; o3: View Patient Banner; o3: View Patient Chart Appointments; o3: View Patient Chart Immunization Dashboard; o3: View Patient Chart Summary; o3: View Patient Vitals and Biometrics; o3: View Service Queue Dashboard; o3: View Visits Dashboard; EthiopiaEMR Custom Module Privilege; ethiopiaemr: Triage: View Adult Triage Dashboard
c8ad892a-5ff6-11f1-b15f-729618c35d46,ethiopiaemr: Emergency Triage,Emergency Triage,API Privileges; ethiopiaemr: Clinical API Read Access; ethiopiaemr: Clinical Write Access,ethiopiaemr: Triage: Add Triage Form; ethiopiaemr: Triage: Register Patient; ethiopiaemr: Triage: View Triage; ethiopiaemr: View Patient Scoreboard; o3: Search Patient; o3: View Allergies Dashboard; o3: View Patient Banner; o3: View Patient Chart Appointments; o3: View Patient Chart Immunization Dashboard; o3: View Patient Chart Summary; o3: View Patient Vitals and Biometrics; o3: View Service Queue Dashboard; o3: View Visits Dashboard; EthiopiaEMR Custom Module Privilege; ethiopiaemr: Triage: View Emergency Triage Dashboard
d02e2063-5ff6-11f1-b15f-729618c35d46,ethiopiaemr: Gynecological Triage,Gynecological Triage,API Privileges; ethiopiaemr: Clinical API Read Access; ethiopiaemr: Clinical Write Access,ethiopiaemr: Triage: Add Triage Form; ethiopiaemr: Triage: Register Patient; ethiopiaemr: Triage: View Triage; ethiopiaemr: View Patient Scoreboard; o3: Search Patient; o3: View Allergies Dashboard; o3: View Patient Banner; o3: View Patient Chart Appointments; o3: View Patient Chart Immunization Dashboard; o3: View Patient Chart Summary; o3: View Patient Vitals and Biometrics; o3: View Service Queue Dashboard; o3: View Visits Dashboard; EthiopiaEMR Custom Module Privilege; ethiopiaemr: Triage: View Gynecological Triage Dashboard
c493b2cd-5ff6-11f1-b15f-729618c35d46,ethiopiaemr: Pediatric Triage,Pediatric Triage,API Privileges; ethiopiaemr: Clinical API Read Access; ethiopiaemr: Clinical Write Access,ethiopiaemr: Triage: Add Triage Form; ethiopiaemr: Triage: Register Patient; ethiopiaemr: Triage: View Triage; ethiopiaemr: View Patient Scoreboard; o3: Search Patient; o3: View Allergies Dashboard; o3: View Patient Banner; o3: View Patient Chart Appointments; o3: View Patient Chart Immunization Dashboard; o3: View Patient Chart Summary; o3: View Patient Vitals and Biometrics; o3: View Service Queue Dashboard; o3: View Visits Dashboard; EthiopiaEMR Custom Module Privilege; ethiopiaemr: Triage: View Pediatric Triage Dashboard
