drug_name,dose_units,drug_uuid,concept_uuid
Sodium Bicarbonate 8.4% in 20ml ampoule Injection,8021:1,586056cb-7eea-41cc-a640-9a29688861fe,351fab8e-6966-4ab1-8d4b-aa708c8f09c1
Aluminium Hydroxide 360mg/5ml Oral Suspension,8021:1;8019:0,10181c31-0f02-4e64-a553-4e9fc24174c4,26bdc123-0a25-4b66-beae-fb613d6a286c
Aluminium Hydroxide + Magnesium Trisilicate 310mg + 620mg in 5 ml Suspension,8009:1,376bd668-be28-49c4-899b-5894590cb2a4,95790435-98f8-43b4-9ec4-0a76850f755b
Aluminium Hydroxide + Magnesium Trisilicate 120mg + 250mg Tablet (Chewable),8028:1,4dff7502-3bce-4a71-9a97-0a892642311d,95790435-98f8-43b4-9ec4-0a76850f755b
"Magnesium Hydroxide 375mg/5ml, 7.75% Mixture",8009:1,e0428058-2b38-42cd-8dc1-241b740e2615,e9b33d83-5ae5-4b22-ab5f-c7b1a4e06a97
Ranitidine 10mg/ml in 5ml ampoule Injection,8019:1;8021:1,cda884ca-fbcb-4fbe-9003-e04e183e3a8d,a60e4760-8f72-47aa-a3d3-0de2c6aeb3c3
Ranitidine 25mg/ml in 10ml ampoule Injection,8019:1;8021:1,9ab1d2a2-914d-46e8-a2f3-cd71ecaeb769,a60e4760-8f72-47aa-a3d3-0de2c6aeb3c3
Hyoscine (Scopolamine) Hydrobromide 0.4mg/ml in 1ml Injection,8021:1;8019:1,bc3020ff-73d0-4246-bc59-b8176f9e59f7,c6d9589f-d912-4ddb-902c-07b10caa86fb
Hyoscine (Scopolamine) Hydrobromide 0.6mg Tablet,8019:1,9f23fb32-5507-499a-83e2-a81dfc171137,c6d9589f-d912-4ddb-902c-07b10caa86fb
Metoclopramide 0.2mg/drop Drop,8021:1,4aa9e225-a52d-4e4c-9f5e-a45b3e906127,2ed8b06c-aaaa-4048-9b84-e7e0d11d25e0
Metoclopramide 10mg Tablet,8019:1,905e84c4-3816-46b2-b27f-76932d3e04ff,2ed8b06c-aaaa-4048-9b84-e7e0d11d25e0
Promethazine HCL 5mg/5ml Elixir,8019:1;8021:1,a43eb1bc-5f28-4dab-af7a-fd6bf18474bc,14328927-abfe-437c-8ff7-ffe6b3036bb8
Bisacodyl 5mg Tablet,8019:1,abce7b47-0aa8-4738-86f9-46578e3af87d,e2f02733-fafa-409d-aab5-5989a5dee264
Castor Oil 30 ml Oral Liquid,8021:1,69370881-5404-46be-a1b1-450fa296b010,1abb5a9f-b37c-4f81-a3c8-d556f2eec70d
Glycerin 900mg Suppository,8019:1,3d09caec-f72b-4000-b49f-9c9c6a0a5738,11c22597-08c1-42b9-a413-1f6e1fad5098
Magnesium Sulphate Crystals 15gm Oral Powder,8010:1,a2243064-dd8d-4f11-9c77-df800553bf33,85ce51ac-bec8-45c7-ba00-1e996ac634c0
Loperamide HCL 2mg Tablet,8019:1,3ec96b07-be72-48dd-9555-cc3d3f497aa8,c0655d70-9d5b-48b7-8455-1dde5125ce33
Activated Charcoal 250mg Tablet,8019:1,61698eec-3469-404e-a29d-9c96281bbf0c,6d8cbc35-6824-4bf3-abe3-c00a1182afb2
Local Anesthetic + Astringent + Antiinflammatory Any combination therapeutically effective Ointment,8029:1,115b7e17-6267-4dbd-84ce-f5bc0398db5a,d00700bb-4c14-40a4-ac8c-a995fa436ad0
Local Anesthetic + Astringent + Antiinflammatory Any combination therapeutically effective Suppository,8027:1,fbe4065e-0a64-4bdc-9aab-d8d186687261,d00700bb-4c14-40a4-ac8c-a995fa436ad0
Local Anesthetic+Antiinflammatory Any combination therapeutically effective Ointment,8029:1,89281cff-42af-4ed1-81aa-d0579ca10316,05305b95-fb2f-443d-a679-8f6e9b5bd96c
Local Anesthetic+Antiinflammatory Any combination therapeutically effective Suppository,8027:1,400d6fcc-35e6-4baa-83f0-31039c6f0cdb,05305b95-fb2f-443d-a679-8f6e9b5bd96c
Clobetasole Propionate 0.1% Scalp Application,8009:1,8d3e8c9a-8963-42dc-bd60-e55d21a21926,c0a971d2-e5ea-457a-905b-13771ad26874
Digoxin 0.1 mg/ml in 1 ml ampoule Injection,8019:1;8021:1,4e8ece04-4e0f-4b8a-bfa6-561fb7b6d4c5,e077b72e-b6f5-4bdb-bb48-0bc2f806e3bd
Retinoic Acid (Tretinoin) 0.025% Cream,8029:1,34a278e4-823d-43dc-a50c-b2f253fb6579,5419e766-1419-4dda-a37e-a539bbb5b058
Enalapril Maleate 5mg Tablet,8019:1,875992cf-7304-4790-987f-7e1524f5b0e2,655bc3b5-ed51-4cc1-95b3-3667c6aa6f8c
Acetylsalicylic Acid 81mg Tablet( Enteric Coated),8019:1,832c6e7c-e8ed-476b-a1c3-ef126869ed0f,847859d5-9b17-401e-8ad7-d206dc581c86
Verapamil 25mg/ml in 2ml ampoule Injection,8019:1;8021:1,35a7308d-10c3-45ed-94e0-42b0ef744077,ef1ccd62-d433-4de2-8978-20c437f019f3
Isosorbide Dinitrate 5mg Tablet (Sublingual),8019:1,f4e07dab-8b05-48d0-99eb-75280d7ceacd,dced0182-54d3-4253-92b2-b41b94858b9a
Glyceryl Trinitrate (Nitroglycerine) 0.5mg Tablet,8019:1,e2339bd0-90be-43e0-b252-e52009de0a7f,d7b1b4df-2802-446e-9a33-e50ae3e6c260
Hydralazine 20mg/ml in 1ml ampoule Injection,8021:1;8019:1,cd3fb4a9-dc1b-495a-9afa-cc562fff4b8e,a92b1732-3def-4659-9a50-b718aec69279
Methyldopa 250mg Tablet,8019:1,12f57d57-0aff-455f-a740-4a59d1c25d41,12ef2c75-3244-4058-a67c-a9eb93ac828a
Malathion 2% Cream,8029:1,f7099a32-e260-47fa-a8fb-f05c4ed3e11c,ab90c333-cfad-451c-8ef3-a33f4f519536
Frusemide 10mg/ml in 2ml ampoule Injection,8021:1;8019:1,7ebaa523-73f5-427a-849a-711f65276559,a2da4096-3318-47f6-8be5-c51c32c8bd42
Frusemide 40mg Tablet,8019:1,89eb72fb-3567-4a55-b829-73c25da7c327,a2da4096-3318-47f6-8be5-c51c32c8bd42
